date,event,result,location,image_url
1,06.09.2025,,"Breaux KellerdefeatsEC33LW Red Rose Rumble 3- Event @ Penn Medicine Park in Lancaster, Pennsylvania, USA",
2,17.08.2025,,"EC3,Jaden Valo,Manbun Jesus&Sage ChantzdefeatScumbag Savelli,The Audacity(Micah Cortez&Seth Cortez) &Tommy Rant5DPW WW5D- Event @ Remarkable Wrestling School in Nesconset, New York, USA",
3,16.08.2025,,"Aron Stevens&Carson Bartholomew DrakedefeatThe Holy Grail(EC3&Pretty Boy Smooth)NWA 77- Event @ The Paramount in Huntington, New York, USA",
4,03.08.2025,,"Three Way:EC3defeatsAaron RourkeandSteve Maclin(8:03)Richard Holliday Presents Narcissistic Behavior- Online Stream @ Devonshire Hall in Hamden, Connecticut, USA",
5,23.07.2025,,"Ethan Carter IdefeatsThe Columbus Cruncher(15:12)Olde Wrestling- Event @ Union City Fairgrounds in Marysville, Ohio, USA",
6,19.07.2025,,"Ascend Title:J Fowler(c) defeatsEC3FIGHT! Unchained- Event @ Bowen Roundhouse Arena in Des Moines, Iowa, USA",
7,11.07.2025,,"Brandon BarrettadefeatsEC3PWE- Event @ The Mill Event Center in Granite City, Illinois, USA",
8,01.07.2025,,"The Holy Grail(EC3&Pretty Boy Smooth) defeatCam Fox&Kai PriceNWA Powerrr TV Taping- Event @ WEDU Studios in Tampa, Florida, USA",
9,23.05.2025,,"TME(Duke Davis&Ganon Jones Jr.) &Carson DrakedefeatThe Holy Grail(EC3,Pastor C-Lo&Pretty Boy Smooth) (14:09)NWA Exodus Pro Midwest The Boys Are Back In Town- Online Stream @ Treelawn Music Hall in Cleveland, Ohio, USA",
10,17.05.2025,,"Crockett Cup 2025 First Round:The Holy Grail(EC3&Pretty Boy Smooth) defeatThe Lost(Alex Misery&Crazzy Steve) (6:41)NWA Powerrr #216 - The Crockett Cup 2025: Part 1- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
11,17.05.2025,,"Crockett Cup 2025 Quarter Final:The Holy Grail(EC3&Pretty Boy Smooth) defeatThe Southern Six(Alex Taylor&Kerry Morton) (9:09)NWA Powerrr #218 - The Crockett Cup 2025: Part 3- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
