date,event,result,location,image_url
1,12.09.2025,,"Handsome Rambo:Masatora YasudadefeatsEl PhantasmoandGabe KiddandHiromu TakahashiandShingo TakagiandSHOandYOH(9:07)NJPW Shinnichi-Champion presents Pyon!- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
2,17.08.2025,,"House Of Torture(Don Fale,SANADA&Yoshinobu Kanemaru) defeatEl Phantasmo,Oleg Boltin&Tiger Mask(6:58)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
3,16.08.2025,,"United Empire(Callum Newman,Great-O-Khan&Jakob Austin Young) defeatEl Phantasmo,Hiroshi Tanahashi&Katsuya Murashima(9:34)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
4,14.08.2025,,"House Of Torture(Ren Narita,SANADA,Yoshinobu Kanemaru&Yujiro Takahashi) defeatEl Phantasmo,Jado,Oleg Boltin&Toru Yano(6:45)NJPW G1 Climax 35 - Tag 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
5,08.08.2025,,"G1 Climax 2025 Block B:El Phantasmo[6] defeatsYOSHI-HASHI[8] (12:30)NJPW G1 Climax 35 - Tag 14- Online Stream @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
6,07.08.2025,,"El Phantasmo&JadodefeatShoma Kato&YOSHI-HASHI(5:35)NJPW G1 Climax 35 - Tag 13- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
7,05.08.2025,,"G1 Climax 2025 Block B:El Phantasmo[4] defeatsDrilla Moloney[8] (5:03)NJPW G1 Climax 35 - Tag 12- Online Stream @ INTEX Osaka Building No. 5 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
8,03.08.2025,,"BULLET CLUB War Dogs(Drilla Moloney&Taiji Ishimori) defeatEl Phantasmo&Jado(6:05)NJPW G1 Climax 35 - Tag 11- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
9,02.08.2025,,"G1 Climax 2025 Block B:Shingo Takagi[6] defeatsEl Phantasmo[2] (14:27)NJPW G1 Climax 35 - Tag 10- Online Stream @ Hiroshima Sun Plaza in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
10,01.08.2025,,"El Phantasmo&JadodefeatDaiki Nagai&Shingo Takagi(8:55)NJPW G1 Climax 35 - Tag 9- Online Stream @ Sunmesse Kagawa in Takamatsu, Kagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/2/26/ELP202302.png
