date,event,result,location,image_url
1,12.04.2024,,"Tenille DashwooddefeatsJessica Troy(11:30)OPW H.E.R.- Pay Per View @ Selkirk Stadium in Ballarat, Victoria, Australia",
2,10.07.2023,,"Shayna BaszlerdefeatsEmma(1:30)WWE Monday Night RAW #1572- TV-Show @ KeyBank Center in Buffalo, New York, USA",
3,03.07.2023,,"WWE Women's Tag Team Title#1 Contendership Turmoil:Chelsea Green&Sonya DevilledefeatCandice LeRae&Indi HartwellandDana Brooke&Tegan NoxandEmma&Nikki CrossandKatana Chance&Kayden Carter(11:55)WWE Monday Night RAW #1571- TV-Show @ CFG Bank Arena in Baltimore, Maryland, USA",
4,26.06.2023,,"Katana ChancedefeatsEmma(5:29)WWE Main Event #561- Online Stream @ Enmarket Arena in Savannah, Georgia, USA",
5,22.05.2023,,"Nikki CrossdefeatsEmma(8:06)WWE Main Event #556- Online Stream @ GIANT Center in Hershey, Pennsylvania, USA",
6,15.05.2023,,"Dana BrookedefeatsEmma(5:41)WWE Main Event #555- Online Stream @ Greensboro Coliseum in Greensboro, North Carolina, USA",
7,08.05.2023,,"EmmadefeatsRoxanne Perez(6:11)WWE Main Event #554- Online Stream @ VyStar Veterans Memorial Arena in Jacksonville, Florida, USA",
8,17.03.2023,,"Liv Morgan&Raquel RodriguezdefeatEmma&Tegan Nox(3:45)WWE Friday Night SmackDown #1230- TV-Show @ T-Mobile Center in Kansas City, Missouri, USA",
9,28.01.2023,,"Royal Rumble:Rhea RipleydefeatsAsukaandB-FabandBayleyandBecky LynchandCandice LeRaeandChelsea GreenandDakota KaiandDana BrookeandEmmaandIndi HartwellandIYO SKYandLacey EvansandLiv MorganandMia YimandMichelle McCoolandNatalyaandNia JaxandNikki CrossandPiper NivenandRaquel RodriguezandRoxanne PerezandShayna BaszlerandShotziandSonya DevilleandTaminaandTegan NoxandXia LiandZelina VegaandZoey Stark(61:08)WWE Royal Rumble 2023- Premium Live Event @ Alamodome in San Antonio, Texas, USA",
10,06.01.2023,,"Mixed:Karrion Kross&ScarlettdefeatEmma&Madcap Moss(3:29)WWE Friday Night SmackDown #1220- TV-Show @ FedExForum in Memphis, Tennessee, USA",
11,29.12.2022,,"Mixed:Emma,Kofi Kingston&Madcap MossdefeatLegado del Fantasma(Cruz Del Toro,Joaquin Wilde&Zelina Vega)WWE Live Holiday Tour- House Show @ FTX Arena in Miami, Florida, USA",
12,28.12.2022,,"Mixed:Emma,Kofi Kingston&Madcap MossdefeatLegado del Fantasma(Cruz Del Toro,Joaquin Wilde&Zelina Vega)WWE Live Holiday Tour- House Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",
13,18.12.2022,,"Mixed:Emma&Madcap MossdefeatKarrion Kross&ScarlettWWE SuperShow Holiday Tour - Tag 5- House Show @ Mayo Civic Center in Rochester, Minnesota, USA",
14,17.12.2022,,"Mixed:Emma&Madcap MossdefeatKarrion Kross&ScarlettWWE SuperShow Holiday Tour - Tag 4- House Show @ Vibrant Arena At The Mark in Moline, Illinois, USA",
15,16.12.2022,,"WWE SmackDown Women's Title#1 Contendership Gauntlet:Raquel RodriguezdefeatsEmmaandLiv MorganandShayna BaszlerandSonya DevilleandTegan NoxandXia Li(23:58)WWE Friday Night SmackDown #1218- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",
16,11.12.2022,,"Mixed:Karrion Kross&ScarlettdefeatEmma&Madcap MossWWE Live Holiday Tour- House Show @ Charleston Coliseum in Charleston, West Virginia, USA",
17,10.12.2022,,"Mixed:Karrion Kross&ScarlettdefeatEmma&Madcap MossWWE Live Holiday Tour- House Show @ Wesbanco Arena in Wheeling, West Virginia, USA",
