date,event,result,location,image_url
1,15.11.2015,,"Kazuchika OkadadefeatsGenichiro Tenryu(17:27)Tenryu Project Genichiro Tenryu Retirement ~ Revolution FINAL- Pay Per View @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
2,05.10.2015,,"Jun Kasai&Takashi SasakidefeatGenichiro Tenryu&Yuya Susumu(14:08)FREEDOMS First Landing And Final Tenryu In Odate- Event @ Odate Citizen Gymnasium in Odate, Akita, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
3,04.10.2015,,"Takashi Sasaki&Yuko MiyamotodefeatGenichiro Tenryu&Jun Kasai(19:45)FREEDOMS Takashi Sasaki Triumphant Local Return I Love Ichinoseki- Online Stream @ Ichinoseki Gymnasium Yudomu Main Arena in Ichinoseki, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
4,21.09.2015,,"Genichiro Tenryu,Masayuki Kono&Shiro KoshinakadefeatGreat Muta,KAZMA SAKAMOTO&NOSAWA Rongai(16:17)W-1 WRESTLE-1 Tour 2015 2nd Anniversary - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
5,13.09.2015,,"Aja Kong&Genichiro TenryudefeatMeiko Satomura&Shinjiro Otani(18:11)ZERO1 Eradicating Bullying Of Children ~ Genki Tamashii Special Edition Final Fuun Asariryu- Event @ Aikawa Townsmen Gymnasium in Sado, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
6,02.09.2015,,"Genichiro Tenryu&Katsuyori ShibatadefeatSuzuki-gun(Minoru Suzuki&Takashi Iizuka) (20:26)Tenryu Project Genichiro Tenryu Retirement ~ Revolution Final Tour In Korakuen- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
7,30.08.2015,,"Daisuke Sekimoto&Kazuki HashimotodefeatGenichiro Tenryu&Hideyoshi Kamitani(12:16)BJW Death Mania III- TV-Show @ Nagoya International Conference Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
8,23.08.2015,,"Genichiro Tenryu,Saki Akai&Sanshiro TakagidefeatKazusada Higuchi,Meiko Satomura&Shuji Ishikawa(13:09)DDT Ryogoku Peter Pan 2015 ~From DDT With Love~- TV-Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
9,09.08.2015,,"Arashi,Billy Ken Kid,Genichiro Tenryu&Ryota ChikuzendefeatAsosan,Buki,Dragon JOKER&Minoru Fujita(14:30)Kyushu Pro 7th Anniversary Show ~ Kinniku Yamakasa 2015- Event @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
10,27.07.2015,,"Genichiro Tenryu,Kenichiro Arai&Yuji HinodefeatKazuhiro Tamura,Kengo Mashimo&Yoshiaki Fujiwara(22:10)Tenryu Project Genichiro Tenryu Retirement ~ Revolution Final Tour- TV-Show @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
11,25.07.2015,,"Akebono,Genichiro Tenryu&Ultimo DragondefeatBurning Wild(Jun Akiyama&Takao Omori) &Shigehiro Irie(17:27)AJPW Summer Action Series 2015 - Tag 9- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
12,30.06.2015,,"Genichiro Tenryu&Ryuichi KawakamidefeatHideyoshi Kamitani&Kazuki Hashimoto(13:40)BJW Sapporo Teisen Hall Pro-Wrestling Last Match ~ Sapporo Limelight- TV-Show @ Sapporo Teisen Hall in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
13,13.06.2015,,"Genichiro Tenryu,Yoshihiro Takayama&Yoshinari OgawadefeatMasao Inoue,Naomichi Marufuji&Yuji Nagata(15:37)NOAH Mitsuharu Misawa Memorial Tour 2015 - Tag 2 ~ Mitsuharu Misawa Memorial Night 2015- TV-Show @ Hiroshima Green Arena in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
14,07.06.2015,,"Genichiro Tenryu&Kengo MashimodefeatRyuichi Sekine&Saburo Inematsu(15:22)K-DOJO K-Up Impact In Blue Field ~ Summer 2015 ~- Online Stream @ Chiba Blue Field in Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
15,30.05.2015,,"Dory Funk Jr.,Genichiro Tenryu&NOSAWA RongaidefeatAtsushi Aoki,Hikaru Sato&Suwama(16:31)Tenryu Project Genichiro Tenryu Retirement ~ Revolution Final Tour In Osaka- TV-Show @ Osaka Prefectural Gymnasium #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/02/GenichiroTenryu2008.png
