date,event,result,location,image_url
1,08.12.1995,,"One Night Tag Team Tournament First Round:The Great Shinja&TyphoondefeatEl Gigante&Koji Kitaoby Count Out (7:40)WAR Champion Of R - Tag 11: Super Heavy-WAR- Event @ Ota Ward Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
2,04.12.1995,,"El Gigante&Koji KitaodefeatArashi&Genichiro Tenryu(9:43)WAR Champion Of R - Tag 8- Event @ Hakata Star Lanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
3,10.02.1995,,"Two On One Handicap:El GigantedefeatsManabu Nakanishi&Tatsuhito Takaiwa(3:20)NJPW Fighting Spirit 1995 - Tag 9- Event @ City Gymnasium in Mitsukaido, Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
4,08.02.1995,,"Great MutadefeatsEl Gigante(8:07)NJPW Fighting Spirit 1995 - Tag 8- Event @ City Gymnasium in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
5,07.02.1995,,"El GigantedefeatsTadao Yasuda(3:15)NJPW Fighting Spirit 1995 - Tag 7- Event @ Civic Gymnasium in Hirosaki, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
6,05.02.1995,,"Two On One Handicap:El GigantedefeatsBlack Cat&Tadao Yasuda(5:27)NJPW Fighting Spirit 1995 - Tag 6- Event @ Civic Gymnasium in Hakodate, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
7,04.02.1995,,"Two On One Handicap:El GigantedefeatsTadao Yasuda&Yuji Nagata(3:47)NJPW Fighting Spirit 1995 - Tag 5- TV-Show @ Nakajima Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
8,03.02.1995,,"Two On One Handicap:El GigantedefeatsBlack Cat&Tatsuhito Takaiwa(3:42)NJPW Fighting Spirit 1995 - Tag 4- TV-Show @ Nakajima Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
9,27.09.1994,,"J J JACKS(Akira Nogami&Takayuki Iizuka) &Scott NortondefeatEl Gigante,Manabu Nakanishi&Tadao Yasuda(8:57)NJPW G1 Climax Special 1994 - Tag 9- TV-Show @ Osaka-Jo Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
10,26.09.1994,,"Two On One Handicap:El GigantedefeatsBlack Cat&Tadao Yasuda(5:28)NJPW G1 Climax Special 1994 - Tag 8- Event @ World Hall  in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
11,24.09.1994,,"Three On Two Handicap:El Gigante&Satoshi KojimadefeatShinjiro Otani,Tadao Yasuda&Yuji Nagata(11:07)NJPW G1 Climax Special 1994 - Tag 7- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
12,23.09.1994,,"Two On Three Handicap:Black Tiger&El GigantedefeatEl Samurai,Tadao Yasuda&Tokimitsu Ishizawa(7:21)NJPW G1 Climax Special 1994 - Tag 6- TV-Show @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
13,22.09.1994,,"Two On One Handicap:El GigantedefeatsBlack Cat&Tadao Yasuda(4:49)NJPW G1 Climax Special 1994 - Tag 5- Event @ Miyagi Sports Center in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
14,05.08.1994,,"Three On Two Handicap:El Gigante&Jushin Thunder LigerdefeatEl Samurai,Shinjiro Otani&Tadao Yasuda(6:15)NJPW G1 Climax 1994 - Tag 3- TV-Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
15,03.08.1994,,"El GigantedefeatsNailz(2:47)NJPW G1 Climax 1994 - Tag 1- TV-Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
16,01.05.1994,,"El GigantedefeatsTadao Yasuda(3:51)NJPW Wrestling Dontaku In Fukuoka Dome 1994- TV-Show @ Fukuoka Dome in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
17,27.09.1993,,"WWF Intercontinental TitleDecision Match Qualifying Battle Royal:Razor RamonandRick MarteldefeatAdam BombandBam Bam BigelowandBastion BoogerandBob BacklundandDieselandGiant GonzalezandIrwin R. SchysterandJacquesandJimmy SnukaandMabelandMarty JannettyandMr. PerfectandOwen HartandPierreandRandy SavageandTatankaandThe 1-2-3 KidandThe MVP(19:21)WWF Monday Night RAW #34- TV-Show @ New Haven Coliseum in New Haven, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
18,09.09.1993,,"USWA Heavyweight Title:Jeff Jarrett(c) defeatsGiant GonzalezUSWA- Event @ Bowling Green, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
19,06.09.1993,,"Jerry LawlerdefeatsGiant Gonzalezby DQUSWA- Event @ Mid-South Coliseum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
20,04.09.1993,,"Giant Gonzalezdefeats Sam NorrisUSWA Wrestling- TV-Show @ Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/0/07/Gigante_Jorge_Gonzalez_con_Leon_Najundel_%28cropped%29.jpg
