date,event,result,location,image_url
1,12.09.2025,,"AAA World Tag Team Title:Pagano&Psycho Clown(c) defeatGrayson Waller&Kofi Kingston(16:53)AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
2,07.09.2025,,"WWE NXT Title:Oba Femi(c) defeatsGrayson WallerWWE NXT Live- House Show @ Bell Auditorium in Augusta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
3,06.09.2025,,"Grayson WallerdefeatsShiloh HillWWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
4,05.09.2025,,"WWE NXT Title:Oba Femi(c) defeatsGrayson WallerWWE NXT Live- House Show @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
5,01.09.2025,,"Penta&The War Raiders(Erik&Ivar) defeatGrayson Waller&The New Day(Kofi Kingston&Xavier Woods) (8:24)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
6,11.08.2025,,"Grayson WallerdefeatsAkira Tozawa(7:24)WWE Main Event #672- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
7,04.08.2025,,"PentadefeatsGrayson Waller(8:19)WWE Monday Night RAW #1680- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
8,28.07.2025,,"SheamusdefeatsGrayson Waller(4:10)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
9,21.07.2025,,"PentadefeatsGrayson Waller(4:52)WWE Main Event #669- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
10,23.06.2025,,"The War Raiders(Erik&Ivar) defeatA-Town Down Under(Austin Theory&Grayson Waller) (6:54)WWE Main Event #665- Online Stream @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/5/52/Grayson_Waller_-_WWE_Live_%28Nottingham_UK%2C_October_2023%29_%28cropped%29.jpg
