date,event,result,location,image_url
1,02.06.2019,,"Three Way:Luke HawxdefeatsCody HallandHardcore HollyWAW Fightmare 3- Event @ Norwich City Football Stadium in Norwich, Norfolk, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
2,01.06.2019,,"Aussie Open(Kyle Fletcher&Mark Davis) &Hardcore HollydefeatJay FK(Francis Kaspin&Jay Skillet) &Absolute AndywXw Superstars Of Wrestling 2019- Event @ Turbinenhalle in Oberhausen, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
3,13.04.2019,,"Andrew Palace&Hardcore HollydefeatChris LeRusso&Jock SamsonIWC Night Of The Superstars 8- Event @ Meadville Area High School in Meadville, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
4,30.03.2019,,"Maverick Heavyweight Title:Killer Kross(c) defeatsBob HollyMaverick CTRL-ALT-DELETE- Event @ Spry Society Academy Of Fitness in Culver City, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
5,16.11.2018,,"Brody KingdefeatsHardcore Holly(8:30)GCW Joey Janela's LA Confidential- Pay Per View @ The Hi Hat in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
6,20.10.2018,,"Hardcore Holly,Jason King&South Philly's Finest(Jimmy Konway&Luca Brazzi) defeat Team Undeniable (???, ???,Andy Header&Pat Sawyer)PPW Trust No One- Event @ Holy Family Academy in Hazleton, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
7,27.07.2018,,"Hall Of Fame Classic Tournament 2018 First Round:Colt CabanadefeatsBob HollyIPW Evaluation Show- Event @ Five Sullivan Brothers Convention Center in Waterloo, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
8,24.06.2018,,"True Grit(Hoss Hogg&Jesse James) defeatAl Snow&Bob Holly(16:04)Bumps And Brewses- Event @ Boomtown Brewery in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
9,08.06.2018,,"RCCW Heavyweight Title:Chris Black(c) defeatsBob HollyRCCW Summertime Bruise IV- Event @ American Legion Post 52 in La Crosse, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
10,28.04.2018,,"Hardcore HollydefeatsKevin ThornHOH 41- Event @ Grand Wayne Convention Center in Fort Wayne, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
11,27.04.2018,,"Bob HollydefeatsScotty YoungWRW Arabian Rumble 2- Event @ Pendleton Heights High School in Pendleton, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/19/Bob_Holly_in_1996.jpg
