date,event,result,location,image_url
1,05.01.2025,,"IWGP Global Heavyweight Title:Yota Tsuji(c) defeatsJack Perry(13:12)NJPW/CMLL/AEW Wrestle Dynasty- Pay Per View @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
2,15.12.2024,,"Jack Perry&Konosuke TakeshitadefeatLos Ingobernables de Japon(Shingo Takagi&Yota Tsuji) (17:44)NJPW Strong Style Evolved 2024- Online Stream @ Walter Pyramid in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
3,23.11.2024,,"AEW TNT Title:Daniel GarciadefeatsJack Perry(c) (18:16) -TITLE CHANGE !!!AEW Full Gear 2024- Pay Per View @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
4,07.11.2024,,"AEW TNT Title:Jack Perry(c) defeatsAction Andretti(9:48)AEW Collision #69- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
5,23.10.2024,,"Daniel Garcia&Private Party(Quen&Zay) defeatThe Elite(Jack Perry,Matthew Jackson&Nicholas Jackson) (11:10)AEW Dynamite #264- TV-Show @ Maverik Center in West Valley City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
6,12.10.2024,,"AEW TNT Title:Jack Perry(c) defeatsKatsuyori Shibata(9:20)AEW WrestleDream 2024- Pay Per View @ Tacoma Dome in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
7,02.10.2024,,"Katsuyori Shibata&Private Party(Quen&Zay) defeatThe Elite(Jack Perry,Matthew Jackson&Nicholas Jackson) (15:06)AEW Rampage #165- TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
8,25.09.2024,,"AEW TNT Title:Jack Perry(c) defeatsMinoru Suzukiby Count Out (8:16)AEW Collision #64 - Grand Slam 2024 - Tag 2- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
9,12.09.2024,,"AEW TNT Title:Jack Perry(c) defeatsChristopher Daniels(5:06)AEW Collision #62- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
10,11.09.2024,,"AEW TNT Title:Jack Perry(c) defeatsLio Rush(8:39)AEW Dynamite #258- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/Jack_Perry_as_AEW_TNT_Champion_%28cropped%29.jpg
