date,event,result,location,image_url
1,12.09.2025,,"Dark Street Fight:Jacob FatudefeatsRusevWWE Friday Night SmackDown #1360- Dark Match @ Scope Arena in Norfolk, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
2,05.09.2025,,"Dark Tag Team Tornado:AJ Styles&Jacob FatudefeatThe New Day(Kofi Kingston&Xavier Woods)WWE Friday Night SmackDown #1359- Dark Match @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
3,28.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
4,27.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(Solo Sikoa,Talla Tonga&Tonga Loa)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
5,26.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
6,24.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
7,23.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
8,22.08.2025,,"Dark:Jacob FatudefeatsDominik MysterioWWE Friday Night SmackDown #1357- Dark Match @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
9,15.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa) (11:05)WWE Friday Night SmackDown #1356- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
10,03.08.2025,,"WWE United States TitleSteel Cage:Solo Sikoa(c) defeatsJacob Fatu(12:37)WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
11,27.07.2025,,"Cody Rhodes,Jacob Fatu&Jimmy UsodefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
12,26.07.2025,,"Cody Rhodes,Jacob Fatu&Jimmy UsodefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
13,25.07.2025,,"Jacob FatudefeatsThe Miz(7:55)WWE Friday Night SmackDown #1353- TV-Show @ Rocket Arena in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
14,20.07.2025,,"Cody Rhodes,Jacob Fatu&Randy OrtondefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/28/Jacob_Fatu_051025_%28cropped%29.jpg
