date,event,result,location,image_url
1,11.09.2025,,"500.000 Dollar:Megan Bayne,Penelope Ford&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Jamie Hayter,Kris Statlander&TayJay(Anna Jay&Tay Melo)AEW Collision #110- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
2,25.05.2025,,"Owen Hart Foundation 2025 Women's Tournament Final:Mercedes MonedefeatsJamie Hayter(21:17)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
3,23.04.2025,,"Owen Hart Foundation 2025 Women's Tournament Semi Final:Jamie HayterdefeatsKris Statlander(12:10)AEW Dynamite #290- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
4,12.04.2025,,"Owen Hart Foundation 2025 Women's Tournament Quarter Final:Jamie HayterdefeatsBillie Starkz(13:55)AEW Collision #88- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
5,29.03.2025,,"Jamie HayterdefeatsBillie Starkz(10:01)AEW Collision #86- TV-Show @ UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
6,07.02.2025,,"Jamie HayterdefeatsAlex Windsor(23:43)EVE 131: Multiverse Rumble- Online Stream @ The Big Penny Social in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
7,22.01.2025,,"Jamie HayterdefeatsJulia Hart(9:35)AEW Dynamite #277- TV-Show @ Knoxville Civic Coliseum in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
8,15.01.2025,,"AEW Women's World Title#1 Contendership Casino Gauntlet:Toni StormdefeatsHarley CameronandJamie HayterandJulia HartandKris StatlanderandMegan BayneandWillow Nightingale(13:22)AEW Dynamite #276 - Maximum Carnage - Tag 1- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
9,01.01.2025,,"Julia HartdefeatsJamie Hayter(9:59)AEW Dynamite #274 - Fight For The Fallen 2025- TV-Show @ Harrah's Cherokee Center in Asheville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
10,12.12.2024,,"Wrestle Dynasty International Women's Cup Qualifier Tournament Final:Willow NightingaledefeatsJamie Hayter(12:04)AEW Collision #73 - Winter Is Coming 2024 - Tag 3- TV-Show @ Chaifetz Arena in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
11,27.11.2024,,"Wrestle Dynasty International Women's Cup Qualifier Tournament Semi Final:Jamie HayterdefeatsQueen Aminata(9:18)AEW Dynamite #269 - Thanksgiving Eve 2024- TV-Show @ Wintrust Arena in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
12,06.11.2024,,"Jamie HayterdefeatsPenelope Ford(4:38)AEW Dynamite #266- TV-Show @ SNHU Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
13,17.10.2024,,"Jamie HayterdefeatsBrooke Havok(1:59)AEW Collision #66- TV-Show @ Adventist Health Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
14,08.10.2024,,"AEW Women's World Title#1 Contendership Four Way:Willow NightingaledefeatsJamie HayterandNyla RoseandSaraya(11:24)AEW Dynamite #262 - Title Tuesday 2024- TV-Show @ Spokane Arena in Spokane, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
15,25.09.2024,,"Saraya's Rules:Jamie HayterdefeatsSaraya(8:10)AEW Collision #64 - Grand Slam 2024 - Tag 2- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
16,04.09.2024,,"Jamie HayterdefeatsRobyn Renegade(2:26)AEW Dynamite #257- TV-Show @ UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
