date,event,result,location,image_url
1,28.01.2018,,"WWE RAW Tag Team Title:The Bar(Cesaro&Sheamus) defeatJason Jordan&Seth Rollins(c) (12:45) -TITLE CHANGE !!!WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
2,27.01.2018,,"Jason Jordan&The Shield(Roman Reigns&Seth Rollins) defeatThe Miz&The Miztourage(Bo Dallas&Curtis Axel)WWE Live- House Show @ Royal Farms Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
3,08.01.2018,,"Finn Balor&The Club(Karl Anderson&Luke Gallows) defeatJason Jordan&The Shield(Roman Reigns&Seth Rollins) (15:28)WWE Monday Night RAW #1285- TV-Show @ FedExForum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
4,07.01.2018,,"Jason Jordan&The Shield(Roman Reigns&Seth Rollins) defeatSamoa Joe&The Bar(Cesaro&Sheamus)WWE Live Holiday Tour- House Show @ West Plains Civic Center in West Plains, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
5,06.01.2018,,"Jason Jordan&The Shield(Roman Reigns&Seth Rollins) defeatSamoa Joe&The Bar(Cesaro&Sheamus)WWE Live Holiday Tour- House Show @ Show Me Center in Cape Girardeau, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
6,05.01.2018,,"Jason Jordan&The Shield(Roman Reigns&Seth Rollins) defeatSamoa Joe&The Bar(Cesaro&Sheamus)WWE Live Holiday Tour- House Show @ Ford Center in Evansville, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
7,01.01.2018,,"Jason JordandefeatsCesaro(13:15)WWE Monday Night RAW #1284- TV-Show @ American Airlines Arena in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
8,30.12.2017,,"WWE RAW Tag Team Title:Jason Jordan&Seth Rollins(c) defeatThe Bar(Cesaro&Sheamus)WWE Live- House Show @ Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
9,29.12.2017,,"WWE RAW Tag Team TitleSteel Cage:Jason Jordan&Seth Rollins(c) defeatThe Bar(Cesaro&Sheamus)WWE Live Holiday Tour- House Show @ Times Union Center in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
10,28.12.2017,,"WWE RAW Tag Team TitleSteel Cage:Jason Jordan&Seth Rollins(c) defeatThe Bar(Cesaro&Sheamus)WWE Live Holiday Tour- House Show @ XL Center in Hartford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/7/7b/American_Alpha.jpg
