date,event,result,location,image_url
1,16.08.2025,,"Jay Lethal,Jeff Jarrett,QT Marshall&Satnam SinghdefeatJimmy Wild,Parker Li, Scorpious &Tommy Mars1FW Back To School Bash- Event @ West Jackson Middle School in Jefferson, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
2,31.05.2025,,"CPA,Jeff Jarrett&Nick RoblesdefeatThe Adrenaline Express(Eric James&VSK) &TJ Crawford(14:19)CAP The Chosen Ones- Online Stream @ All Sportz Melville in Melville, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
3,22.03.2025,,"AAA World Tag Team TitleThree Way Match (vakant):Nueva Generacion Dinamita(Forastero&Sanson) defeatJeff Jarrett&Sam AdonisandLaredo Kid&Pagano(12:59) -TITLE CHANGE !!!AAA Rey De Reyes 2025- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
4,29.01.2025,,"Claudio CastagnolidefeatsJeff Jarrett(10:06)AEW Dynamite #278- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
5,08.01.2025,,"AEW World Title#1 Contendership Casino Gauntlet:Powerhouse HobbsdefeatsAdam ColeandAdam PageandDaniel GarciaandJay WhiteandJeff JarrettandKyle O'ReillyandLance ArcherandRicochetandRoderick StrongandWheeler Yuta(26:33)AEW Dynamite #275- TV-Show @ F&M Bank Arena in Clarksville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
6,04.01.2025,,"Jeff JarrettdefeatsAaron Solo(1:31)AEW Collision #75- TV-Show @ Bojangles Coliseum in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
7,28.12.2024,,"Jeff JarrettdefeatsQT Marshall(9:25)AEW Worlds End 2024 - Zero Hour- Online Stream @ Addition Financial Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
8,25.09.2024,,"Lumberjack Strap:Adam PagedefeatsJeff Jarrett(13:27)AEW Collision #64 - Grand Slam 2024 - Tag 2- TV-Show @ Arthur Ashe Stadium in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
9,28.08.2024,,"Three Way:Jay Lethal&Jeff JarrettdefeatThe Undisputed Kingdom(Matt Taven&Mike Bennett) andPrivate Party(Isiah Kassidy&Marq Quen) (9:53)AEW Rampage #160- TV-Show @ State Farm Arena in Champaign, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
10,25.08.2024,,"AEW World Title#1 Contendership Casino Gauntlet:Christian CagedefeatsAdam PageandJeff JarrettandKazuchika OkadaandKyle O'ReillyandLuchasaurusandMark BriscoeandNigel McGuinnessandOrange CassidyandRicochetandRoderick StrongandZack Sabre Jr.(25:57)AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/32/Jarrett_WWF_1999.jpg
