date,event,result,location,image_url
1,01.09.2025,,"The Vision(Bron Breakker&Bronson Reed) defeatJey Uso&LA Knight(14:00)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
2,31.08.2025,,"WWE World Heavyweight  TitleFatal Four Way:Seth Rollins(c) defeatsCM PunkandJey UsoandLA Knight(24:49)WWE Clash In Paris- Premium Live Event @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
3,28.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
4,27.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(Solo Sikoa,Talla Tonga&Tonga Loa)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
5,26.08.2025,,"Jacob Fatu&The Usos(Jey Uso&Jimmy Uso) defeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
6,18.08.2025,,"Extreme Rules:Jey UsodefeatsBron Breakker(20:55)WWE Monday Night RAW #1682- Online Stream @ Xfinity Mobile Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
7,02.08.2025,,"Jey Uso&Roman ReignsdefeatBron Breakker&Bronson Reed(21:04)WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
8,01.08.2025,,"Dark:The Usos(Jey Uso&Jimmy Uso) defeatThe Judgment Day(Dominik Mysterio&JD McDonagh)WWE Friday Night SmackDown #1354- Dark Match @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
9,28.07.2025,,"Jey UsodefeatsBronson Reedby DQ (7:09)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
10,27.07.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson ReedWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
11,26.07.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson ReedWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
12,14.07.2025,,"WWE World Heavyweight  Title#1 Contendership Gauntlet:CM PunkdefeatsBron BreakkerandJey UsoandLA KnightandPenta(41:17)WWE Monday Night RAW #1677- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
13,11.07.2025,,"DarkWWE World Heavyweight  TitleExtreme Rules:Gunther(c) defeatsJey UsoWWE Friday Night SmackDown #1351- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
14,07.07.2025,,"Jey UsodefeatsBronson Reedby DQ (3:15)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
15,23.06.2025,,"King Of The Ring 2025 Semi Final:Cody RhodesdefeatsJey Uso(20:05)WWE Monday Night RAW #1674- Online Stream @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
16,16.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Jey UsodefeatsBronson ReedandRusevandSheamus(17:25)WWE Monday Night RAW #1673- Online Stream @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
17,09.06.2025,,"WWE World Heavyweight  Title:GuntherdefeatsJey Uso(c) (22:05) -TITLE CHANGE !!!WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
18,07.06.2025,,"Cody Rhodes&Jey UsodefeatJohn Cena&Logan Paul(24:00)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
19,02.06.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson Reedby DQ (9:01)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
20,24.05.2025,,"WWE World Heavyweight  Title:Jey Uso(c) defeatsLogan Paul(9:46)WWE Saturday Night's Main Event #39- TV-Show @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
21,19.05.2025,,"Jey UsodefeatsBron Breakkerby DQ (15:52)WWE Monday Night RAW #1669- Online Stream @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
22,05.05.2025,,"WWE World Heavyweight  Title:Seth RollinsdefeatsJey Uso(c) by DQ (16:54)WWE Monday Night RAW #1667- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
23,19.04.2025,,"WWE World Heavyweight  Title:Jey UsodefeatsGunther(c) (16:21) -TITLE CHANGE !!!WWE WrestleMania 41 - Saturday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
24,30.03.2025,,"Jey Uso,Randy Orton&Seth RollinsdefeatDominik Mysterio,Ludwig Kaiser&The MizWWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
25,29.03.2025,,"Jey UsodefeatsLudwig KaiserWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/b/b5/Flickr_-_simononly_-_WWE_Hall_of_Fame_2012_-_Yokozuna.jpg
