date,event,result,location,image_url
1,11.09.2025,,"500.000 Dollar:Megan Bayne,Penelope Ford&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Jamie Hayter,Kris Statlander&TayJay(Anna Jay&Tay Melo) (9:15)AEW Collision #110- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
2,06.09.2025,,"Harley Cameron,Kris Statlander,Mina Shirakawa&Toni StormdefeatMegan Bayne&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) (12:14)AEW Collision #109- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
3,30.08.2025,,"Mina Shirakawa,Queen Aminata&Toni StormdefeatBillie Starkz&Triangle Of Madness(Julia Hart&Skye Blue) (12:01)AEW Collision #108- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
4,24.08.2025,,"Megan Bayne&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatHarley Cameron,Kris Statlander,Queen Aminata&Willow Nightingale(11:17)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",
5,23.08.2025,,"Millie McKenzie&Safire Reedvs. Sisters Of Sin (Julia Hart&Skye Blue) - Time Limit Draw (20:00)EVE 138: EVE x The World- Online Stream @ The Big Penny Social in London, England, UK",
6,20.08.2025,,"Queen Aminata&Willow NightingaledefeatTriangle Of Madness(Julia Hart&Skye Blue) (9:34)AEW Collision #107- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",
7,14.08.2025,,"100.000 Dollar Four Way:Kris StatlanderdefeatsAnna JayandJulia HartandPenelope Ford(9:44)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",
8,09.08.2025,,"Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatQueen Aminata,Tay Melo&Willow Nightingale(9:29)AEW Collision #105- TV-Show @ Berglund Center in Roanoke, Virginia, USA",
9,26.07.2025,,"Triangle Of Madness(Julia Hart,Skye Blue&Thekla) defeatLaynie Luck,Mazzerati&Rachael Ellering(3:11)AEW Collision #103- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",
10,12.07.2025,,"Casino Gauntlet:AthenadefeatsAlex WindsorandJulia HartandKris StatlanderandMegan BayneandMina ShirakawaandQueen AminataandSyuriandTay MeloandTheklaandThunder RosaandWillow Nightingale(27:01)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",
11,10.07.2025,,"Mina Shirakawa,Queen Aminata,Thunder Rosa&Willow NightingaledefeatAthena,Julia Hart,Megan Bayne&Thekla(12:41)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",
12,02.07.2025,,"Athena,Julia Hart,Megan Bayne&ThekladefeatQueen Aminata,TayJay(Anna Jay&Tay Melo) &Thunder Rosa(10:20)AEW Collision #100- TV-Show @ Toyota Arena in Ontario, California, USA",
13,11.06.2025,,"Toni StormdefeatsJulia Hart(7:55)AEW Collision #97 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",
14,04.06.2025,,"Mina Shirakawa&Toni StormdefeatJulia Hart&Skye Blue(9:49)AEW Dynamite #296 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",
