date,event,result,location,image_url
1,29.01.2022,,"Royal Rumble:Ronda RouseydefeatsAlicia FoxandAliyahandBianca BelairandBrie BellaandCameronandCarmellaandCharlotte FlairandDana BrookeandIvoryandKelly KellyandLitaandLiv MorganandMelinaandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNikki ASHandNikki BellaandQueen ZelinaandRhea RipleyandSarah LoganandSasha BanksandShayna BaszlerandShotziandSonya DevilleandSummer RaeandTamina(59:42)WWE Royal Rumble 2022- Premium Live Event @ The Dome At America's Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
2,26.01.2020,,"Royal Rumble:Charlotte FlairdefeatsAlexa BlissandBeth PhoenixandBianca BelairandCandice LeRaeandCarmellaandChelsea GreenandDakota KaiandDana BrookeandKairi SaneandKelly KellyandLanaandLiv MorganandMandy RoseandMercedes MartinezandMia YimandMighty MollyandNaomiandNatalyaandNikki CrossandSantina MarellaandSarah LoganandShayna BaszlerandShotzi BlackheartandSonya DevilleandTaminaandTegan NoxandToni StormandXia LiandZelina Vega(54:17)WWE Royal Rumble 2020- Premium Live Event @ Minute Maid Park in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
3,28.10.2018,,"20 Woman Battle Royal:Nia JaxdefeatsAlundra BlayzeandAsukaandBillie KayandCarmellaandDana BrookeandEmber MoonandIvoryandKelly KellyandLanaandMandy RoseandMaria KanellisandMichelle McCoolandMolly HollyandNaomiandPeyton RoyceandSonya DevilleandTaminaandTorrie WilsonandZelina Vega(16:28)WWE Evolution 2018- Premium Live Event @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
4,28.01.2018,,"Royal Rumble:AsukadefeatsBayleyandBecky LynchandBeth PhoenixandBrie BellaandCarmellaandDana BrookeandEmber MoonandJacquelineandKairi SaneandKelly KellyandLanaandLitaandLiv MorganandMandy RoseandMichelle McCoolandMickie JamesandMolly HollyandNaomiandNatalyaandNia JaxandNikki BellaandRuby RiottandSarah LoganandSasha BanksandSonya DevilleandTaminaandTorrie WilsonandTrish StratusandVickie Guerrero(59:00)WWE Royal Rumble 2018- Premium Live Event @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
5,12.08.2012,,"Kelly KellydefeatsNatalyaWWE SmackDown House Show- House Show @ Linco Stadium in Taipei, Taiwan",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
6,11.08.2012,,"Kelly KellydefeatsNatalyaWWE SmackDown House Show- House Show @ Oriental Sports Center in Shanghai, China",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
7,10.08.2012,,"NatalyadefeatsKelly Kelly(8:14)WWE SmackDown House Show- House Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
8,09.08.2012,,"Kelly KellydefeatsNatalya(6:06)WWE SmackDown House Show- House Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
9,06.08.2012,,"Kelly KellydefeatsEve Torres(3:03)WWE Monday Night RAW #1002- TV-Show @ AT&T Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
10,26.05.2012,,"Beth PhoenixdefeatsKelly KellyWWE RAW House Show- House Show @ Coliseo General Ruminahui in Quito, Ecuador",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
11,25.05.2012,,"Beth PhoenixdefeatsKelly KellyWWE RAW House Show- House Show @ Coliseo Voltaire Paladines Polo in Guayaquil, Ecuador",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
12,24.05.2012,,"Beth PhoenixdefeatsKelly KellyWWE RAW House Show- House Show @ Ginasio do Ibirapuera in Sao Paulo, Brasilien",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
13,21.05.2012,,"Beth PhoenixdefeatsKelly Kelly(2:30)WWE Monday Night RAW #991- TV-Show @ Richmond Coliseum in Richmond, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
14,07.05.2012,,"Kelly Kelly&LayladefeatMaxine&Natalya(1:00)WWE Monday Night RAW #989- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
15,06.05.2012,,"Eve TorresdefeatsKelly KellyWWE RAW House Show- House Show @ UTC McKenzie Arena in Chattanooga, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
16,05.05.2012,,"Eve TorresdefeatsKelly KellyWWE RAW House Show- House Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
17,04.05.2012,,"Kelly KellydefeatsRosa MendesWWE RAW House Show- House Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
18,23.04.2012,,"Kelly KellydefeatsMaxineWWE Superstars #159- Online Stream @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
19,16.04.2012,,"Eve TorresdefeatsKelly KellyWWE Superstars #158- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
20,15.04.2012,,"WWE Divas Title:Beth Phoenix(c) defeatsKelly KellyWWE RAW House Show- House Show @ Capital FM Arena in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
21,14.04.2012,,"WWE Divas Title:Beth Phoenix(c) defeatsKelly KellyWWE RAW House Show- House Show @ o2 World in Berlin, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
22,13.04.2012,,"WWE Divas Title:Beth Phoenix(c) defeatsKelly KellyWWE RAW House Show- House Show @ Porsche Arena in Stuttgart, Baden-Württemberg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a5/Barbie_Blank_%28cropped%29_in_Chile_2008.jpg
