date,event,result,location,image_url
1,11.05.2013,,"Jun Akiyama,Keiji Muto,Kensuke Sasaki&Kenta KobashidefeatGo Shiozaki,KENTA,Maybach Taniguchi&Yoshinobu Kanemaru(39:59)NOAH Final Burning In Budokan- Pay Per View @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
2,19.02.2012,,"Keiji Muto&Kenta KobashidefeatJun Akiyama&Takao Omori(20:20)NJPW/AJPW/NOAH All Together 2012- Pay Per View @ Sendai Sun Plaza in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
3,14.02.2012,,"Akitoshi Saito&Jun AkiyamadefeatKenta Kobashi&Masao Inoue(16:43)NOAH The Navigation In February 2012 - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
4,12.02.2012,,"Ricky Marvin&Takeshi MorishimadefeatKenta Kobashi&Kentaro Shiga(17:09)NOAH The Navigation In February 2012 - Tag 2- Event @ Shimizu Marine Building  in Shimizu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
5,11.02.2012,,"Jun Akiyama&Kenta KobashidefeatDiamond Ring(Kensuke Sasaki&Mitsuhiro Kitamiya) (23:18)Diamond Ring Kensuke Office Changes- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
6,05.02.2012,,"Go Shiozaki&Kenta KobashidefeatAtsushi Aoki&Jun Akiyama(26:08)NOAH The Navigation In February 2012 - Tag 1- Event @ Ecos Ageo in Ageo, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
7,31.01.2012,,"Akitoshi Saito,Jun Akiyama&Kenta KobashidefeatANMU(Atsushi Aoki,Go Shiozaki&Kotaro Suzuki) (23:29)NOAH The Tsuigeki Navigation 2012 In Tsu- Event @ Mie Bunka Center Multi-Purpose Hall in Tsu, Mie, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
8,29.01.2012,,"Akitoshi Saito&Jun AkiyamadefeatKenta Kobashi&Yuto Aijima(18:45)NOAH The First Navigation 2012 - Tag 10- TV-Show @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
9,26.01.2012,,"Kenta Kobashi&Ricky MarvindefeatNo Mercy(Genba Hirayanagi&Yoshinobu Kanemaru) (15:47)NOAH The First Navigation 2012 - Tag 8- Event @ Oita Event Hall in Oita, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
10,24.01.2012,,"ANMU(Atsushi Aoki,Go Shiozaki&Kotaro Suzuki) defeatJun Akiyama,Kenta Kobashi&Ricky Marvin(34:04)NOAH The First Navigation 2012 - Tag 6- Event @ Strait Messe Shimonoseki in Shimonoseki, Yamaguchi, Japan",https://upload.wikimedia.org/wikipedia/commons/e/e7/Kenta_Kobashi%2C_2007.jpg
