date,event,result,location,image_url
1,30.08.2025,,"FWE United States Title:Chase Emery(c) defeatsMordecaiFWE Mind Games- Event @ Sports HQ in Cary, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
2,15.12.2024,,"Caged Carnage Steel Cage:Team Skyler (Cam Jackson,Christopher Prince&John Skyler) defeat Team Cazana (AJ Cazana,Billy Brash&Gem Stone) and Team Thorn (Keith Mack,Kevin Thorn& Stuart Snodgrass) (15:13)OSCW Caged Carnage VI- Event @ Hanahan Recreation Center in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
3,06.10.2024,,"Monster's Elimination Four Way:PCOdefeatsKahagasandKevin ThornandSinn Bodhi(10:58)OSCW SpookSlam- Event @ Hanahan Recreation Center in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
4,28.07.2024,,"AJ Cabana &Kevin ThorndefeatCam Jackson&TJ BossOSCW- Event @ Hanahan Recreation Center in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
5,30.03.2024,,"(Special Referee: Shark Boy):The Head Bangers(Mosh&Thrasher),Heather Owens&Kevin ThorndefeatHayley Shadows,Hooks,Matthew Taylor& Paul Hubris (7:32)SCX Expo IV Parade Of Champions- Online Stream @ The Wyndham in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
6,08.03.2024,,"Kevin ThorndefeatsJay DeNiroSSW/sNs Horsepower II- Event @ Mahone Middle School in Kenosha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
7,03.12.2023,,"KahagasdefeatsKevin Thorn(6:29)OSCW Championship Challenge- Event @ Hanahan Recreation Center Gymnasium in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
8,28.10.2023,,"King Of The Damned:Gangrel&Wrecking Ball LegurskydefeatDark STG&Kevin Thorn(8:25)BCW The Witching Hour- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
9,28.10.2023,,"Monster Brawl Battle Royal:Kruledefeats Abel Booker and Austin O'Malley andBradley DiggsandCrazzy SteveandDevin O'Nealand Dr. Doom andGangreland J. Webb andJacksyn CrowleyandKevin ThornandLamonte PottsandMain Event Bradleyand Matt Williams andMikeyand Phil and Prince Gaston and Spidermane andSteven O'Nealand WaldoMemphis Wrestling #140- Online Stream @ Memphis Wrestling WrestleCenter in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
10,10.09.2023,,"Three On Two Handicap:The Bite Club(Gangrel&Kevin Thorn) defeatDrew Adler,Jamal The Titan& Steven Hunter (8:11)OSCW Wild Card- Event @ Hanahan Recreation Gym in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
11,04.12.2022,,"Kevin ThorndefeatsJohn SkylerOSCW Merry Mayhem 2- Event @ Hanahan Recreation Gym in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
12,03.12.2022,,"Mike CurkovdefeatsMordecaiGLCW Blizzard Brawl: ATTITUDE- Online Stream @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
13,18.09.2022,,"The Bite Club(Gangrel&Kevin Thorn) defeatDrew Adler&Mason MylesOSCW Waging War- Event @ Hanahan Recreation Center in Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
14,15.01.2022,,"Men's Nightmare Rumble:Omar AmirdefeatsAmonandBig ZoandBrandon EspinosaandCash FloandD'Mone SolavinoandDeget BundlezandDimesandDustin JacksonandEric DarkstormandGustavoandHy-ZayaandJack VaughnandJoey AvalonandKal HerroandKevin ThornandKoda JacobsandLuscious LawrenceandMahabali SheraandMatt VineandRonnie RobertsandScotty 2 HottyandStar RiderandSteve MichaelsandTom CoffeyandTony BizoandTony EvansandTony GunnandTruth MagnumandTurbo Floyd(71:02)OVW Saturday Night Special - Nightmare Rumble 2022- Pay Per View @ Davis Arena in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
15,18.12.2021,,"King Of The Damned:GangreldefeatsKevin ThornBCW- Event @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
16,05.12.2021,,"The Bite Club(Gangrel&Kevin Thorn) defeatDrew Adler&Francisco CiatsoOSCW Merry Mayhem- Event @ Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
17,04.12.2021,,"Mike Curkov&The Gunn Club(Austin Gunn&Colten Gunn) defeatKevin Fertig&The Express(Jeff Luxon&Ryan Kross)GLCW Blizzard Brawl 2021- Event @ Waukesha County Expo Center in Waukesha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
18,24.10.2021,,"The Bite Club(Gangrel&Kevin Thorn) defeatTNT(Terrell Hughes&Terrence Hughes)OSCW Fall Feud- Event @ Hanahan, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
19,09.10.2020,,"DanhausendefeatsMordecai(8:28)AIW Thunder In Indianapolis- Online Stream @ Marion County Fairgrounds in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
20,26.05.2019,,"The East-West Express(Jeff Luxon&Ryan Kross) defeatThe Bite Club(Gangrel&Kevin Thorn)SSW/sNs SuperShow 2- Event @ The Brat Stop in Kenosha, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
21,26.04.2019,,"Kevin ThorndefeatsFlash FlanaganWRW Arabian Rumble 3- Event @ Pendleton Heights High School in Pendleton, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Kevin_Thorn_2016.jpg
