date,event,result,location,image_url
1,08.09.2025,,"Raquel RodriguezdefeatsLyra Valkyria(12:42)WWE Monday Night RAW #1685- Online Stream @ Fiserv Forum in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
2,25.08.2025,,"Lyra ValkyriadefeatsKairi Sane(5:00)WWE Main Event #674- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
3,24.08.2025,,"Lyra ValkyriadefeatsBayleyWWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
4,23.08.2025,,"Lyra ValkyriadefeatsBayleyWWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
5,22.08.2025,,"Dark:IYO SKY&Lyra ValkyriadefeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Friday Night SmackDown #1357- Dark Match @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
6,03.08.2025,,"WWE Women's Intercontinental TitleNo Count Out No Disqualification:Becky Lynch(c) defeatsLyra Valkyria(25:05)WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
7,21.07.2025,,"WWE Women's Tag Team Title:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatBayley&Lyra Valkyria(15:07)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
8,20.07.2025,,"Lyra ValkyriadefeatsBayleyWWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
9,19.07.2025,,"Lyra ValkyriadefeatsBayleyWWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
10,14.07.2025,,"WWE Women's Intercontinental Title#1 Contendership Best Two Out Of Three Falls:Lyra ValkyriadefeatsBayley[2:1] (19:57)WWE Monday Night RAW #1677- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
11,13.07.2025,,"WWE Women's Intercontinental TitleTriple Threat:Becky Lynch(c) defeatsBayleyandLyra Valkyria(16:25)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
12,30.06.2025,,"Bayleyvs.Lyra Valkyria- Double Pin (10:21)WWE Monday Night RAW #1675- Online Stream @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
13,07.06.2025,,"WWE Women's Intercontinental Title:Becky LynchdefeatsLyra Valkyria(c) (15:20) -TITLE CHANGE !!!WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
14,10.05.2025,,"WWE Women's Intercontinental Title:Lyra Valkyria(c) defeatsBecky Lynch(18:43)WWE Backlash 2025- Premium Live Event @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
15,21.04.2025,,"WWE Women's Tag Team Title:The Judgment Day(Liv Morgan&Raquel Rodriguez) defeatBecky Lynch&Lyra Valkyria(c) (11:56) -TITLE CHANGE !!!WWE Monday Night RAW #1665- Online Stream @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
16,20.04.2025,,"WWE Women's Tag Team Title:Becky Lynch&Lyra ValkyriadefeatThe Judgment Day(Liv Morgan&Raquel Rodriguez) (c) (8:38) -TITLE CHANGE !!!WWE WrestleMania 41 - Sunday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
17,11.04.2025,,"WWE Women's Tag Team Title#1 Contendership Gauntlet:Bayley&Lyra ValkyriadefeatB-Fab&MichinandKatana Chance&Kayden CarterandMaxxine Dupri&NatalyaandThe Secret Hervice(Alba Fyre&Piper Niven) andPure Fusion Collective(Shayna Baszler&Zoey Stark) (28:40)WWE Friday Night SmackDown #1338- TV-Show @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
18,07.04.2025,,"WWE Women's Intercontinental Title:Lyra Valkyria(c) defeatsBayley(13:24)WWE Monday Night RAW #1663- Online Stream @ Target Center in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/a/ab/Lyra_Valkyria_RR25_%28cropped%29.jpg
