date,event,result,location,image_url
1,24.08.2025,,"AEW World Title:Adam Page(c) defeatsMJF(31:38)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
2,15.08.2025,,"CMLL World Light Heavyweight Title:MJF(c) defeatsZandokan Jr.(13:10)CMLL Viernes Espectacular- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
3,06.08.2025,,"MJFdefeatsMark Briscoe(17:27)AEW Dynamite #305- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
4,01.08.2025,,"CMLL World Light Heavyweight Title:MJFdefeatsAverno(c) (12:08) -TITLE CHANGE !!!CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
5,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
6,02.07.2025,,"Men's Casino Gauntlet #2 Spot Four Way:MJFdefeatsAnthony BowensandAR FoxandBrody King(13:02)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
7,18.06.2025,,"MisticodefeatsMJFby DQ (16:49)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
8,11.06.2025,,"The Hurt Syndicate(Bobby Lashley,MJF&Shelton Benjamin) defeatJetSpeed(Kevin Knight&Mike Bailey) &Mascara Dorada(11:22)AEW Dynamite #297 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
9,09.03.2025,,"Adam PagedefeatsMJF(19:04)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
10,11.02.2025,,"MJFdefeatsDustin Rhodesby referee's decision (11:13)AEW Dynamite #280- TV-Show @ H-E-B Center At Cedar Park in Cedar Park, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/MJF_%22American_Champion%22%2C_August_2024.jpg
