date,event,result,location,image_url
1,31.08.2025,,"BRCW Tag Team Title/CCW Tag Team Title:Matt Riddle&Stallion Rogers(c) defeatLakay& LincolnBRCW Summer Smash 3- Event @ The Studio in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
2,09.08.2025,,"Matt RiddledefeatsRicky Martinez(13:24)CCW Vice City Slam 2- Event @ Vivo Live At Dolphin Mall in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
3,27.07.2025,,"MCW Heavyweight Title:Matt RiddledefeatsJoseph Keys(c) by DQMCW Summer Slamboree- Event @ North Point Flea Market in Dundalk, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
4,26.07.2025,,"ACW Heavyweight         Title:Matt RiddledefeatsVam Williams(c) by DQACW Rasslin At The Roadhouse- Event @ Double Barrel Roadhouse in Red Lion, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
5,18.07.2025,,"ACW Heavyweight              Title:Matt RiddledefeatsRichard Holliday(c) by DQ (16:19)ACW Fallout- Pay Per View @ MJN Convention Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
6,11.07.2025,,"CCW Tag Team Title/BRCW Tag Team Title:The Wild Stallions(Matt Riddle&Stallion Rogers) (c) defeatCha Cha Charlie&Maximus Khan(13:05)CCW Conquer Kissimmee 37- Online Stream @ Sun On The Beach in Kissimmee, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
7,26.06.2025,,"MLW World Heavyweight Title:Matt Riddle(c) defeatsKENTA(17:16)MLW Summer Of The Beasts 2025- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
8,14.06.2025,,"Three Way:Matt RiddledefeatsBrad BaylorandMike WalkerMCW Higher Ground 2025- Event @ RJ Meyer Arena in Joppa, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
9,13.06.2025,,"Matt RiddledefeatsSicendACW It's Friday The 13th Bro- Event @ Salisbury Elks Lodge in Salisbury, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
10,06.06.2025,,"Matt RiddledefeatsBen BishopBTW- Event @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
11,24.05.2025,,"CCW Tag Team Title:The Five Star Era(ERA&Ricky Martinez) defeatThe Wild Stallions(Matt Riddle&Stallion Rogers) (c) by DQ (18:58)CCW Vice City Slam- Event @ Vivo Live At Dolphin Mall in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
12,18.05.2025,,"CCW Tag Team Title/BRCW Tag Team Title:The Wild Stallions(Matt Riddle&Stallion Rogers) (c) [BRCW] defeatThe Five Star Era(ERA&Ricky Martinez) (c) [CCW] (14:17) -TITLE CHANGE !!!BRCW Underground- Event @ The Studio in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
13,10.05.2025,,"MLW World Heavyweight Title:Matt Riddle(c) defeatsDonovan Dijak(14:30)MLW Azteca Lucha 2025- Online Stream @ Cicero Stadium in Cicero, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
14,10.05.2025,,"Chicago Street Fight:Contra Unit(Babathunder&Mads Krule Krügger) defeatThe Filthy Bros(Matt Riddle&Tom Lawlor) (8:51)MLW War Chamber 2025- Online Stream @ Cicero Stadium in Cicero, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
15,09.05.2025,,"HOG Crown Jewel Title:Zilla Fatu(c) defeatsMatt Riddleby DQ (12:31)HOG Waging War- Pay Per View @ Logan Square Auditorium in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
16,03.05.2025,,"Matt RiddledefeatsBrad BaylorNEW Hat City Havoc 2025- Event @ Henry Abbott Technical High School in Danbury, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
17,18.04.2025,,"Gabe KidddefeatsMatt Riddle(6:52)4th Rope/GCW Heels Have Eyes: For The Culture 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
18,17.04.2025,,"Matt RiddledefeatsMatt Mako(9:52)WrestleCon Mark Hitchcock Memorial SuperShow 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
19,05.04.2025,,"MLW World Heavyweight Title40 Man Battle Riot VII:Matt Riddle(c) defeatsAlex HammerstoneandAlex KaneandAnthony GreeneandAriel DominguezandAtlantisandAtlantis Jr.andBarbaro CavernarioandBishop DyerandBlue PantherandBobby FishandBrett Ryan GosselinandBrock AndersonandChris AdonisandCW AndersonandDonovan DijakandDr. DaxandEsfingeandHechiceroandIkuro KwonandJesus RodriguezandJourney FatuandJuicy FinauandKUSHIDAandMads Krule KrüggerandMagnusandMatthew JusticeandMr. ThomasandOkumuraandPaul LondonandPaul Walter HauserandRaj DhesiandRob Van DamandSatoshi KojimaandShane HasteandStar Jr.andTitus AlexanderandTom LawlorandUltimo GuerreroandVirus(66:31)MLW Battle Riot VII- Online Stream @ Thunder Studios Arena in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
20,31.03.2025,,"WSW Australian Title:Matt Riddle(c) defeatsRaj Dhesi(13:52)WSW Legacy - Tag 4- Pay Per View @ Panthers Penrith Leagues Club in Penrith, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
21,30.03.2025,,"WSW Australian Title:Matt Riddle(c) defeatsDean Brady(12:13)WSW Legacy - Tag 3- Pay Per View @ Ridley Centre in Wayville, South Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
22,29.03.2025,,"WSW Australian Title:Matt RiddledefeatsShigehiro Irie(c) (8:35) -TITLE CHANGE !!!WSW Legacy - Tag 2- Pay Per View @ Eatons Hill Hotel in Brisbane, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
23,28.03.2025,,"WSW World Heavyweight  Title:Nic Nemeth(c) defeatsMatt Riddle(13:05)WSW Legacy - Tag 1- Pay Per View @ Melbourne Pavillion in Kensington, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
24,15.03.2025,,"MCW Heavyweight TitleFour Way:Joseph KeysdefeatsBrian JohnsonandMatt RiddleandMike WalkerMCW Winter Blast 2025 - Tag 5- Event @ Coppermine Pantherplex in Hampstead, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
25,09.03.2025,,"BRCW Tag Team Title:The Wild Stallions(Matt Riddle&Stallion Rogers) (c) defeatThe Bollywood Boyz(Gurv Sihra&Harv Sihra) (6:51)BRCW Challenge Accepted 2- Event @ The Studio in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
26,14.02.2025,,"Matt RiddledefeatsDanny Briggs(12:31)CCW Conquer Kissimmee 32- Event @ Sun On The Beach in Kissimmee, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
27,08.02.2025,,"Contra Unit(Ikuro Kwon&Mads Krule Krügger) vs.The Filthy Bros(Matt Riddle&Tom Lawlor) - No Contest (13:13)MLW Intimidation Games 2025- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
28,08.02.2025,,"MLW World Heavyweight TitleThree Way:Matt Riddle(c) defeatsAlex KaneandSatoshi Kojima(7:55)MLW SuperFight 6- Online Stream @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
29,31.01.2025,,"AAW Heavyweight Title:Ren JonesdefeatsMatt Riddle(c) (13:44) -TITLE CHANGE !!!AAW Chi-Town Rumble 2025- Online Stream @ Berwyn Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/59/Matt_Riddle_%26_Lisa_Riddle_on_2011.jpg
