date,event,result,location,image_url
1,16.08.2025,,"NWA World Tag Team    Title:The Immortals(Kratos&Odinson) defeatKnox And Murdoch(Mike Knox&Trevor Murdoch) (c) -TITLE CHANGE !!!NWA 77- Event @ The Paramount in Huntington, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
2,01.07.2025,,"Knox And Murdoch(Mike Knox&Trevor Murdoch) defeatShawn Carlson&Ty AwesomeNWA Powerrr TV Taping- Event @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
3,24.05.2025,,"NWA World Tag Team    TitleBeer Market Brawl Three Way:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Country Gentlemen(AJ Cazana&KC Cazana) andThe Troublemakers(Canaan Kristopher&Glenn Spectre) (7:40)NWA JCP Southeast #69- Online Stream @ Bearden Beer Market in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
4,17.05.2025,,"Crockett Cup 2025 Quarter Final:Knox And Murdoch(Mike Knox&Trevor Murdoch) defeatMike Mondo&Slade(8:11)NWA Powerrr #219 - The Crockett Cup 2025: Part 4- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
5,17.05.2025,,"Crockett Cup 2025 Semi Final:The Immortals(Kratos&Odinson) defeatKnox And Murdoch(Mike Knox&Trevor Murdoch) (10:05)NWA Powerrr #221 - The Crockett Cup 2025: Part 6- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
6,22.03.2025,,"NWA World Tag Team    TitleLadder:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Slimeballz(Sage Chantz&Tommy Rant) (11:23)NWA Powerrr #213 - Hard Times V: Part 6- Online Stream @ Dothan Civic Center in Dothan, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
7,22.02.2025,,"NWA World Tag Team    Title:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Premier(Campbell Myers&SK Bishop) (7:12)NWA WLW Showdown - Salute To The Service III- Online Stream @ Davidson Fitness Center in Fort Leonard, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
8,02.02.2025,,"NWA World Tag Team    Title:Knox And Murdoch(Mike Knox&Trevor Murdoch) (c) defeatThe Slimeballz(Sage Chantz&Tommy Rant) (3:34)NWA Powerrr #205- Online Stream @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
9,02.02.2025,,"NWA World Tag Team    Title:The Slimeballz(Sage Chantz&Tommy Rant) defeatKnox And Murdoch(Mike Knox&Trevor Murdoch) (c) by DQ (3:12)NWA Powerrr #205- Online Stream @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
10,11.01.2025,,"Two On One Handicap:Mike KnoxdefeatsThe Slimeballz(Sage Chantz&Tommy Rant) (0:52)NWA Powerrr #200 - Shockwave 2025: Part 5- Online Stream @ The OC Theatre in Forney, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/eb/Mike_Knox_Cropped.jpg
