date,event,result,location,image_url
1,29.08.2025,,"Fight Without Honor:QT MarshalldefeatsPaul Walter Hauser(20:35)ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
2,16.08.2025,,"Jay Lethal,Jeff Jarrett,QT Marshall&Satnam SinghdefeatJimmy Wild,Parker Li, Scorpious &Tommy Mars1FW Back To School Bash- Event @ West Jackson Middle School in Jefferson, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
3,15.08.2025,,"Billy Gunn&QT MarshalldefeatParker Li&Warden1FW Mayhem At The Moose Lodge- Event @ Moose Lodge in McDonough, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
4,09.08.2025,,"QT Marshalldefeats The OXP (2:46)ROH YouTube Special Episode #1- Online Stream @ Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
5,08.08.2025,,"QT MarshalldefeatsMatt CardonaBTW Know Your Enemy- Event @ Newark Pavilion in Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
6,25.07.2025,,"Brody King,QT Marshall&The Gunn Club(Austin Gunn&Billy Gunn) defeatThe Frat House(Cole Karter,Griff Garrison,Jacked Jameson&Preston Vance) (12:16)1FW SummerStage- Event @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
7,18.07.2025,,"Elijah Drago&Jacked JamesondefeatBrady Booker&QT Marshall1FW Live At The Moose Lodge- Event @ Moose Lodge in McDonough, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
8,05.07.2025,,"1FW Title #1 Contendership:Brady BookerdefeatsQT Marshall1FW Showdown At South- Event @ South Main Brewing in Watkinsville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
9,16.06.2025,,"Gateway To Glory:Brady BookerdefeatsAdam PriestandBilly Gunnand J-Son Esquire andJacked JamesonandJimmy Wildand Kiran Grey and Mike Cunningham and Nasty Leroy andParker LiandQT MarshallandRosario Grilloand Sebastian Blaze andSid EllingtonandTommy MarsandTrevor BlackwellandTyler ShoopandVary MoralesandWardenand Xavier Young1FW Monday Mayhem- Event @ South Main Brewing in Watkinsville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
10,14.06.2025,,"Lariato Pro Title:QT MarshalldefeatsBryce Cannon(c) andMatt Hardy-TITLE CHANGE !!!Lariato Pro Heatwave '25- Event @ Old West Laurens Building in Dublin, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
11,07.06.2025,,"Jimmy WilddefeatsQT Marshall1FW- Event @ South Main Brewing in Watkinsville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
12,06.06.2025,,"QT MarshalldefeatsBad Dude TitoBTW Hard Times 2025- Event @ Newark Pavilion in Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
13,23.05.2025,,"Jacked JamesondefeatsQT Marshall1FW- Event @ Jackson Co. AG Center in Jefferson, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
14,10.05.2025,,"Josh AlexanderdefeatsQT Marshall(11:00)MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8a/Forbidden_Door_%28AEW_x_NJPW%29_%2852291674272%29_%28cropped%29.jpg
