date,event,result,location,image_url
1,25.08.2025,,"Rhea RipleydefeatsRoxanne Perez(10:39)WWE Monday Night RAW #1683- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
2,03.08.2025,,"WWE Women's World TitleTriple Threat:Naomi(c) defeatsIYO SKYandRhea Ripley(16:21)WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
3,28.07.2025,,"IYO SKY,Nikki Bella,Rhea Ripley&Stephanie VaquerdefeatNaomi&The Green Regime(Alba Fyre,Chelsea Green&Piper Niven) (14:38)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
4,20.07.2025,,"IYO SKY&Rhea RipleydefeatNaomi&Nia JaxWWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
5,19.07.2025,,"IYO SKY&Rhea RipleydefeatNaomi&Nia JaxWWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
6,13.07.2025,,"WWE Women's World TitleTriple Threat:NaomidefeatsIYO SKY(c) andRhea Ripley(26:19) -TITLE CHANGE !!!WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
7,28.06.2025,,"Riyadh Boulevard Street Fight:Rhea RipleydefeatsRaquel Rodriguez(14:04)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
8,09.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Roxanne PerezdefeatsKairi SaneandLiv MorganandRhea Ripley(12:50)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
9,07.06.2025,,"Money In The Bank Ladder:NaomidefeatsAlexa BlissandGiuliaandRhea RipleyandRoxanne PerezandStephanie Vaquer(25:11)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
10,06.06.2025,,"Alexa Bliss,Rhea Ripley&Stephanie VaquerdefeatGiulia,Naomi&Roxanne Perez(12:02)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b4/Rhea_Ripley%2C_April_2024_%28cropped%29.jpg
