date,event,result,location,image_url
1,27.11.2022,,"FTR(Cash Wheeler&Dax Harwood) &Ricky SteamboatdefeatBrock Anderson,Jay Lethal&Nick Aldis(16:59)BTW Return Of The Dragon- Pay Per View @ Dorton Arena in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
2,18.06.2010,,"Richie Steamboat&Ricky SteamboatdefeatThe Dudebusters(Caylen Croft&Trent Barreta) (21:00)FCW Father's Day Salute- Event @ Ft. Myers, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
3,15.08.2009,,"Ricky Steamboat&Ricky Steamboat Jr.defeatHiram Tua&Orlando ColonWWC Summer Madness Tour- Event @ Pepin Cestero Arena in Bayamon, Puerto Rico, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
4,02.08.2009,,"Ricky SteamboatdefeatsDrew McIntyreWWE SmackDown/ECW House Show- House Show @ Cape Cod Melody Tent in Hyannis, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
5,01.08.2009,,"Ricky SteamboatdefeatsDrew McIntyreWWE SmackDown/ECW House Show- House Show @ South Shore Music Circus in Cohasset, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
6,19.07.2009,,"Ricky SteamboatdefeatsChris JerichoWWE SmackDown/ECW House Show- House Show @ BI-LO Center in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
7,18.07.2009,,"Ricky SteamboatdefeatsDrew McIntyreWWE SmackDown/ECW House Show- House Show @ North Charleston Coliseum in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
8,08.07.2009,,"Chris JerichodefeatsRicky Steamboat(16:21)WWE SmackDown/ECW House Show- House Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
9,03.07.2009,,"Ricky SteamboatdefeatsDrew McIntyreWWE SmackDown/ECW House Show- House Show @ iPayOne Center in San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
10,14.06.2009,,"Ricky SteamboatdefeatsDrew McIntyreWWE SmackDown/ECW House Show- House Show @ GIANT Center in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
11,13.06.2009,,"Ricky SteamboatdefeatsDrew McIntyreWWE SmackDown/ECW House Show- House Show @ Broome County Event Center in Binghamton, New York, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
12,06.06.2009,,"Ricky SteamboatdefeatsSheamusWWE House Show- House Show @ Pensacola Civic Center in Pensacola, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
13,26.04.2009,,"Chris JerichodefeatsRicky Steamboat(12:31)WWE Backlash 2009- Pay Per View @ Dunkin' Donuts Center in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
14,06.04.2009,,"CM Punk,Jeff Hardy,John Cena,Rey Mysterio&Ricky SteamboatdefeatChris Jericho,Edge,Kane,Matt Hardy&The Big Show(17:00)WWE Monday Night RAW #828- TV-Show @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
15,05.04.2009,,"Three On One Handicap Elimination:Chris JerichodefeatsJimmy Snuka,Ricky Steamboat&Roddy Piper(8:57)WWE WrestleMania 25 - ""The 25th Anniversary Of WrestleMania""- Pay Per View @ Reliant Arena in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
16,28.08.1994,,"WCW United States Heavyweight Title:Ricky Steamboat(c) defeatsSteve AustinWCW House Show- House Show @ Antelope Valley Fair in Lancaster, California, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
17,27.08.1994,,"WCW United States Heavyweight Title:Ricky Steamboat(c) defeatsSteve AustinWCW House Show- House Show @ Will Rogers Auditorium in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
18,26.08.1994,,"WCW United States Heavyweight Title:Ricky Steamboat(c) defeatsSteve AustinWCW House Show- House Show @ The Myriad in Oklahoma City, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
19,25.08.1994,,"WCW United States Heavyweight Title:Ricky Steamboat(c) defeatsSteve Austin(21:02)WCW House Show- House Show @ Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
20,24.08.1994,,"WCW United States Heavyweight TitleNo Disqualification:Ricky SteamboatdefeatsSteve Austin(c) (16:02) -TITLE CHANGE !!!WCW Clash Of The Champions #28- TV-Show @ Five Seasons Center in Cedar Rapids, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
21,21.08.1994,,"Ricky SteamboatdefeatsRic FlairWCW House Show- House Show @ Colorado Springs, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
22,19.08.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky SteamboatWCW House Show- House Show @ Civic Center in Beaumont, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
23,18.08.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky SteamboatWCW House Show- House Show @ Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
24,16.08.1994,,"Dustin Rhodes&Ricky SteamboatdefeatThe Stud Stable(Arn Anderson&Bunkhouse Buck) by DQWCW TV Taping- Event @ Georgia Mountains Center in Gainesville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
25,16.08.1994,,"Ricky Steamboat&StingdefeatRic Flair&Steve AustinWCW TV Taping- Event @ Georgia Mountains Center in Gainesville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
26,16.08.1994,,"Dustin Rhodes,Ricky Steamboat&StingdefeatThe Stud Stable(Arn Anderson,Bunkhouse Buck&Terry Funk) by DQWCW Main Event- TV-Show @ Georgia Mountains Center in Gainesville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
27,15.08.1994,,"Ricky Steamboat&StingdefeatRic Flair&Steve AustinWCW Pro Taping- Event @ Civic Center in Dalton, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
28,15.08.1994,,"Arn AndersondefeatsRicky Steamboat(9:45)WCW Main Event- TV-Show @ Civic Center in Dalton, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
29,14.08.1994,,"Johnny B. Badd&Ricky SteamboatdefeatLord Steven Regal&Steve Austin(6:32)WCW Main Event- TV-Show @ Disney-MGM Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
30,14.08.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky SteamboatWCW House Show- House Show @ Hampton Roads Coliseum in Hampton, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
31,13.08.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky SteamboatWCW House Show- House Show @ Richmond Coliseum in Richmond, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
32,12.08.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky SteamboatWCW House Show- House Show @ Cumberland County Civic Center in Fayetteville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
33,10.08.1994,,"Ricky SteamboatdefeatsChic DonovanWCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
34,10.08.1994,,"Ricky SteamboatdefeatsThe GamblerWCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
35,10.08.1994,,"Ricky SteamboatdefeatsTom Burton(2:46)WCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
36,10.08.1994,,"Ricky SteamboatdefeatsJean-Paul Levesque(7:30)WCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
37,07.08.1994,,"Ricky Steamboat&StingdefeatBobby Eaton&Steve KeirnWCW Main Event- TV-Show @ Disney-MGM Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
38,30.07.1994,,"Ricky SteamboatdefeatsSteve Austinby DQWCW Worldwide- TV-Show @ Disney-MGM Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
39,30.07.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky SteamboatWCW House Show- House Show @ Jacksonville Coliseum in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
40,24.07.1994,,WCW World Heavyweight Title:Ricky SteamboatdefeatsRic Flair(c) by DQ (12:08)WCW Worldwide- TV-Show @ USA,https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
41,19.07.1994,,"Ric Flair&Steve AustindefeatRicky Steamboat&Sting(24:30)WCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
42,17.07.1994,,"WCW United States Heavyweight Title:Steve Austin(c) defeatsRicky Steamboat(20:06)WCW Bash At The Beach 1994- Pay Per View @ Orlando Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
43,09.07.1994,,"Ricky SteamboatdefeatsTex Slazenger(1:52)WCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
44,02.07.1994,,"Ricky SteamboatdefeatsTony VincentWCW Saturday Night- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
45,25.06.1994,,"WCW World Heavyweight Title:Ric Flair(c) defeatsRicky Steamboat(16:05)WCW House Show- House Show @ Township Auditorium in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
46,21.06.1994,,"WCW World Heavyweight Title:Ric Flair(c) defeatsRicky SteamboatWCW House Show- House Show @ Savannah, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
47,04.06.1994,,"Ricky SteamboatdefeatsBobby EatonWCW Worldwide- TV-Show @ Disney-MGM Studios in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
48,02.06.1994,,"Ricky SteamboatdefeatsBig Bad JohnWCW Pro- TV-Show @ Georgia Mountains Center in Gainesville, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
49,28.05.1994,,"WCW World Heavyweight Title:Ric Flair(c) vs.Ricky Steamboat- Time Limit Draw (60:00)WCW House Show- House Show @ Independence Arena in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/2/23/Dragon_backlash.jpg
