date,event,result,location,image_url
1,12.09.2025,,"Mixed:Lola Vice&Mr. IguanadefeatThe Judgment Day(Finn Balor&Roxanne Perez) (11:59)AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
2,07.09.2025,,"The Judgment Day(Raquel Rodriguez&Roxanne Perez) defeatSol Ruca&ZariaWWE NXT Live- House Show @ Bell Auditorium in Augusta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
3,06.09.2025,,"Three Way:The Judgment Day(Raquel Rodriguez&Roxanne Perez) defeatFatal Influence(Fallon Henley&Jazmyn Nyx) andSol Ruca&ZariaWWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
4,05.09.2025,,"The Judgment Day(Raquel Rodriguez&Roxanne Perez) defeatSol Ruca&ZariaWWE NXT Live- House Show @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
5,01.09.2025,,"The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (11:38)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
6,28.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
7,27.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
8,26.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
9,25.08.2025,,"Rhea RipleydefeatsRoxanne Perez(10:39)WWE Monday Night RAW #1683- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
10,23.08.2025,,"IYO SKYdefeatsRoxanne PerezWWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
11,22.08.2025,,"Dark:IYO SKY&Lyra ValkyriadefeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez)WWE Friday Night SmackDown #1357- Dark Match @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
12,11.08.2025,,"Roxanne PerezdefeatsIYO SKY(15:38)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
13,04.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte Flair(c) defeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (13:51)WWE Monday Night RAW #1680- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
14,02.08.2025,,"WWE Women's Tag Team Title:Alexa Bliss&Charlotte FlairdefeatThe Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) (13:36) -TITLE CHANGE !!!WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
15,28.07.2025,,"Mixed:AJ Styles&The Kabuki Warriors(Asuka&Kairi Sane) defeatThe Judgment Day(Dominik Mysterio,Raquel Rodriguez&Roxanne Perez) (10:44)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
16,27.07.2025,,"WWE Women's Tag Team Title:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatB-Fab&MichinWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
17,26.07.2025,,"WWE Women's Tag Team Title:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatB-Fab&MichinWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
18,25.07.2025,,"Roxanne PerezdefeatsAlexa Bliss(7:20)WWE Friday Night SmackDown #1353- TV-Show @ Rocket Arena in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
19,21.07.2025,,"WWE Women's Tag Team Title:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatBayley&Lyra Valkyria(15:07)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
20,14.07.2025,,"The Judgment Day(Raquel Rodriguez&Roxanne Perez) defeatThe Kabuki Warriors(Asuka&Kairi Sane) (10:24)WWE Monday Night RAW #1677- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
21,13.07.2025,,"WWE Women's Tag Team TitleFatal Four Way:The Judgment Day(Raquel Rodriguez&Roxanne Perez) (c) defeatAlexa Bliss&Charlotte FlairandSol Ruca&ZariaandThe Kabuki Warriors(Asuka&Kairi Sane) (10:52)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
22,11.07.2025,,"Fatal Four Way:Alexa BlissdefeatsKairi SaneandRoxanne PerezandSol Ruca(9:59)WWE Friday Night SmackDown #1351- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
23,07.07.2025,,"Kairi SanedefeatsRoxanne Perez(11:36)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
24,27.06.2025,,"Roxanne PerezdefeatsB-Fab(5:15)WWE Main Event #666- Online Stream @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
25,23.06.2025,,"Queen Of The Ring 2025 Semi Final:Jade CargilldefeatsRoxanne Perez(11:30)WWE Monday Night RAW #1674- Online Stream @ Nationwide Arena in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
26,09.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Roxanne PerezdefeatsKairi SaneandLiv MorganandRhea Ripley(12:50)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
27,07.06.2025,,"Money In The Bank Ladder:NaomidefeatsAlexa BlissandGiuliaandRhea RipleyandRoxanne PerezandStephanie Vaquer(25:11)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
28,06.06.2025,,"Alexa Bliss,Rhea Ripley&Stephanie VaquerdefeatGiulia,Naomi&Roxanne Perez(12:02)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
29,26.05.2025,,"Roxanne PerezdefeatsNatalya(5:12)WWE Main Event #661- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/e/e9/Roxanne_Perez_RR25.jpg
