date,event,result,location,image_url
1,05.09.2025,,"WWE United States Title:Sami Zayn(c) vs.John Cena- No Contest (21:24)WWE Friday Night SmackDown #1359- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
2,29.08.2025,,"WWE United States Title:Sami ZayndefeatsSolo Sikoa(c) (12:26) -TITLE CHANGE !!!WWE Friday Night SmackDown #1358- TV-Show @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
3,28.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
4,27.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
5,26.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
6,24.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
7,23.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
8,15.08.2025,,"Jacob Fatu,Jimmy Uso&Sami ZayndefeatMFT(JC Mateo,Solo Sikoa&Tonga Loa) (11:05)WWE Friday Night SmackDown #1356- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
9,11.08.2025,,"Sami ZayndefeatsRusevby DQ (9:48)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
10,08.08.2025,,"Sami ZayndefeatsSolo Sikoa(10:27)WWE Friday Night SmackDown #1355- TV-Show @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
11,08.08.2025,,"Dark:Sami ZayndefeatsEl Grande AmericanoWWE Friday Night SmackDown #1355- Dark Match @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
12,02.08.2025,,"Sami ZayndefeatsKarrion Kross(8:10)WWE SummerSlam 2025 - Saturday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
13,27.07.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson ReedWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
14,26.07.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson ReedWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
15,21.07.2025,,"Karrion KrossdefeatsSami Zayn(9:59)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
16,07.07.2025,,"Bron BreakkerdefeatsSami Zayn(5:12)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
17,30.06.2025,,"Bron Breakker&Bronson ReeddefeatPenta&Sami Zayn(18:24)WWE Monday Night RAW #1675- Online Stream @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
18,28.06.2025,,"Sami ZayndefeatsKarrion Kross(13:32)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
19,20.06.2025,,"King Of The Ring 2025 Semi Final:Randy OrtondefeatsSami Zayn(11:25)WWE Friday Night SmackDown #1348- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
20,09.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Sami ZayndefeatsBron BreakkerandDominik MysterioandPenta(17:05)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
21,02.06.2025,,"Jey Uso&Sami ZayndefeatBron Breakker&Bronson Reedby DQ (9:01)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
22,26.05.2025,,"Money In The Bank Qualifying Triple Threat:Seth RollinsdefeatsFinn BalorandSami Zayn(19:37)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
23,24.05.2025,,"Bron Breakker&Seth RollinsdefeatCM Punk&Sami Zayn(13:13)WWE Saturday Night's Main Event #39- TV-Show @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
24,28.04.2025,,"Bron BreakkerdefeatsSami Zaynby referee's decision (12:31)WWE Monday Night RAW #1666- Online Stream @ T-Mobile Center in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
25,01.03.2025,,"Unsanctioned:Kevin OwensdefeatsSami Zayn(27:35)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
26,03.02.2025,,"Elimination Chamber Qualifying:CM PunkdefeatsSami Zayn(14:55)WWE Monday Night RAW #1654- Online Stream @ Rocket Mortgage FieldHouse in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
27,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
28,27.01.2025,,"Drew McIntyredefeatsSami Zayn(14:25)WWE Monday Night RAW #1653- Online Stream @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
29,13.01.2025,,"Sami ZayndefeatsThe Miz(4:06)WWE Monday Night RAW #1651- Online Stream @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
30,03.01.2025,,"The Bloodline(Jacob Fatu,Solo Sikoa&Tama Tonga) defeatThe OG Bloodline(Jey Uso,Jimmy Uso&Sami Zayn) (22:38)WWE Friday Night SmackDown #1324- TV-Show @ Footprint Center in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
31,29.12.2024,,"WWE Intercontinental TitleBest Two Out Of Three Falls:Bron Breakker(c) defeatsSami Zayn[2:1]WWE Live Holiday Tour- House Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
32,28.12.2024,,"WWE Intercontinental TitleBest Two Out Of Three Falls:Bron Breakker(c) defeatsSami Zayn[2:1]WWE Live Holiday Tour- House Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
33,27.12.2024,,"Carmelo Hayesvs.Sami Zayn- No Contest (11:30)WWE Friday Night SmackDown #1323- TV-Show @ Amalie Arena in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
34,26.12.2024,,"WWE Intercontinental TitleBest Two Out Of Three Falls:Bron Breakker(c) defeatsSami Zayn[2:1]WWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
35,16.12.2024,,"Drew McIntyredefeatsSami Zayn(15:45)WWE Monday Night RAW #1648- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
36,14.12.2024,,"Drew McIntyredefeatsSami Zayn(10:06)WWE Saturday Night's Main Event #37- TV-Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
37,02.12.2024,,"Seth RollinsdefeatsSami Zayn(9:19)WWE Monday Night RAW #1645- TV-Show @ Angel Of The Winds Arena in Everett, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
38,30.11.2024,,"WarGames:CM Punk&The OG Bloodline(Jey Uso,Jimmy Uso,Roman Reigns&Sami Zayn) defeatBronson Reed&The Bloodline(Jacob Fatu,Solo Sikoa,Tama Tonga,Tonga Loa) (41:55)WWE Survivor Series 2024 - WarGames- Premium Live Event @ Rogers Arena in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
39,08.11.2024,,"Dark:Cody Rhodes,Jey Uso&Sami ZayndefeatBron Breakker,Carmelo Hayes&Ludwig KaiserWWE Friday Night SmackDown #1316- Dark Match @ KeyBank Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
40,18.10.2024,,"Dark:Sami Zayn&The New Day(Kofi Kingston&Xavier Woods) defeatPete Dunne&The Judgment Day(Carlito&Finn Balor)WWE Friday Night SmackDown #1313- Dark Match @ Colonial Life Arena in Columbia, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
41,07.10.2024,,"WWE World Heavyweight  Title:Gunther(c) defeatsSami Zaynby referee's decision (16:40)WWE Monday Night RAW #1637- TV-Show @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
42,23.09.2024,,"Sami ZayndefeatsLudwig Kaiser(12:20)WWE Monday Night RAW #1635- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
43,06.09.2024,,"DarkWWE Intercontinental TitleStreet Fight:Bron Breakker(c) defeatsSami ZaynWWE Friday Night SmackDown #1307- Dark Match @ Rogers Place in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/3/35/123_Kid_embraces_El_Generico_after_their_match_at_King_of_Trios_2011%2C_Night_3.jpg
