date,event,result,location,image_url
1,11.09.2025,,"Sareee&Takumi IrohadefeatMiria Koga&NORI(13:46)SSPW Vol. 36 ~ The 20th Anniversary- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
2,06.09.2025,,"IWGP Women's Title:Sareee(c) defeatsSuzu Suzuki(22:33)Stardom To The World- TV-Show @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
3,31.08.2025,,"Sareee,Takumi Iroha&Valentina RossidefeatAi Houzan,Senka Akatsuki&Sora Ayame(14:43)Marvelous- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
4,24.08.2025,,"SareeedefeatsMika Iwata(9:22)Sendai Girls Senjo The Biggest- Online Stream @ Xebio Arena Sendai in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
5,23.08.2025,,"IWGP Women's Title:Sareee(c) defeatsKonami(18:15)Stardom 5STAR Grand Prix 2025 - Tag 13- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
6,22.08.2025,,"Ryo Mizunami,Sareee,Takumi Iroha&VENYdefeatAmazon,Miyuki Takase,Nagisa Nozaki&Rina Yamashita(16:20)SEAdLINNNG 10th Anniversary- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
7,20.08.2025,,"5STAR Grand Prix 2025 Semi Final Blue Stars:Momo WatanabedefeatsSareee(15:13)Stardom 5STAR Grand Prix 2025 - Tag 12- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
8,17.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[11] defeatsMomo Kohgo[2] (6:28)Stardom 5STAR Grand Prix 2025 - Tag 11- Online Stream @ Act City Hamamatsu Exhibition Event Hall in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
9,16.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[9] defeatsMomo Watanabe[8] (12:29)Stardom 5STAR Grand Prix 2025 - Tag 10- Pay Per View @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
10,15.08.2025,,"One Day Tag Team Tournament Final:Sareee&Yumiko HottadefeatMiku Kanae&Shinobu Kandori(15:29)Yumiko Hotta 40th Debut Anniversary ~ Legendary Evidence- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
11,15.08.2025,,"One Day Tag Team Tournament Semi Final:Sareee&Yumiko HottadefeatAja Kong&Unagi Sayaka(6:04)Yumiko Hotta 40th Debut Anniversary ~ Legendary Evidence- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
12,11.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[7] defeatsHANAKO[7] (11:39)Stardom 5STAR Grand Prix 2025 - Tag 9- Online Stream @ Kobe Geijutsu Center in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
13,09.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[5] vs.Suzu Suzuki[6] - Time Limit Draw (15:00)Stardom 5STAR Grand Prix 2025 - Tag 7- Online Stream @ Kyoto KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
14,08.08.2025,,"AAAW Tag Team Title:Sareee&Takumi Iroha(c) vs.Team 200kg(Chihiro Hashimoto&Yuu) - Time Limit Draw (30:00)Marvelous- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
15,03.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[4] defeatsHina[0] (13:03)Stardom 5STAR Grand Prix 2025 - Tag 5 (Afternoon Show)- Online Stream @ Light Cube Utsunomiya in Utsunomiya, Tochigi, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
16,01.08.2025,,"5STAR Grand Prix 2025 Block B:Sareee[2] defeatsRanna Yagami[0] (10:36)Stardom 5STAR Grand Prix 2025 - Tag 3- Online Stream @ Big Palette Fukushima in Koriyama, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
17,30.07.2025,,"SareeedefeatsAi Houzan(12:41)Marvelous- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
18,29.07.2025,,"Kaoru Ito&SareeedefeatMisa Kagura&YuuRI(12:03)JJ Produce Jaguar Yokota 49th Debut Anniversary- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
19,27.07.2025,,"5STAR Grand Prix 2025 Block B:Konami[2] defeatsSareee[0] by referee's decision (13:24)Stardom 5STAR Grand Prix 2025 - Tag 1- TV-Show @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
20,24.07.2025,,"HATE(Konami,Momo Watanabe&Saya Kamitani) defeatChi Chi,Miku Kanae&Sareee(9:28)Stardom Nighter In Korakuen- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
21,19.07.2025,,"SareeedefeatsMisa Kagura(7:34)NPW- Event @ Bandaijima Multipurpose Plaza Okuma in Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
22,14.07.2025,,"Sareee&Takumi IrohadefeatHATE(Natsuko Tora&Saya Kamitani) (18:29)Sareee-ISM Chapter VIII- Pay Per View @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
23,13.07.2025,,"Johnnie Robbie&Magenta(Maria&Riko Kawahata) defeatSareee,Sora Ayame&Takumi Iroha(14:32)Marvelous- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
24,10.07.2025,,"Jaguar Yokota,Miku Kanae&SareeedefeatChi Chi,DASH Chisako&Sayaka Toyota(13:10)SSPW Vol. 35 ~ Shinjuku FACE 20th Anniversary- Event @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
25,27.06.2025,,"AAAW Tag Team Title:Sareee&Takumi Iroha(c) defeatSenka Akatsuki&Sora Ayame(14:40)Marvelous- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
26,21.06.2025,,"IWGP Women's Title:SareeedefeatsSyuri(c) (32:49) -TITLE CHANGE !!!Stardom The Conversion 2025- TV-Show @ Yoyogi National Gymnasium #2 in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
27,15.06.2025,,"Kaoru Ito,Tomoko Watanabe&Yumiko HottadefeatChi Chi,Miku Kanae&Sareee(18:22)Ito Dojo Match Mugen Connect-26 ~ In Shin-Kiba ~- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
28,12.06.2025,,"SareeedefeatsHonori Hana(10:28)SSPW Vol. 34 ~ The 20th Anniversary ~ Hisashi Shinma Memorial Show- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
29,08.06.2025,,"SareeedefeatsRanna Yagami(9:20)Stardom- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
30,31.05.2025,,"SareeedefeatsAya Sakura(12:25)Natsupoi & Saori Anou Produce Natsu & Saory 10th Anniversary ~Our Footprints~- Pay Per View @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
31,23.05.2025,,"Three Way:Red Energy(Mika Iwata&Miyuki Takase) vs.Reiwa Ultima Powers(DASH Chisako&Hiroyo Matsumoto) vs.Natsupoi&Sareee- Time Limit Draw (15:00)Hana Kimura Memorial Produce Hanabi- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
32,20.05.2025,,"AAAW Tag Team Title:Sareee&Takumi IrohadefeatRyo Mizunami&Sonoko Kato(c) (20:14) -TITLE CHANGE !!!Marvelous- Event @ Shin-Kiba 1st RING in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
33,05.05.2025,,"One Day Tag Team Tournament Final:Sareee&Takumi IrohadefeatAi Houzan&VENY(16:38)Marvelous- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
34,05.05.2025,,"One Day Tag Team Tournament First Round:Sareee&Takumi IrohadefeatItsuki Aoki&Unagi Sayaka(8:09)Marvelous- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
35,05.05.2025,,"One Day Tag Team Tournament Semi Final:Sareee&Takumi IrohadefeatAmira&Chihiro Hashimoto(5:17)Marvelous- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/35/20200104Sareee.jpg
