date,event,result,location,image_url
1,12.09.2025,,"WWE NXT Title:Oba Femi(c) defeatsShawn SpearsWWE NXT Live- House Show @ Havert L. Fenn Center in Fort Pierce, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
2,07.09.2025,,"American Made(Brutus Creed&Julius Creed) defeatThe Culling(Niko Vance&Shawn Spears)WWE NXT Live- House Show @ Bell Auditorium in Augusta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
3,06.09.2025,,"LWO(Cruz Del Toro&Joaquin Wilde) defeatThe Culling(Niko Vance&Shawn Spears)WWE NXT Live- House Show @ Charleston Area Convention Center in North Charleston, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
4,05.09.2025,,"Mixed:American Made(Brutus Creed,Ivy Nile&Julius Creed) defeatThe Culling(Izzi Dame,Niko Vance&Shawn Spears)WWE NXT Live- House Show @ Spartanburg Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
5,23.08.2025,,"The Culling(Niko Vance&Shawn Spears) defeatDrake Morreaux&Shiloh HillWWE NXT Live- House Show @ Alan Jay Arena in Sebring, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
6,09.08.2025,,"Mixed:Hank And Tank(Hank Walker&Tank Ledger) &ZariadefeatThe Culling(Izzi Dame,Niko Vance&Shawn Spears)WWE NXT Live- House Show @ Venice Community Center in Venice, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
7,22.07.2025,,"Mixed:The Culling(Izzi Dame,Niko Vance,Shawn Spears&Tatum Paxley) defeatHank And Tank(Hank Walker&Tank Ledger),Sol Ruca&Zaria(10:54)WWE NXT #795- TV-Show @ 713 Music Hall in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
8,19.07.2025,,"Je'Von Evans&Yoshiki InamuradefeatThe Culling(Niko Vance&Shawn Spears) by DQWWE NXT Live- House Show @ University Area CDC Gymnasium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
9,08.07.2025,,"WWE NXT Tag Team Title:Hank And Tank(Hank Walker&Tank Ledger) (c) defeatThe Culling(Niko Vance&Shawn Spears) (10:50)WWE NXT #793- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
10,10.06.2025,,"The Culling(Niko Vance&Shawn Spears) defeatJosh Briggs&Yoshiki Inamura(5:09)WWE NXT #789- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/44/ShawnSpears.jpg
