date,event,result,location,image_url
1,31.08.2025,,"Good Ol' Fashioned Donnybrook:RusevdefeatsSheamus(20:04)WWE Clash In Paris- Premium Live Event @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
2,22.08.2025,,"SheamusdefeatsKit Wilson(6:37)WWE Main Event #674- Online Stream @ Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
3,04.08.2025,,"Rusevvs.Sheamus- Double Count Out (9:52)WWE Monday Night RAW #1680- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
4,01.08.2025,,"Dark:SheamusdefeatsRusevWWE Friday Night SmackDown #1354- Dark Match @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
5,28.07.2025,,"SheamusdefeatsGrayson Waller(4:10)WWE Monday Night RAW #1679- Online Stream @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
6,21.07.2025,,"SheamusdefeatsRusev(14:42)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
7,11.07.2025,,"Dark:SheamusdefeatsLudwig KaiserWWE Friday Night SmackDown #1351- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
8,30.06.2025,,"RusevdefeatsSheamus(20:23)WWE Monday Night RAW #1675- Online Stream @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
9,16.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Jey UsodefeatsBronson ReedandRusevandSheamus(17:25)WWE Monday Night RAW #1673- Online Stream @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
10,19.05.2025,,"SheamusdefeatsGrayson Waller(11:50)WWE Monday Night RAW #1669- Online Stream @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
11,05.05.2025,,"SheamusdefeatsAustin Theory(9:39)WWE Monday Night RAW #1667- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
12,23.03.2025,,"WWE Intercontinental Title:Bron Breakker(c) defeatsSheamusWWE Road To WrestleMania- House Show @ Motorpoint Arena Nottingham in Nottingham, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
13,22.03.2025,,"WWE Intercontinental Title:Bron Breakker(c) defeatsSheamusWWE Road To WrestleMania- House Show @ SSE Arena in Belfast, Northern Ireland, UK",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
14,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
15,25.01.2025,,"WWE Intercontinental Title:Bron Breakker(c) defeatsSheamus(11:31)WWE Saturday Night's Main Event #38- TV-Show @ Frost Bank Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
16,13.01.2025,,"SheamusdefeatsLudwig Kaiser(8:50)WWE Monday Night RAW #1651- Online Stream @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
17,30.11.2024,,"WWE Intercontinental TitleTriple Threat:Bron Breakker(c) defeatsLudwig KaiserandSheamus(14:24)WWE Survivor Series 2024 - WarGames- Premium Live Event @ Rogers Arena in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
18,11.11.2024,,"WWE Intercontinental Title:Bron Breakker(c) defeatsSheamusby DQ (13:30)WWE Monday Night RAW #1643- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
19,03.11.2024,,"WWE World Heavyweight  Title#1 Contendership Fatal Four Way:Damian PriestdefeatsDominik MysterioandSeth RollinsandSheamus(17:35)WWE Monday Night RAW #1641- TV-Show @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
20,28.10.2024,,"SheamusdefeatsLudwig Kaiser(9:50)WWE Monday Night RAW #1640- TV-Show @ GIANT Center in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
21,28.10.2024,,"WWE Speed Title#1 Contendership Tournament Semi Final:Bron Breakkervs.Sheamus- Time Limit Draw (3:00)WWE Speed #41- Online Stream @ GIANT Center in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
22,11.10.2024,,"WWE Speed Title#1 Contendership Tournament First Round:SheamusdefeatsGiovanni Vinci(2:27)WWE Speed #37- Online Stream @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
23,07.10.2024,,"Good Ol' Fashioned Donnybrook:SheamusdefeatsPete Dunne(12:55)WWE Monday Night RAW #1637- TV-Show @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
24,04.10.2024,,"Dark:SheamusdefeatsLudwig KaiserWWE Friday Night SmackDown #1311- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
25,16.09.2024,,"Pete DunnedefeatsSheamus(11:15)WWE Monday Night RAW #1634- TV-Show @ Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/4/4b/Cesaro%26Sheamus_Tag_Champs_WM34_crop.jpg
