date,event,result,location,image_url
1,12.09.2025,,"Megan BaynedefeatsShotzi Blackheart(14:05)GCW Evil Deeds 2025- Pay Per View @ Harpo's Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
2,06.09.2025,,"Four Way:Priscilla KellydefeatsFree-Range KaraandJada StoneandShotzi BlackheartF1RST Saturday Night Nitro 2025- Event @ Mall Of America in Bloomington, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
3,05.09.2025,,"PCO&Shotzi BlackheartdefeatKris Chambers&Taylor Rising(11:01)MLP Sacred Ground- Online Stream @ Six Nations Sports & Cultural Memorial Centre in Ohsweken, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
4,04.09.2025,,"Shotzi BlackheartdefeatsPriscilla Kelly(7:29)HOG Philadelphia- Pay Per View @ Trinity Center For Urban Life in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
5,29.08.2025,,"The Savage Gnomes(Bear Bronson&Gabby Forza) defeatKrule&Shotzi Blackheart(6:19)Beyond Americanrana 2025- Online Stream @ Rhodes On The Pawtuxet in Cranston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
6,23.08.2025,,"Garage Beer World Title Match (vakant):Shotzi BlackheartdefeatsMatt Cardona(21:27) -TITLE CHANGE !!!GCW Homecoming Weekend 2025 - Tag 1- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
7,22.08.2025,,"ALW Horror Nights Title Match (vakant):Shotzi BlackheartdefeatsLeva Bates(10:55) -TITLE CHANGE !!!ALW Next Level: Strike Fast, Strike Hard- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
8,09.08.2025,,"Internet Title:Shotzi Blackheart(c) defeatsJordan Oliver(12:34)BLP Hot Shotz!- Online Stream @ RDS Gym in Crown Point, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
9,08.08.2025,,"Vert Vixen&Viva VandefeatBeatrice Domino&Shotzi BlackheartBTW Know Your Enemy- Event @ Newark Pavilion in Newark, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
10,01.08.2025,,"Team Cardona (Mark Sterling,Matt Cardona&Tommy Invincible) defeat Team Shotzi (Deonna Purrazzo,Matt Tremont&Shotzi Blackheart) (10:02)GCW Hit 'Em Up 2025- Pay Per View @ Williams Center in Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
11,30.07.2025,,"Maki ItohdefeatsShotzi Blackheart(12:29)GCW Japan - Tag 3- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
12,29.07.2025,,"MAO&YDNP(Alec Price&Jordan Oliver) defeatDark Sheik,Miyu Yamashita&Shotzi Blackheart(15:19)GCW Japan - Tag 2- Pay Per View @ TOKYOSQUARE In Itabashi in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
13,28.07.2025,,"Drew ParkerdefeatsShotzi Blackheart(6:48)GCW Japan - Tag 1- Pay Per View @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
14,22.07.2025,,"Shotzi BlackheartdefeatsAva LawlessTTW KDays Slamfest 2025 Main Show - Tag 1- Event @ CKUA Radio Stage in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
15,19.07.2025,,"Bishop Dyer,Shotzi Blackheart& Simone Valentina defeatAristote,Ben Bishop&James EllsworthMCW Shane Shamrock Memorial Cup XXIV- Event @ RJ Meyer Arena in Joppa, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
16,11.07.2025,,"Garage Beer Rules:Shotzi BlackheartdefeatsMatt Cardona(10:53)GCW Boss Of All Bosses- Pay Per View @ Gilley's Dallas in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
17,05.07.2025,,"MLP Women's Canadian Title:Gisele Shaw(c) defeatsShotzi Blackheart(17:24)MLP Resurrection- Pay Per View @ Colisée de Laval in Laval, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
18,29.06.2025,,"Pick Your Poison:Nina SamuelsdefeatsShotzi Blackheart(10:37)PROGRESS Chapter 181: Far From Ordinary People- Pay Per View @ O2 Ritz in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
19,26.06.2025,,"Shotzi BlackheartdefeatsAva Everett(8:16)MLW Blood & Thunder 2025- Online Stream @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
20,20.06.2025,,"Atticus CogardefeatsShotzi Blackheart(13:41)GCW Bangin' In Little Rock- Pay Per View @ The Hall in Little Rock, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
21,07.06.2025,,"GCW Ultraviolent TitleTournament Of Survival X First Round Three Way Death:Matt Tremont(c) defeatsJimmy LloydandShotzi Blackheart(11:35)GCW Tournament Of Survival X- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/88/SHIMMER_Volume_101_-_Shazza_McKenzie_vs_Shotzi_Blackheart_04.jpg
