date,event,result,location,image_url
1,07.09.2025,,"Jet Wei,Kodai Nozaki&Naoki SakurajimadefeatGenkai,Liam Jones&TAJIRI(8:55)Kyushu Pro Iizuka Ba Genki Ni Suru Bai!- Event @ Iizuka City General Gymnasium in Iizuka, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
2,31.08.2025,,"Kyushu Pro Tag Team Title:SHIHO&TAJIRI(c) defeatAsosan&Naoki SakurajimaKyushu Pro Tosu Ba Genki Ni Suru Ken- Event @ Tosu City Gymnasium in Tosu, Saga, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
3,24.08.2025,,"Jet Wei,Kodai Nozaki&Shigeno ShimadefeatGenkai,Liam Jones&TAJIRI(11:00)Kyushu Pro Kumamoto Genki Ni Suru Bai!- Event @ Kumamoto Nurse Power Arena in Kumamoto, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
4,16.08.2025,,"Asosan,Kodai Nozaki&Naoki SakurajimadefeatGenkai,Jet Wei&TAJIRI(11:29)Kyushu Pro- Event @ Fukuoka Acros Mall Kasuga in Kasuga, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
5,13.08.2025,,"Shigeno Shima,Shuji Ishikawa&TAJIRIdefeatAsosan,Hitamaru Sasaki&Jet Wei(14:59)Kyushu Pro Itoshima Ba Genki Ni Suru Bai- Event @ Itoshima Sports Park Multipurpose Gymnasium Main Arena in Itoshima, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
6,19.07.2025,,"Kyushu Pro Tag Team Title:Shiho&TAJIRI(c) defeatAsosan&Naoki SakurajimaPWS Phoenix Rise- Event @ Seoul, Südkorea",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
7,29.06.2025,,"STAR LIGHT NARU &TAJIRIdefeatBatten Blabla&Jet Wei(11:10)Kyushu Pro Kamigoto O Genki Ni Suru Bai!- Event @ Shin Uonome General Gymnasium in Shinkamigoto, Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
8,22.06.2025,,"Genkai,Ha Da On&TAJIRIdefeatBatten Blabla,Shigeno Shima& STAR LIGHT NARU (13:10)Kyushu Pro Kagoshima O Genki Ni Suddo!- Event @ Kagoshima Nishihara Shokai Arena Sub-Arena in Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
9,21.06.2025,,"Kodai Nozaki,Naoki Sakurajima&Shigeno ShimadefeatGenkai,Ha Da On&TAJIRI(15:47)Kyushu Pro Ya O Genki Ni Suddo!- Event @ Kagoshima Hotel Satsukien 1st Floor Large Hall in Kagoshima, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
10,14.06.2025,,"Hitamaru Sasaki&TAJIRIdefeatJet Wei&Naoki Sakurajima(13:51)Kyushu Pro AEON Mall Fukuoka 21st Anniversary Festival- Event @ AEON Mall Fukuoka in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
11,01.06.2025,,"Asosan,Kodai Nozaki&Naoki SakurajimadefeatHitamaru Sasaki, Super Strong Kishan (Shigeno Shima) &TAJIRI(14:16)Kyushu Pro 24th Nuts RV Thanksgiving- Event @ Haratsuru Waterway Ground in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
12,11.05.2025,,"Lady C,TAJIRI&Ultimo DragondefeatRyota Chikuzen,Shigeno Shima&Taro Nohashi(11:20)Kyushu Pro Mentai Kid Retirement Memorial Event ~ Kyushu Ba Genki Ni Goodbye- Online Stream @ Fukuoka Island City Forum in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
13,10.05.2025,,"Kodai Nozaki,Ricardo Rodriguez&Sage MatthewsdefeatJay Lamrod,Omerta&Tajiri(16:45)PWS Wrestle Nation- Event @ KBS Arena in Seoul, Südkorea",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
14,10.05.2025,,"Yoon Hyeong-Bin defeatsTajiriby DQ (2:07)PWS Wrestle Nation- Event @ KBS Arena in Seoul, Südkorea",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
15,06.05.2025,,"Kodai Nozaki,Mentai Kid&Naoki SakurajimadefeatGeorges Khoukaz,Jesus Rodriguez&TAJIRI(13:50)Kyushu Pro- Event @ Chacha Town Kokura Special Ring in Kitakyushu, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
16,05.05.2025,,"Kodai Nozaki,Mentai Kid,Naoki Sakurajima&Shigeno ShimadefeatGenkai,Georges Khoukaz,Jet Wei&TAJIRI(12:24)Kyushu Pro Kasuga Ba Genki Ni Suru Bai!- Event @ Kasuga City Sports Center in Kasuga, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
17,04.05.2025,,"Be-Bop Tag Team(Hiroshi Tanahashi&Toru Yano),Ryota Chikuzen,TAJIRI&YOHdefeatTMDK(Hartley Jackson,Kosei Fujita,Robbie Eagles,Ryohei Oiwa&Zack Sabre Jr.) (10:22)NJPW Wrestling Dontaku 2025 - Tag 2- TV-Show @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
18,29.04.2025,,"Kodai Nozaki,Mentai Kid&Naoki SakurajimadefeatGenkai,Georges Khoukaz&TAJIRI(15:01)Kyushu Pro Nakagawa City Athletics Association 50th Anniversary Project ~ Nakagawa Ba Genki Ni Suru Bai!- Event @ Nakagawa City Gymnasium in Nakagawa, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
19,27.04.2025,,"Kyushu Pro Tag Team Title:SHIHO&TAJIRIdefeatAsosan&Naoki Sakurajima(c) (11:05) -TITLE CHANGE !!!Kyushu Pro Super Genki Festival ~ 17th Anniversary- Event @ Fukuoka West Japan General Exhibition Hall New Hall in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
20,20.04.2025,,"Asosan,Mentai Kid&Naoki SakurajimadefeatGenkai,Jet Wei&TAJIRI(9:45)Kyushu Pro July 2020 Heavy Rain Reconstruction Support Event ~ Hita Ba Genk Ni Suru Bai- Event @ SWS West Japan Arena Hita in Hita, Oita, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
21,13.04.2025,,"Three Way:AsosandefeatsBatten BlablaandTAJIRI(5:29)Kyushu Pro Hyuga O Genki Ni Sutcha Ga!- Event @ Hyuga Cultural Exchange Center in Hyuga, Miyazaki, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
22,12.04.2025,,"Asosan,Mentai Kid&Naoki SakurajimadefeatGenkai, Super Strong Kishan &TAJIRI(12:32)Kyushu Pro Miyazaki O Genki Ni Sutcha Ga!- Event @ Miyazaki Machinaka Square in Miyazaki, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
23,06.04.2025,,"Kodai Nozaki,Mentai Kid&Naoki SakurajimadefeatGenkai,Jet Wei&TAJIRI(10:11)Kyushu Pro Avispa Pro Wrestling Festival- Event @ Fukuoka Best Denki Stadium Event Square Special in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
24,30.03.2025,,"SHIHO,TAJIRI&Towa IwasakidefeatAsosan,Kodai Nozaki&Naoki Sakurajima(14:58)Kyushu Pro Nakama O Genki Ni Suru Cha- Event @ Nakama City Sports & Bunka Center in Nakama, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
25,29.03.2025,,"Kodai Nozaki,Mentai Kid&Naoki SakurajimadefeatGenkai,Jet Wei&TAJIRI(9:26)Kyushu Pro Haru No Miku Matsuri- Event @ AEON Mall Omuta North Parking Stage in Omuta, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
26,22.03.2025,,"TajiridefeatsHa Da OnPWS Spring Slam 2025- Event @ Seoul, Südkorea",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
27,20.03.2025,,"Kodai Nozaki,Mentai Kid&Shigeno ShimadefeatHitamaru Sasaki,Jet Wei&TAJIRI(15:35)Kyushu Pro- Event @ Chacha Town Kokura 1st Floor Event Stage in Kitakyushu, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
28,16.03.2025,,"Genkai,Hitamaru Sasaki&TAJIRIdefeatJet Wei,Naoki Sakurajima&Shigeno Shima(12:32)Kyushu Pro Okawa Ba Genki Ni Suru Bai!- Event @ Okawa Civic Gymnasium in Okawa, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
29,08.03.2025,,"Asosan&Jet WeidefeatChanning Decker&TAJIRI(8:25)Kyushu Pro Unzen O Genki Ni Suru Bai!- Event @ Unzen Obama Gymnasium in Unzen, Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
30,24.02.2025,,"Adriano,Dynamite Kid&Shigeno ShimadefeatHitamaru Sasaki,Jet Wei&TAJIRI(7:26)Kyushu Pro Kurume Genki Festival- Event @ Kurume Sports Center Main Arena in Kurume, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
31,22.02.2025,,"Genkai&TAJIRIdefeatAdriano&Dynamite Kid(8:38)Kyushu Pro Fukatsu Ba Genki Ni Suru Bai- Event @ Tsuyazaki Sports Center in Fukutsu, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
32,15.02.2025,,"Elimination:Aiton Steen,Dave Birch, James Grayson & Prince Pele defeatBriac Strong, Jack Critchlow,Tajiri& Tom McCollFSW Breaks Convention V- Event @ BEC Arena in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
33,02.02.2025,,"Misaki Maeda&TAJIRIdefeatBatten Blabla&Jet Wei(12:04)Kyushu Pro Uchina O Genki Ni Suru Saa- Event @ Okinawa Karate Kaikan in Tomigusuku, Okinawa, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
34,25.01.2025,,"Genkai,Hitamaru Sasaki&TAJIRIdefeatBatten Blabla,Jet Wei&Mentai Kid(13:39)Kyushu Pro Buzen Ba Genki Ni Suru Bai- Event @ Buzen City Multipurpose Bunka Center in Buzen, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
35,19.01.2025,,"Los Desperados(Arez,Gringo Loco&Jack Cartwheel) defeatLittle Guido,Super Crazy&Tajiri(12:35)GCW The People Vs. GCW 2025- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
36,28.12.2024,,"Asosan,Batten Blabla&Mentai KiddefeatAdriano,Genkai&TAJIRI(11:52)Kyushu Pro Aeon Mall Fukutsu- Event @ Aeon Mall Fukutsu in Fukutsu, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
37,15.12.2024,,"Adriano,Genkai&TAJIRIdefeatKobe Nitro,Mentai Kid&Naoki Sakurajima(12:16)Kyushu Pro- Event @ Boat Race Omura Event Hall in Omura, Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
38,14.12.2024,,"Jet Wei,Mentai Kid&Naoki SakurajimadefeatAdriano,Genkai&TAJIRI(11:54)Kyushu Yamagawa Genki Ni Suru Bai!- Event @ Yanagawa Civic Gymnasium in Yanagawa, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
39,08.12.2024,,"TAJIRIdefeatsBatten Blabla(4:32)Kyushu Pro Tsushima O Genki Ni Suru Bai!- Event @ Nagasaki Toyotama Sports Park Gymnasium in Tsushima, Nagasaki, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
40,01.12.2024,,"Hitamaru Sasaki&TAJIRIdefeatJet Wei&Mentai Kid(12:17)Kyushu Pro Asakura Ba Genki Ni Suru Bai- Event @ Fukuoka Asakura Sports Center in Asakura, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
41,10.11.2024,,"Genkai,Hitamaru Sasaki&TAJIRIdefeatJet Wei,Kodai Nozaki&Mentai Kid(15:16)Kyushu Pro Kotake Chomin Matsuri ~ Kotake Ba Genki Ni Suru Bai- Event @ Kotake Town Gymnasium in Kotake, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
42,04.11.2024,,"Kodai Nozaki,Mentai Kid&Naoki SakurajimadefeatHitamaru Sasaki,Jet Wei&TAJIRI(15:35)Kyushu Pro- Event @ Aeon Mall Nogata in Nogata, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
43,26.10.2024,,"Genkai,Hitamaru Sasaki&TAJIRIdefeat Mika Kendrix,Naoki Sakurajima&Towa Iwasaki(13:32)Kyushu Pro Onojo Genki Ni Suru Bai! ~ Batten Blabla 16th Anniversary Festival 2024- Event @ Onojo City General Gymnasium in Onojo, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
44,20.10.2024,,"Kyushu Pro TitleNext Challenger Decision Battle Royal:Batten BlabladefeatsAsosanandGenkaiandHitamaru SasakiandJet WeiandKobe NitroandMentai Kidand Mika Kendrix andNaoki SakurajimaandShigeno ShimaandTAJIRI(9:14)Kyushu Pro 90th Chikushino City Festival- Event @ Fukuoka Tenbaizan Historical And Natural Park in Chikushino, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
45,14.10.2024,,"Jet Wei,Kodai Nozaki&Naoki SakurajimadefeatHitamaru Sasaki,Kobe Nitro&TAJIRI(13:51)Kyushu Pro Saga Yoshinogari Historical Park Autumn Festival- Event @ Saga Yoshinogari Historical Park in Saga, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
46,12.10.2024,,"Asosan,Kodai Nozaki&Naoki Sakurajimadefeat Mika Kendrix,Shigeno Shima&TAJIRI(9:10)Kyushu Pro Kunisaki O Genki Ni Suru Ken!- Event @ Oita AST Kunisaki Grass Square in Kunisaki, Oita, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
47,06.10.2024,,"Three Way:Shigeno Shima&TAJIRIdefeatBatten Blabla(5:23)Kyushu Pro Chikogu Ba Genki Ni Suru Bai- Event @ Chikugo Regional Park Gymnasium Main Arena in Chikogu, Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
