date,event,result,location,image_url
1,12.07.2025,,"Casino Gauntlet:AthenadefeatsAlex WindsorandJulia HartandKris StatlanderandMegan BayneandMina ShirakawaandQueen AminataandSyuriandTay MeloandTheklaandThunder RosaandWillow Nightingale(27:01)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
2,11.07.2025,,"ROH Women's World Title:Athena(c) defeatsThunder Rosa(18:50)ROH Supercard Of Honor 2025- Online Stream @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
3,10.07.2025,,"Mina Shirakawa,Queen Aminata,Thunder Rosa&Willow NightingaledefeatAthena,Julia Hart,Megan Bayne&Thekla(12:41)AEW Collision #101- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
4,02.07.2025,,"Athena,Julia Hart,Megan Bayne&ThekladefeatQueen Aminata,TayJay(Anna Jay&Tay Melo) &Thunder Rosa(10:20)AEW Collision #100- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
5,27.06.2025,,"Thunder RosadefeatsZyra(18:56)HOL Hate Me Now- Event @ Fullerton, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
6,25.06.2025,,"Women's Casino Gauntlet #1 Spot Four Way:Kris StatlanderdefeatsAthenaandThunder RosaandWillow Nightingale(10:48)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
7,21.06.2025,,"Athena,Megan Bayne,Penelope Ford&ThekladefeatQueen Aminata,TayJay(Anna Jay&Tay Melo) &Thunder Rosa(10:40)AEW Collision #98- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
8,20.06.2025,,"La JarochitadefeatsThunder Rosa(9:07)CMLL Presenta NJPW Fantastica Mania Mexico 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
9,18.06.2025,,"Persephone&Thunder RosadefeatAthena&Red Velvet(7:16)ROH on HonorClub #122 - Global Wars Mexico- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
10,28.05.2025,,"Persephone&Thunder RosadefeatDulce Tormenta&Leila Grey(6:39)ROH on HonorClub #119- Online Stream @ El Paso, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
11,07.05.2025,,"AEW Women's World TitleEliminator Four Way:Toni Storm[c] defeatsAnna JayandPenelope FordandThunder Rosa(10:52)AEW Dynamite #292- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
12,09.04.2025,,"Owen Hart Foundation 2025 Women's Tournament Quarter Final:Kris StatlanderdefeatsThunder Rosa(9:38)AEW Dynamite #288- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
13,26.03.2025,,"Megan Bayne&Penelope ForddefeatThunder Rosa&Toni Storm(9:33)AEW Dynamite #286- TV-Show @ Roy Wilkins Auditorium in St. Paul, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
14,25.03.2025,,"Riot Cabaret Women's Title:Thunder Rosa(c) defeatsAlex Windsor(14:57)RCPW Fights And Delights 2025- Event @ Clapham Grand in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
15,15.03.2025,,"Megan BaynedefeatsThunder Rosa(9:00)AEW Collision #84- TV-Show @ The Theater At Virgin Hotels Las Vegas in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
16,13.03.2025,,"Battle Royal:Thunder RosadefeatsJoseline NavarroandAlexis LittlefootandBrittnie BrooksandCharity KingandHaley JandMasha SlamovichandMaya WorldandTiara James(15:25)4th Rope Heels Have Eyes V: SXSW- Online Stream @ Empire Control Room & Garage in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
17,05.03.2025,,"Megan Bayne&Penelope ForddefeatKris Statlander&Thunder Rosa(9:55)AEW Dynamite #283- TV-Show @ Memorial Auditorium in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
18,26.02.2025,,"Thunder RosadefeatsBrittnie Brooks(5:08)ROH on HonorClub #106- Online Stream @ Frontwave Arena in Oceanside, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
19,08.02.2025,,"Thunder RosadefeatsPenelope Ford(10:05)AEW Collision #80- TV-Show @ Fort Bend Epicenter in Rosenberg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
20,03.02.2025,,Riot Cabaret Women's TitlePinfalls Count Somewhere Cabaret:Thunder Rosa(c) defeatsNyla RoseJericho Cruise 2025: Six On The Beach - Tag 4 (Show 1)- Event @ Norwegian Pearl Cruise Ship in USA,https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
21,01.02.2025,,Thunder RosadefeatsLady FrostJericho Cruise 2025: Six On The Beach - Tag 2 (Show 2)- Event @ Norwegian Pearl Cruise Ship in USA,https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
22,28.12.2024,,"AEW Women's World TitleTijuana Street Fight:Mariah May(c) defeatsThunder Rosa(13:12)AEW Worlds End 2024- Pay Per View @ Addition Financial Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
23,22.12.2024,,"Thunder RosadefeatsLeila Grey(7:48)AEW Rampage #177 - New Year's Smash 2024- TV-Show @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
24,17.12.2024,,"Riot Cabaret Women's TitleThree Way:Thunder Rosa(c) defeatsDani LunaandNina Samuels(12:48)RCPW Jingle Bell Brawl 2024- Event @ Clapham Grand in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
25,01.12.2024,,"Riot Cabaret Women's Title:Thunder Rosa(c) defeatsMissa Kate(7:10)Ladies Night Out 14- Online Stream @ Benton Convention Center in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
26,20.11.2024,,"Thunder RosadefeatsHarleygram(5:25)AEW Rampage #173- TV-Show @ Santander Arena in Reading, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
27,02.11.2024,,"Dia De Los Muertos:Thunder RosadefeatsHarley Cameron(10:01)AEW Collision #68- TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
28,15.10.2024,,"Riot Cabaret Women's Title:Thunder RosadefeatsNina Samuels(c) (16:51) -TITLE CHANGE !!!RCPW Thunder Road- Event @ Clapham Grand in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
29,31.08.2024,,"AEW TBS Title#1 Contendership Four Way:Hikaru ShidadefeatsQueen AminataandSerena DeebandThunder Rosa(14:27)AEW Collision #60- TV-Show @ Denny Sanford Premier Center in Sioux Falls, South Dakota, USA",https://upload.wikimedia.org/wikipedia/commons/b/bc/All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_%28cropped%29.jpg
