date,event,result,location,image_url
1,15.08.2010,,"Genichiro Tenryu,Tiger Mask&Toshiaki KawadadefeatAKIRA,Riki Choshu&Super Strong Machine(8:17)NJPW G1 Climax XX ~ 20th Anniversary ~ - Tag 8- Pay Per View @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
2,21.07.2010,,"Go Shiozaki&Naomichi MarufujidefeatMakoto Hashi&Toshiaki Kawada(16:29)NOAH Pro Wrestling NOAH 10th Anniversary ~ Summer Navigation 2010 Part 2 - Tag 6- Event @ Shibata Culture Center in Shibata, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
3,20.07.2010,,"Shuhei Taniguchi&Takashi SugiuradefeatMasao Inoue&Toshiaki Kawada(17:02)NOAH Pro Wrestling NOAH 10th Anniversary ~ Summer Navigation 2010 Part 2 - Tag 5- Event @ Gosen City Hall in Gosen, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
4,19.07.2010,,"Akira Taue,Toshiaki Kawada&Yoshinari OgawadefeatDisobey(Genba Hirayanagi,Mohammed Yone&Yoshinobu Kanemaru) (15:37)NOAH Pro Wrestling NOAH 10th Anniversary ~ Summer Navigation 2010 Part 2 - Tag 4- TV-Show @ Akita Promotion Center in Akita, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
5,17.07.2010,,"Atsushi Aoki,Shuhei Taniguchi&Takashi SugiuradefeatDisobey(Genba Hirayanagi&Mohammed Yone) &Toshiaki Kawada(21:41)NOAH Pro Wrestling NOAH 10th Anniversary ~ Summer Navigation 2010 Part 2 - Tag 3- Event @ Hachinohe Nango Gymnasium in Hachinohe, Aomori, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
6,16.07.2010,,"Makoto Hashi&Toshiaki KawadadefeatDisobey(Genba Hirayanagi&Mohammed Yone) (12:37)NOAH Pro Wrestling NOAH 10th Anniversary ~ Summer Navigation 2010 Part 2 - Tag 2- Event @ Odate Citizen Gymnasium in Odate, Akita, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
7,14.07.2010,,"Takuma Sano&Yoshihiro TakayamadefeatMasao Inoue&Toshiaki Kawada(13:08)NOAH Pro Wrestling NOAH 10th Anniversary ~ Summer Navigation 2010 Part 2 - Tag 1- TV-Show @ Iwate Prefectural Gymnasium in Morioka, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
8,02.05.2010,,"Global League 2010 Block B:Toshiaki Kawada[6] defeatsAkitoshi Saito[4] (16:13)NOAH Spring Navigation 2010 - Tag 13- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
9,25.04.2010,,"Global League 2010 Block B:Takeshi Morishima[4] defeatsToshiaki Kawada[4] (12:41)NOAH Spring Navigation 2010 - Tag 10- TV-Show @ Sapporo Teisen Hall in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
10,24.04.2010,,"Global League 2010 Block B:Toshiaki Kawada[4] vs.Yoshihiro Takayama[5] - Time Limit Draw (30:00)NOAH Spring Navigation 2010 - Tag 9- Event @ Sapporo Teisen Hall  in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
11,18.04.2010,,"Takashi Sugiura&Takeshi RikiodefeatToshiaki Kawada&Yuto Aijima(13:56)NOAH Spring Navigation 2010 - Tag 7- TV-Show @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
12,17.04.2010,,"Bison Smith&Yoshihiro TakayamadefeatToshiaki Kawada&Yuto Aijima(13:24)NOAH Spring Navigation 2010 - Tag 6- TV-Show @ Hakata Starlanes in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
13,14.04.2010,,"Toshiaki Kawada&Yoshinari OgawadefeatAtsushi Aoki&Go Shiozaki(14:35)NOAH Spring Navigation 2010 - Tag 4- Event @ Osaka Prefectural Gymnasium #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
14,13.04.2010,,"Global League 2010 Block B:Toshiaki Kawada[3] defeatsNaomichi Marufuji[2] (22:21)NOAH Spring Navigation 2010 - Tag 3- Event @ Osaka Prefectural Gymnasium #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
15,11.04.2010,,"ZERO1 World Heavyweight Title:Kohei SatodefeatsToshiaki Kawada(c) (15:22) -TITLE CHANGE !!!ZERO1 Yasukuni Shrine Festival- TV-Show @ Yasukuni Shrine Sumo Wrestling Place in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
16,10.04.2010,,"Global League 2010 Block B:Mohammed Yone[1] vs.Toshiaki Kawada[1] - Time Limit Draw (30:00)NOAH Spring Navigation 2010 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
17,28.03.2010,,"Kazushi Miyamoto&Toshiaki KawadadefeatAkitoshi Saito&Atsushi Aoki(16:08)NOAH Great Voyage 2010 In Yokohama- TV-Show @ Pacifico Yokohama Exhibition Hall in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
18,02.03.2010,,"ZERO1 World Heavyweight Title:Toshiaki Kawada(c) defeatsRyouji Sai(21:48)ZERO1 Wrestler's 10 ~ The Birth Of ZERO1~- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/Bob_Sapp_and_Toshiaki_Kawada.jpg
