date,event,result,location,image_url
1,05.09.2025,,"WWE United States Title:Sami Zayn(c) vs.John Cena- No Contest (21:24)WWE Friday Night SmackDown #1359- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
2,31.08.2025,,"John CenadefeatsLogan Paul(26:24)WWE Clash In Paris- Premium Live Event @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
3,08.08.2025,,"Cody Rhodes&John CenadefeatDrew McIntyre&Logan Paulby DQ (7:52)WWE Friday Night SmackDown #1355- TV-Show @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
4,03.08.2025,,"Undisputed WWE TitleStreet Fight:Cody RhodesdefeatsJohn Cena(c) (37:42) -TITLE CHANGE !!!WWE SummerSlam 2025 - Sunday- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
5,28.06.2025,,"Undisputed WWE Title:John Cena(c) defeatsCM Punk(26:17)WWE Night Of Champions 2025- Premium Live Event @ Kingdom Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
6,20.06.2025,,"R-TruthdefeatsJohn Cenaby DQ (5:58)WWE Friday Night SmackDown #1348- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
7,07.06.2025,,"Cody Rhodes&Jey UsodefeatJohn Cena&Logan Paul(24:00)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
8,24.05.2025,,"John CenadefeatsR-Truth(4:25)WWE Saturday Night's Main Event #39- TV-Show @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
9,10.05.2025,,"Undisputed WWE Title:John Cena(c) defeatsRandy Orton(27:49)WWE Backlash 2025- Premium Live Event @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
10,20.04.2025,,"Undisputed WWE Title:John CenadefeatsCody Rhodes(c) (25:03) -TITLE CHANGE !!!WWE WrestleMania 41 - Sunday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
11,01.03.2025,,"WWE Title/WWE Universal Title#1 Contendership Elimination Chamber:John CenadefeatsCM PunkandDamian PriestandDrew McIntyreandLogan PaulandSeth Rollins(32:36)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
12,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
13,08.04.2024,,"Awesome Truth(R-Truth&The Miz) &John CenadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh) (12:03)WWE Monday Night RAW #1611- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
14,04.11.2023,,"Solo SikoadefeatsJohn Cena(16:10)WWE Crown Jewel 2023- Premium Live Event @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
15,07.10.2023,,"John Cena&LA KnightdefeatThe Bloodline(Jimmy Uso&Solo Sikoa) (17:21)WWE Fastlane 2023- Premium Live Event @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
16,06.10.2023,,"Dark:Cody Rhodes,Jey Uso,John Cena&LA KnightdefeatThe Bloodline(Jimmy Uso&Solo Sikoa) &The Judgment Day(Dominik Mysterio&Finn Balor)WWE Friday Night SmackDown #1259- Dark Match @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
17,29.09.2023,,"Dark:John CenadefeatsDominik Mysterio(7:10)WWE Friday Night SmackDown #1258- Dark Match @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
18,22.09.2023,,"Dark:John CenadefeatsMontez FordWWE Friday Night SmackDown #1257- Dark Match @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/Blank_television_set.svg
