date,event,result,location,image_url
1,13.09.2025,,"HATE(Konami,Momo Watanabe&Saya Kamitani) vs.Neo Genesis(AZM,Miyu Amasaki&Starlight Kid) - Double Count Out (14:07)Stardom- Online Stream @ Sanjo City Public Welfare Hall in Sanjo, Niigata, Japan",
2,10.09.2025,,"Artist Of Stardom Title:HATE(Fukigen Death,Konami&Rina) defeatNeo Genesis(AZM,Miyu Amasaki&Starlight Kid) (c) (20:00) -TITLE CHANGE !!!Stardom Nighter In Korakuen- Online Stream @ Korakuen Hall in Tokyo, Japan",
3,06.09.2025,,"Four Way:God's Eye(Ami Sourei&Lady C) defeatCosmic Angels(Natsupoi&Saori Anou) andFWC(Hazuki&Koguma) andNeo Genesis(AZM&Miyu Amasaki) (6:25)Stardom To The World- TV-Show @ Yokohama Budokan in Yokohama, Kanagawa, Japan",
4,23.08.2025,,"5STAR Grand Prix 2025 Final:Momo WatanabedefeatsAZM(21:11)Stardom 5STAR Grand Prix 2025 - Tag 13- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",
5,23.08.2025,,"5STAR Grand Prix 2025 Semi Final:AZMdefeatsRina(15:33)Stardom 5STAR Grand Prix 2025 - Tag 13- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",
6,20.08.2025,,"5STAR Grand Prix 2025 Quarter Final Red Stars:AZMdefeatsHanan(10:18)Stardom 5STAR Grand Prix 2025 - Tag 12- Online Stream @ Korakuen Hall in Tokyo, Japan",
7,20.08.2025,,"5STAR Grand Prix 2025 Semi Final Red Stars:AZMdefeatsSaya Kamitani(12:27)Stardom 5STAR Grand Prix 2025 - Tag 12- Online Stream @ Korakuen Hall in Tokyo, Japan",
8,17.08.2025,,"5STAR Grand Prix 2025 Block D:Sayaka Kurara[4] defeatsAZM[9] (9:06)Stardom 5STAR Grand Prix 2025 - Tag 11- Online Stream @ Act City Hamamatsu Exhibition Event Hall in Hamamatsu, Shizuoka, Japan",
9,10.08.2025,,"5STAR Grand Prix 2025 Block D:AZM[9] defeatsRian[0] (10:46)Stardom 5STAR Grand Prix 2025 - Tag 8- Online Stream @ Okayama Convention Center 3rd Floor Convention Hall in Okayama, Japan",
10,06.08.2025,,"5STAR Grand Prix 2025 Block D:AZM[7] defeatsRina[8] (11:50)Stardom 5STAR Grand Prix 2025 - Tag 6- Online Stream @ Korakuen Hall in Tokyo, Japan",
11,03.08.2025,,"5STAR Grand Prix 2025 Block D:AZM[5] defeatsNatsupoi[4] (2:35)Stardom 5STAR Grand Prix 2025 - Tag 5 (Evening Show)- Online Stream @ Light Cube Utsunomiya in Utsunomiya, Tochigi, Japan",
12,02.08.2025,,"5STAR Grand Prix 2025 Block D:AZM[3] vs.Starlight Kid[3] - Time Limit Draw (15:00)Stardom 5STAR Grand Prix 2025 - Tag 4- Online Stream @ Sendai PIT in Sendai, Miyagi, Japan",
13,30.07.2025,,"5STAR Grand Prix 2025 Block D:AZM[2] defeatsTomoka Inaba[2] (12:32)Stardom 5STAR Grand Prix 2025 - Tag 2- Online Stream @ Morioka Gymnasium in Morioka, Iwate, Japan",
14,27.07.2025,,"5STAR Grand Prix 2025 Block D:Natsuko Tora[2] defeatsAZM[0] (4:18)Stardom 5STAR Grand Prix 2025 - Tag 1- TV-Show @ Ota City General Gymnasium in Tokyo, Japan",
15,24.07.2025,,"NJPW STRONG Women's Title:AZM(c) defeatsBozilla(15:20)Stardom Nighter In Korakuen- Online Stream @ Korakuen Hall in Tokyo, Japan",
16,21.07.2025,,"Mi Vida Loca(Bozilla,Rina Yamashita&Suzu Suzuki) defeatNeo Genesis(AZM,Mei Seira&Miyu Amasaki) (8:42)Stardom Sapporo Rendezvous 2025- Pay Per View @ Chateraise Gateaux Kingdom Sapporo in Sapporo, Hokkaido, Japan",
17,17.07.2025,,"Cosmic Angels(Aya Sakura,Saori Anou&Yuna Mizumori) defeatNeo Genesis(AZM,Mei Seira&Starlight Kid) (15:08)Stardom Northern Tohoku 2 Days In Hachinohe- Event @ YouTree 1st Floor Multipurpose Hall in Hachinohe, Aomori, Japan",
18,16.07.2025,,"Mi Vida Loca(Akira Kurogane,Bozilla&Suzu Suzuki) defeatEma Maishima&Neo Genesis(AZM&Miyu Amasaki) (11:19)Stardom Northern Tohoku 2 Days In Akita- Event @ Selion Plaza in Akita, Japan",
19,13.07.2025,,"Mi Vida Loca(Bozilla&Suzu Suzuki) defeatNeo Genesis(AZM&Mei Seira) (10:41)Stardom- Online Stream @ Paruse Iizaka in Iizaka, Fukushima, Japan",
20,06.07.2025,,"12 Man:Cosmic Angels(Natsupoi&Saori Anou),Neo Genesis(AZM&Starlight Kid) &STARS(Hanan&Saya Iida) defeatHATE(Fukigen Death,Konami,Momo Watanabe,Natsuko Tora,Ruaka&Saya Kamitani) (20:17)Stardom- Online Stream @ Korakuen Hall in Tokyo, Japan",
21,29.06.2025,,"Cosmic Angels(Natsupoi&Saori Anou) &Neo Genesis(AZM,Miyu Amasaki&Starlight Kid) defeatHATE(Azusa Inaba,Konami,Momo Watanabe,Rina&Saya Kamitani) (17:07)Stardom- Online Stream @ Okayama Convention Center in Okayama, Japan",
22,28.06.2025,,"HATE(Azusa Inaba,Konami,Momo Watanabe&Rina) defeatNeo Genesis(AZM,Mei Seira,Miyu Amasaki&Starlight Kid) (12:19)Stardom- Online Stream @ Matsue City General Gymnasium in Matsue, Shimane, Japan.",
23,27.06.2025,,"Three Way:Saki KashimadefeatsAZMandEma Maishima(5:46)Stardom- Event @ CHRES Gymnasium in Kochi, Japan",
24,25.06.2025,,"Neo Genesis(AZM,Mei Seira&Starlight Kid) defeatCosmic Angels(Natsupoi,Saori Anou&Sayaka Kurara) (9:04)Stardom- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",
25,21.06.2025,,"No Disqualification:Mi Vida Loca(Akira Kurogane,Itsuki Aoki,Rina Yamashita&Suzu Suzuki) defeatNeo Genesis(AZM,Mei Seira,Miyu Amasaki&Starlight Kid) (22:44)Stardom The Conversion 2025- TV-Show @ Yoyogi National Gymnasium #2 in Tokyo, Japan",
26,08.06.2025,,"HATE(Konami,Momo Watanabe,Rina&Saya Kamitani) defeatNeo Genesis(AZM,Mei Seira,Miyu Amasaki&Starlight Kid) (18:58)Stardom- Online Stream @ Korakuen Hall in Tokyo, Japan",
