date,event,result,location,image_url
1,01.09.2025,,"Mixed:Alpha Academy(Akira Tozawa,Maxxine Dupri&Otis) defeatAmerican Made(Brutus Creed,Ivy Nile&Julius Creed) (6:47)WWE Main Event #675- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
2,11.08.2025,,"Grayson WallerdefeatsAkira Tozawa(7:24)WWE Main Event #672- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
3,28.07.2025,,"Dark:Akira TozawadefeatsJulius CreedWWE Main Event #670- Dark Match @ Little Caesars Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
4,02.06.2025,,"Karrion KrossdefeatsAkira Tozawa(6:21)WWE Main Event #662- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
5,26.05.2025,,"RusevdefeatsAkira Tozawa(0:54)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
6,28.04.2025,,"Alpha Academy(Akira Tozawa&Otis) defeatAmerican Made(Brutus Creed&Julius Creed) (6:17)WWE Main Event #657- Online Stream @ T-Mobile Center in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
7,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
8,07.04.2025,,"Alpha Academy(Akira Tozawa&Otis) defeatA-Town Down Under(Austin Theory&Grayson Waller) (7:22)WWE Main Event #654- Online Stream @ Target Center in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
9,31.03.2025,,"Karrion KrossdefeatsAkira Tozawa(3:28)WWE Main Event #653- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
10,24.03.2025,,"Xavier WoodsdefeatsAkira Tozawa(7:12)WWE Main Event #652- Online Stream @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
11,17.03.2025,,"The War Raiders(Erik&Ivar) defeatAlpha Academy(Akira Tozawa&Otis) (6:27)WWE Main Event #651- Online Stream @ Forest National in Brüssel, Belgien",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
12,10.03.2025,,"Ludwig KaiserdefeatsAkira Tozawa(4:31)WWE Main Event #650- Online Stream @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
13,24.02.2025,,"GuntherdefeatsAkira Tozawa(2:50)WWE Monday Night RAW #1657- Online Stream @ Heritage Bank Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
14,17.02.2025,,"A-Town Down Under(Austin Theory&Grayson Waller) defeatAlpha Academy(Akira Tozawa&Otis) (4:45)WWE Main Event #647- Online Stream @ Spectrum Center in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
15,07.02.2025,,"Carmelo HayesdefeatsAkira Tozawa(7:33)WWE Friday Night SmackDown #1329- TV-Show @ FedExForum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
16,03.02.2025,,"American Made(Brutus Creed&Julius Creed) defeatAlpha Academy(Akira Tozawa&Otis) (5:49)WWE Main Event #645- Online Stream @ Rocket Mortgage FieldHouse in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
17,20.01.2025,,"JD McDonaghdefeatsAkira Tozawa(7:38)WWE Main Event #643- Online Stream @ American Airlines Center in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
18,07.01.2025,,"Alpha Academy(Akira Tozawa&Otis) defeatNo Quarter Catch Crew(Myles Borne&Tavion Heights) (6:38)WWE Main Event #641- Online Stream @ Shrine Expo Hall in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
19,16.12.2024,,"Chad GabledefeatsAkira Tozawa(2:10)WWE Monday Night RAW #1648- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
20,25.11.2024,,"Alpha Academy(Akira Tozawa&Otis) defeatThe New Day(Kofi Kingston&Xavier Woods) (1:05)WWE Monday Night RAW #1644- TV-Show @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
21,08.11.2024,,"WWE Speed Title#1 Contendership Tournament Final:Dragon LeedefeatsAkira Tozawa(2:39)WWE Speed #42- Online Stream @ KeyBank Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
22,03.11.2024,,"Pete DunnedefeatsAkira Tozawa(7:10)WWE Main Event #632- Online Stream @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
23,25.10.2024,,"WWE Speed Title#1 Contendership Tournament First Round:Akira TozawadefeatsRiley Osborne(1:46)WWE Speed #40- Online Stream @ Barclays Center in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/80/Akira_Tozawa_042025_%28cropped%29.jpg
