date,event,result,location,image_url
1,09.09.2023,,"Awesome Kong,Gail Kim,Jordynne Grace,Mickie James&TrinitydefeatAngelina Love,Deonna Purrazzo,SHAWntourage(Gisele Shaw&Savannah Evans) &Tasha Steelz(15:23)Impact Wrestling #1000 - Tag 2- TV-Show @ Westchester County Center in White Plains, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
2,01.01.2020,,"Awesome KongdefeatsSkyler Moore(3:02)AEW Dark #14- Online Stream @ Daily's Place in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
3,18.12.2019,,"Awesome KongdefeatsMiranda Alize(0:46)AEW Dynamite #12- TV-Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
4,20.11.2019,,"Awesome KongdefeatsLeva Bates(0:58)AEW Dark #8- Online Stream @ Indiana Farmers Coliseum in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
5,31.08.2019,,"Casino Battle Royale:Nyla RosedefeatsAllieandAwesome KongandBea PriestleyandBig SwoleandBrandi RhodesandDr. Britt Baker DMDandFaby ApacheandIvelisseandJazzandLeva BatesandMercedes MartinezandNicole SavoyandODBandPenelope FordandPriscilla KellyandSadie GibbsandShalandra RoyalandShazza McKenzieandTeal PiperandTenille Dashwood(20:50)AEW All Out 2019 - The Buy In- Online Stream @ Sears Centre Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
6,29.06.2019,,"Awesome Kong&Tim RushdefeatSage Matthews&Sam AdamsTRUE Ten Out Of Ten- Event @ Salvation Army in Berwick, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
7,25.05.2019,,"Four Way:Dr. Britt Baker DMDdefeatsAwesome KongandKylie RaeandNyla Rose(11:08)AEW Double Or Nothing 2019- Pay Per View @ MGM Grand Garden Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
8,07.09.2017,,"Taya ValkyriedefeatsAmazing Kongby DQ (4:59)Bar Wrestling 4: Autumn In LA- Event @ 4725 Maine Avenue in Baldwin Park, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
9,20.08.2017,,"Deonna PurrazzodefeatsAwesome Kong(8:39)WWR The Show Must Go On- Event @ Aurora in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
10,05.05.2017,,"Amazing Kong&ZaidadefeatMaritza Janett&Ruby RazeEWF 21st Anniversary Extravaganza- Event @ Knights Of Columbus Hall in Covina, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
11,19.08.2016,,"Awesome Kong&SierradefeatAshley Maddisin&Stacy ShadowsBCW Summer Sizzler- Event @ Knights Of Columbus Hall in West Allis, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
12,04.08.2016,,"BCW Ladies Title:Stacy Shadows(c) vs.Amazing Kong- No ContestBCW Wisconsin State Fair 2016- Event @ Wisconsin State Fair Park in West Allis, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
13,30.07.2016,,"CTW Women's Title Tournament Final Three Way Match (Special Referee: ODB) (vakant):The Angel defeatsAwesome KongandRenee Van Peebles-TITLE CHANGE !!!CTW Ground Zero- Event @ Southland Center in Lynwood, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
14,23.07.2016,,"Three Way:Awesome KongdefeatsHollywood Von RoyalandSantana GarrettMasters Of Ring Fan Expo 3 Evening Show- Event @ Coastline Conference & Event Center in Wilmington, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
15,18.07.2016,,"Aja Kong,Amazing Kong&Ayako HamadadefeatChihiro Hashimoto,Hiroyo Matsumoto&Rina Yamashita(17:31)OZ Academy Aja Kong 30th Anniversary ~ Summer Jumbo Kotobuki- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
16,11.06.2016,,"Awesome Kong&LuFistodefeatAnnie Social&Mickie KnucklesACW/Rogue Chaotic Behaviour- Event @ Stevens Fire Hall in Stevens, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
17,04.06.2016,,"Awesome KongdefeatsDuce TreyFusion- Event @ GALLI Arena in Villa Park, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
18,28.05.2016,,"CTW Women's Title Tournament Semi Final:The Angel defeatsAwesome KongCTW Reality Check- Event @ Fairmeadow Community Church in Munster, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
19,14.05.2016,,"CCW Alabama Women's Title Tournament Final Match (vakant):Awesome KongdefeatsHollywood Heather-TITLE CHANGE !!!CCW- Event @ Houston County Farm Center Annex in Dothan, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
20,01.05.2016,,"Kay Lee RaydefeatsAwesome Kong(7:41)SWE Notorious VI- Event @ Priory Centre in St. Neots, Cambridgeshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
21,30.04.2016,,"Awesome KongdefeatsRyan Smile(0:28)SWE Day Of Reckoning 11- Event @ Rushcliffe Leisure Centre in West Bridgford, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
22,30.04.2016,,"Four Way:Awesome KongdefeatsAlex WindsorandLana AustinandNixon Newell(8:39)SWE Pandemonium- Event @ Rushcliffe Leisure Centre in West Bridgford, Nottinghamshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
23,29.04.2016,,"Awesome KongdefeatsShannaKamikaze Pro Sky's The Limit 3- Event @ The Cadbury Club in Bournville, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4c/AmazingKong_2010.jpg
