date,event,result,location,image_url
1,07.04.2019,,"No Holds Barred:Triple HdefeatsBatista(24:45)WWE WrestleMania 35- Premium Live Event @ MetLife Stadium in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
2,01.06.2014,,"No Holds Barred Elimination:The Shield(Dean Ambrose,Roman Reigns&Seth Rollins) defeatEvolution(Batista,Randy Orton&Triple H) (30:55)WWE Payback 2014- Premium Live Event @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
3,26.05.2014,,"Evolution(Batista&Randy Orton) defeatCody Rhodes&Goldust(10:07)WWE Monday Night RAW #1096- TV-Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
4,26.05.2014,,"No Holds Barred Two On One Handicap:Evolution(Batista&Randy Orton) defeatGoldust(2:34)WWE Monday Night RAW #1096- TV-Show @ Thompson-Boling Arena At Food City Center in Knoxville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
5,20.05.2014,,"No Disqualification:BatistadefeatsDolph Ziggler(13:55)WWE Friday Night SmackDown #770- TV-Show @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
6,19.05.2014,,"Seth RollinsdefeatsBatistaby DQ (13:43)WWE Monday Night RAW #1095- TV-Show @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
7,13.05.2014,,"Dolph ZigglerdefeatsBatistaby DQ (5:00)WWE Friday Night SmackDown #769- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
8,12.05.2014,,"Batistavs.Roman Reigns- No Contest (4:19)WWE Monday Night RAW #1094- TV-Show @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
9,06.05.2014,,"BatistadefeatsSeth Rollinsby Count Out (8:18)WWE Friday Night SmackDown #768- TV-Show @ First Niagara Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
10,04.05.2014,,"The Shield(Dean Ambrose,Roman Reigns&Seth Rollins) defeatEvolution(Batista,Randy Orton&Triple H) (19:56)WWE Extreme Rules 2014- Premium Live Event @ Izod Center in East Rutherford, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
11,27.04.2014,,"SheamusdefeatsBatistaby DQWWE Live- House Show @ The Ford Center in Evansville, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
12,26.04.2014,,"SheamusdefeatsBatistaby DQWWE Live- House Show @ Freedom Hall in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
13,15.04.2014,,"BatistadefeatsSheamus(10:00)WWE Friday Night SmackDown #765- TV-Show @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
14,15.04.2014,,"Dark Last Man Standing:SheamusdefeatsBatistaWWE Friday Night SmackDown #765- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
15,14.04.2014,,"Batista&Randy OrtondefeatThe Usos(Jey Uso&Jimmy Uso) by DQ (4:10)WWE Monday Night RAW #1090- TV-Show @ BJCC Arena in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
16,08.04.2014,,"Batista,Kane&Randy Ortonvs.Daniel Bryan&The Usos(Jey Uso&Jimmy Uso) - Double Count Out (12:19)WWE Friday Night SmackDown #764- TV-Show @ Cajundome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
17,07.04.2014,,"WWE Tag Team Title:The Usos(Jey Uso&Jimmy Uso) (c) vs.Batista&Randy Orton- Double Count Out (2:12)WWE Monday Night RAW #1089- TV-Show @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
18,06.04.2014,,"WWE World Heavyweight TitleTriple Threat:Daniel BryandefeatsBatistaandRandy Orton(c) (23:21) -TITLE CHANGE !!!WWE WrestleMania XXX - ""Let The Good Times Roll""- Premium Live Event @ Mercedes-Benz Superdome in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
19,31.03.2014,,"No Disqualification:Batistavs.Randy Orton- No Contest (9:00)WWE Monday Night RAW #1088- TV-Show @ Verizon Center in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
20,25.03.2014,,"SheamusdefeatsBatistaby DQ (5:14)WWE Friday Night SmackDown #762- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
21,10.03.2014,,"Daniel Bryan&The Big ShowdefeatBatista&Randy Orton(13:02)WWE Monday Night RAW #1085- TV-Show @ FedExForum in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
22,09.03.2014,,"Batista&John CenadefeatBray Wyatt&Randy OrtonWWE Live- House Show @ ASU Convocation Center in Jonesboro, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
23,08.03.2014,,"Batista&John CenadefeatBray Wyatt&Randy OrtonWWE Live- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
24,07.03.2014,,"BatistadefeatsThe Big Showby Count OutWWE Live- House Show @ MTS Centre in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
25,04.03.2014,,"Daniel Bryan&The Big ShowdefeatBatista&Kane(11:08)WWE Friday Night SmackDown #759- TV-Show @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
26,03.03.2014,,"Daniel BryandefeatsBatistaby DQ (10:10)WWE Monday Night RAW #1084- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
27,25.02.2014,,"BatistadefeatsDolph Ziggler(6:28)WWE Friday Night SmackDown #758- TV-Show @ BMO Harris Bradley Center in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
28,24.02.2014,,"Alberto Del RiodefeatsBatista(9:33)WWE Monday Night RAW #1083- TV-Show @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
29,23.02.2014,,"BatistadefeatsAlberto Del Rio(7:11)WWE Elimination Chamber 2014- Pay Per View @ Target Center in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
30,16.02.2014,,"BatistadefeatsAlberto Del RioWWE Live- House Show @ Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
31,15.02.2014,,"BatistadefeatsAlberto Del Rioby DQWWE Live- House Show @ US Airways Center in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
32,10.02.2014,,"Dark:Batista,Daniel Bryan&John CenadefeatThe Wyatt Family(Bray Wyatt,Erick Rowan&Luke Harper) by DQWWE Monday Night RAW #1081- Dark Match @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
33,26.01.2014,,"Royal Rumble:BatistadefeatsAlberto Del RioandAlexander RusevandAntonio CesaroandBig E. LangstonandCM PunkandCody RhodesandDamien SandowandDean AmbroseandDolph ZigglerandEl ToritoandErick RowanandFandangoandGoldustandJack SwaggerandJey UsoandJimmy UsoandJohn Bradshaw LayfieldandKaneandKevin NashandKofi KingstonandLuke HarperandR-TruthandRey MysterioandRoman ReignsandRybackandSeth RollinsandSheamusandThe Great KhaliandThe Miz(55:05)WWE Royal Rumble 2014- Pay Per View @ CONSOL Energy Center in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
34,23.05.2010,,"WWE Heavyweight TitleI Quit:John Cena(c) defeatsBatista(20:28)WWE Over The Limit 2010- Pay Per View @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
35,22.05.2010,,"John Cena&Randy OrtondefeatBatista&SheamusWWE House Show- House Show @ U.S. Bank Arena in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
36,17.05.2010,,"Batistavs.Mark Henry- No ContestWWE Monday Night RAW #886- TV-Show @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
37,17.05.2010,,"DarkWWE Heavyweight Title:John Cena(c) defeatsBatistaWWE Monday Night RAW #886- Dark Match @ Air Canada Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
38,10.05.2010,,"Batistavs.Mark Henry- No ContestWWE Monday Night RAW #885- TV-Show @ Mellon Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
39,10.05.2010,,"Dark No Disqualification:John CenadefeatsBatistaWWE Monday Night RAW #885- Dark Match @ Mellon Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
40,08.05.2010,,"John Cena,Randy Orton&The Big ShowdefeatBatista,Sheamus&The MizWWE RAW House Show- House Show @ Palacio de los Deportes in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
41,07.05.2010,,"John Cena,Randy Orton&The Big ShowdefeatBatista,Sheamus&The MizWWE RAW House Show- House Show @ Estadio De Beisbol in Heroica Puebla de Zaragoza, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
42,06.05.2010,,"John Cena,Randy Orton&The Big ShowdefeatBatista,Sheamus&The MizWWE RAW House Show- House Show @ La Plaza de Toros La Monumental de Aguascalientes in Aguascalientes, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
43,05.05.2010,,"John Cena&Randy OrtondefeatBatista&SheamusWWE RAW House Show- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
44,03.05.2010,,"Beat The Clock Challenge:BatistadefeatsDaniel Bryan(5:06)WWE Monday Night RAW #884- TV-Show @ Jacksonville Veterans Memorial Arena in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
45,03.05.2010,,"DarkWWE Heavyweight Title:John Cena(c) defeatsBatistaWWE Monday Night RAW #884- Dark Match @ Jacksonville Veterans Memorial Arena in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
46,26.04.2010,,"WWE Heavyweight Title#1 Contendership Triple Threat:BatistadefeatsRandy OrtonandSheamus(16:47)WWE Monday Night RAW #883 - Draft 2010- TV-Show @ The Richmond Coliseum in Richmond, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/99/WPanthroponymy.svg
