date,event,result,location,image_url
1,26.02.2023,,"Lights Out Street Fight:Bray WyattdefeatsLA KnightWWE Road To WrestleMania Supershow - Tag 4- House Show @ BMO Harris Bank Center in Rockford, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
2,25.02.2023,,"Lights Out Street Fight:Bray WyattdefeatsLA KnightWWE Road To WrestleMania Supershow - Tag 3- House Show @ State Farm Center in Champaign, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
3,17.02.2023,,"Dark Street Fight:Bray WyattdefeatsLA KnightWWE Friday Night SmackDown #1226- Dark Match @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
4,10.02.2023,,"Dark No Disqualification:Bray WyattdefeatsLA KnightWWE Friday Night SmackDown #1225- Dark Match @ Mohegan Sun Arena in Uncasville, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
5,05.02.2023,,"Pitch Black:Bray WyattdefeatsLA KnightWWE Road To WrestleMania Supershow - Tag 2- House Show @ Pensacola Bay Center in Pensecola, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
6,04.02.2023,,"Pitch Black:Bray WyattdefeatsLA KnightWWE Road To WrestleMania Supershow - Tag 1- House Show @ Columbus Civic Center in Columbus, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
7,03.02.2023,,"Dark:Bray WyattdefeatsLA KnightWWE Friday Night SmackDown #1224- Dark Match @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
8,28.01.2023,,"Pitch Black:Bray WyattdefeatsLA Knight(5:06)WWE Royal Rumble 2023- Premium Live Event @ Alamodome in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
9,29.12.2022,,"Bray WyattdefeatsJinder MahalWWE Live Holiday Tour- House Show @ FTX Arena in Miami, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
10,28.12.2022,,"Bray WyattdefeatsJinder MahalWWE Live Holiday Tour- House Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
11,27.12.2022,,"Bray WyattdefeatsJinder MahalWWE SuperShow Holiday Tour - Tag 6- House Show @ State Farm Arena in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
12,26.12.2022,,"Bray WyattdefeatsJinder MahalWWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
13,11.04.2021,,"Randy OrtondefeatsThe Fiend(5:54)WWE WrestleMania 37 - Tag 2- Premium Live Event @ Raymond James Stadium in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
14,20.12.2020,,"Firefly Inferno:Randy OrtondefeatsThe Fiend(12:00)WWE TLC: Tables, Ladders & Chairs 2020- Premium Live Event @ WWE ThunderDome (Tropicana Field) in St. Petersburg, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
15,07.12.2020,,"Bray Wyattvs.Randy Orton- No Contest (12:00)WWE Monday Night RAW #1437- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
16,16.11.2020,,"Bray WyattdefeatsThe Miz(4:50)WWE Monday Night RAW #1434- TV-Show @ WWE ThunderDome (Amway Center) in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4a/Bray_Wyatt%2C_2022.jpg
