date,event,result,location,image_url
1,12.09.2025,,"AEW World Tag Team Title:Brodido(Bandido&Brody King) (c) defeatGaleon Fantasma(Difunto&Zandokan Jr.) (14:49)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
2,10.09.2025,,"500.000 Dollar:Death Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) &The Young Bucks(Matt Jackson&Nick Jackson) defeatBrodido(Bandido&Brody King) &The Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe) (13:22)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
3,03.09.2025,,"AEW World Tag Team Title:Brodido(Bandido&Brody King) (c) defeatDeath Riders(Claudio Castagnoli&Wheeler Yuta) (12:19)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
4,27.08.2025,,"The Don Callis Family(Hechicero,Josh Alexander,Kazuchika Okada&Konosuke Takeshita) defeatBrodido(Bandido&Brody King) &JetSpeed(Kevin Knight&Mike Bailey) (11:20)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
5,24.08.2025,,"AEW World Tag Team TitleThree Way:Brodido(Bandido&Brody King) defeatThe Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) andFTR(Cash Wheeler&Dax Harwood) (16:05) -TITLE CHANGE !!!AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
6,20.08.2025,,"AEW World Tag Team TitleEliminator Tournament Final:Brodido(Bandido&Brody King) vs.FTR(Cash Wheeler&Dax Harwood) - Time Limit Draw (30:00)AEW Dynamite #307- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
7,13.08.2025,,"Brody King,The Conglomeration(Hologram&Tomohiro Ishii) &Hiromu TakahashidefeatThe Don Callis Family(Josh Alexander&Kyle Fletcher) &The Young Bucks(Matt Jackson&Nick Jackson) (16:26)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
8,06.08.2025,,"AEW World Tag Team TitleEliminator Tournament Semi Final:Brodido(Bandido&Brody King) defeatThe Young Bucks(Matt Jackson&Nick Jackson) (20:26)AEW Dynamite #305- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
9,31.07.2025,,"AEW World Tag Team TitleEliminator Tournament Quarter Final:Brodido(Bandido&Brody King) defeatGates Of Agony(Bishop Kaun&Toa Liona) (12:43)AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
10,25.07.2025,,"Brody King,QT Marshall&The Gunn Club(Austin Gunn&Billy Gunn) defeatThe Frat House(Cole Karter,Griff Garrison,Jacked Jameson&Preston Vance) (12:16)1FW SummerStage- Event @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
11,16.07.2025,,"The Don Callis Family(Hechicero&Josh Alexander) &The Young Bucks(Matt Jackson&Nick Jackson) defeatBandido,Brody King&JetSpeed(Kevin Knight&Mike Bailey) (13:36)AEW Dynamite #302- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
12,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
13,09.07.2025,,"ProtoShita(Konosuke Takeshita&Kyle Fletcher) defeatBandido&Brody King(13:19)AEW Dynamite #301- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
14,02.07.2025,,"Men's Casino Gauntlet #2 Spot Four Way:MJFdefeatsAnthony BowensandAR FoxandBrody King(13:02)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
15,25.06.2025,,"Brody King&TemplariodefeatThe Don Callis Family(Hechicero&Rocky Romero) (10:14)AEW Collision #99- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
16,18.06.2025,,"14 Man:Adam Cole,Atlantis,Atlantis Jr.,Bandido,Brody King,Daniel Garcia&TemplariodefeatDax Harwood,The Don Callis Family(Hechicero,Josh Alexander,Konosuke Takeshita,Kyle Fletcher&Lance Archer) &Volador Jr.(15:47)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/5/50/Brody_King%2C_2022_%28cropped%29.jpg
