date,event,result,location,image_url
1,04.09.2025,,"HOG Crown Jewel Title:Zilla FatudefeatsBully Ray(c) (0:24) -TITLE CHANGE !!!HOG Philadelphia- Pay Per View @ Trinity Center For Urban Life in Philadelphia, Pennsylvania, USA",
2,01.08.2025,,"HOG Crown Jewel TitleTables:Bully RaydefeatsZilla Fatu(c) (10:47) -TITLE CHANGE !!!HOG High Intensity 2025- Pay Per View @ NYC Arena in New York City, New York, USA",
3,07.06.2025,,"Two On One Handicap:Bully RaydefeatsPsycho Love(Angelina Love&Fodder)ASW Bash In Beckley V- Event @ Beckley Raleigh Convention Center in Beckley, West Virginia, USA",
4,06.11.2024,,"Ethan Page&Ridge HollanddefeatBubba Ray Dudley&Trick Williams(10:17)WWE NXT #758 - NXT 2300- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
5,20.10.2024,,"Bhupinder Gujjar&Raj DhesidefeatBully Ray&QT Marshall(12:23)MLP Forged In Excellence - Tag 2- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",
6,19.10.2024,,"Tables:Bully RaydefeatsRaj Dhesi(8:53)MLP Forged In Excellence - Tag 1- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",
7,12.10.2024,,"War Games:Deathmatch Royalty(Broski Jimmy,Mance Warner&Matt Cardona) &Bully Raydefeat Team GCW (1 Called Manders,Effy,Joey Janela&Matthew Justice) (27:50)GCW Fight Club 2024 - Tag 1: The Art Of War Games- Pay Per View @ Showboat Hotel Atlantic City in Atlantic City, New Jersey, USA",
8,25.08.2024,,"Match (Special Referee: Brian Hawks):Bully RaydefeatsFodderAML Talk is Cheap- Event @ East Rowan High School in Salisbury, North Carolina, USA",
9,27.04.2024,,"Six Man Tag Team Extreme Rules Table:Elijah&Team 3D(Bully Ray&D-Von Dudley) defeatCanaan Kristopher,Derek Dillinger&Wes BarkleyIWC Superstar Showdown V- Pay Per View @ CFS Bank Event Center in Belle Vernon, Pennsylvania, USA",
10,05.04.2024,,"Team 3D(Bully Ray&D-Von Dudley) defeatAtsushi Onita&Tommy Dreamer(7:52)BCW A Tribute To The Extreme 2- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",
11,28.10.2023,,"Match (Special Referee: David LaGreca):Bully RaydefeatsnZo(10:07)BCW The Witching Hour- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",
12,22.10.2023,,"Mixed:Bully Ray&Jordynne GracedefeatKiLynn King&Steve Maclin(6:49)Impact Wrestling #1008- TV-Show @ Cicero Stadium in Cicero, Illinois, USA",
