date,event,result,location,image_url
1,05.09.2025,,"Aleister BlackdefeatsDamian Priest(9:37)WWE Friday Night SmackDown #1359- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
2,24.08.2025,,"Damian PriestdefeatsAleister BlackWWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
3,23.08.2025,,"Damian PriestdefeatsAleister BlackWWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
4,01.08.2025,,"Damian PriestdefeatsAleister Blackby DQ (8:47)WWE Friday Night SmackDown #1354- TV-Show @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
5,18.07.2025,,"Damian PriestdefeatsCarmelo Hayesby DQ (8:56)WWE Friday Night SmackDown #1352- TV-Show @ Frost Bank Center in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
6,13.06.2025,,"King Of The Ring 2025 First Round Fatal Four Way:Cody RhodesdefeatsAndradeandDamian PriestandShinsuke Nakamura(17:05)WWE Friday Night SmackDown #1347- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
7,24.05.2025,,"Steel Cage:Damian PriestdefeatsDrew McIntyre(12:22)WWE Saturday Night's Main Event #39- TV-Show @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
8,10.05.2025,,"WWE United States TitleFatal Four Way:Jacob Fatu(c) defeatsDamian PriestandDrew McIntyreandLA Knight(18:14)WWE Backlash 2025- Premium Live Event @ Enterprise Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
9,09.05.2025,,"Damian Priest&LA KnightdefeatJacob Fatu&Solo Sikoa(10:08)WWE Friday Night SmackDown #1342- TV-Show @ Wright State University Nutter Center in Dayton, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
10,02.05.2025,,"Damian Priestvs.LA Knight- No Contest (14:24)WWE Friday Night SmackDown #1341- TV-Show @ Wells Fargo Arena in Des Moines, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
11,20.04.2025,,"Sin City Street Fight:Drew McIntyredefeatsDamian Priest(13:54)WWE WrestleMania 41 - Sunday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
12,21.03.2025,,"Damian Priest&Jimmy UsodefeatDrew McIntyre&Shinsuke Nakamura(7:46)WWE Friday Night SmackDown #1335- TV-Show @ Unipol Arena in Bologna, Emilia-Romagna, Italien",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
13,14.03.2025,,"Damian PriestdefeatsShinsuke Nakamuraby DQ (8:42)WWE Friday Night SmackDown #1334- TV-Show @ Pavelló Olímpic de Badalona in Badalona, Spanien",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
14,01.03.2025,,"WWE Title/WWE Universal Title#1 Contendership Elimination Chamber:John CenadefeatsCM PunkandDamian PriestandDrew McIntyreandLogan PaulandSeth Rollins(32:36)WWE Elimination Chamber 2025- Premium Live Event @ Rogers Centre in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
15,21.02.2025,,"Braun Strowman&Damian PriestdefeatJacob Fatu&Solo Sikoa(12:33)WWE Friday Night SmackDown #1331- TV-Show @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
16,14.02.2025,,"Elimination Chamber Qualifying Triple Threat:Damian PriestdefeatsBraun StrowmanandJacob Fatu(16:15)WWE Friday Night SmackDown #1330- TV-Show @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
17,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
18,31.01.2025,,"Damian Priest&LA KnightdefeatJacob Fatu&Tama Tonga(14:46)WWE Friday Night SmackDown #1328- TV-Show @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
19,24.01.2025,,"Damian PriestdefeatsCarmelo Hayes(10:47)WWE Friday Night SmackDown #1327- TV-Show @ Moody Center in Austin, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
20,13.01.2025,,"Street Fight:Damian PriestdefeatsFinn Balor(17:20)WWE Monday Night RAW #1651- Online Stream @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
21,30.12.2024,,"Damian Priest&The War Raiders(Erik&Ivar) defeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh) (9:13)WWE Monday Night RAW #1649- TV-Show @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
22,28.12.2024,,"WWE World Heavyweight  TitleSteel Cage:Gunther(c) defeatsDamian PriestWWE Live Holiday Tour- House Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
23,27.12.2024,,"WWE World Heavyweight  TitleSteel Cage:Gunther(c) defeatsDamian PriestWWE Live Holiday Tour- House Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
24,26.12.2024,,"WWE World Heavyweight  TitleSteel Cage:Gunther(c) defeatsDamian PriestWWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
25,16.12.2024,,"Damian PriestdefeatsDominik Mysterioby DQ (2:53)WWE Monday Night RAW #1648- TV-Show @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
26,14.12.2024,,"WWE World Heavyweight  TitleTriple Threat:Gunther(c) defeatsDamian PriestandFinn Balor(11:10)WWE Saturday Night's Main Event #37- TV-Show @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/dc/Damian_Priest%2C_WrestleMania_XL_%282%29.jpg
