date,event,result,location,image_url
1,10.09.2025,,"House Of Torture(Dick Togo,Don Fale&EVIL) defeatOleg Boltin,Shoma Kato&Shota Umino(9:25)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
2,09.09.2025,,"House Of Torture(Dick Togo,Don Fale&EVIL) defeatKatsuya Murashima,Oleg Boltin&Yuya Uemura(8:10)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
3,07.09.2025,,"House Of Torture(Dick Togo,Don Fale&EVIL) defeatKatsuya Murashima,Oleg Boltin&Shoma Kato(7:24)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
4,17.08.2025,,"G1 Climax 2025 Final:Konosuke TakeshitadefeatsEVIL(26:26)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
5,16.08.2025,,"G1 Climax 2025 Semi Final:EVILdefeatsYota Tsujiby referee's decision (18:01)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
6,14.08.2025,,"House Of Torture(Don Fale,DOUKI&EVIL) defeatTMDK(Hartley Jackson,Ryohei Oiwa&Zack Sabre Jr.) (7:05)NJPW G1 Climax 35 - Tag 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
7,13.08.2025,,"House Of Torture(Dick Togo&EVIL) defeatBULLET CLUB War Dogs(David Finlay&Gedo) (4:31)NJPW G1 Climax 35 - Tag 16- Online Stream @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
8,10.08.2025,,"G1 Climax 2025 Block A:EVIL[12] defeatsHiroshi Tanahashi[8] (12:50)NJPW G1 Climax 35 - Tag 15- Online Stream @ G Messe Gunma in Takasaki, Gunma, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
9,08.08.2025,,"House Of Torture(Dick Togo&EVIL) defeatHiroshi Tanahashi&Katsuya Murashima(5:44)NJPW G1 Climax 35 - Tag 14- Online Stream @ Yokohama Budokan in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
10,07.08.2025,,"G1 Climax 2025 Block A:EVIL[10] defeatsOleg Boltin[8] (9:44)NJPW G1 Climax 35 - Tag 13- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
11,05.08.2025,,"Oleg Boltin&Toru YanodefeatHouse Of Torture(Dick Togo&EVIL) (4:57)NJPW G1 Climax 35 - Tag 12- Online Stream @ INTEX Osaka Building No. 5 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
12,03.08.2025,,"G1 Climax 2025 Block A:David Finlay[6] defeatsEVIL[8] (10:31)NJPW G1 Climax 35 - Tag 11- Online Stream @ Fukuoka Convention Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
13,02.08.2025,,"House Of Torture(Dick Togo&EVIL) defeatBULLET CLUB War Dogs(David Finlay&Gedo) (5:22)NJPW G1 Climax 35 - Tag 10- Online Stream @ Hiroshima Sun Plaza in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
14,01.08.2025,,"G1 Climax 2025 Block A:EVIL[8] defeatsRyohei Oiwa[6] (9:57)NJPW G1 Climax 35 - Tag 9- Online Stream @ Sunmesse Kagawa in Takamatsu, Kagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
15,30.07.2025,,"TMDK(Hartley Jackson&Ryohei Oiwa) defeatHouse Of Torture(Dick Togo&EVIL) (5:57)NJPW G1 Climax 35 - Tag 8- TV-Show @ Yamato Arena in Suita, Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
16,27.07.2025,,"G1 Climax 2025 Block A:Yuya Uemura[6] defeatsEVIL[6] (13:42)NJPW G1 Climax 35 - Tag 7- Online Stream @ Nagoya International Conference Hall in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
17,26.07.2025,,"House Of Torture(Dick Togo&EVIL) defeatTomoaki Honma&Yuya Uemura(7:33)NJPW G1 Climax 35 - Tag 6- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
18,25.07.2025,,"G1 Climax 2025 Block A:EVIL[6] defeatsTaichi[4] (10:31)NJPW G1 Climax 35 - Tag 5- Online Stream @ Ota City General Gymnasium in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
19,23.07.2025,,"House Of Torture(Dick Togo&EVIL) defeatMasatora Yasuda&Taichi(6:30)NJPW G1 Climax 35 - Tag 4- Online Stream @ Aore Nagaoka in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
20,22.07.2025,,"G1 Climax 2025 Block A:SANADA[2] defeatsEVIL[4] (6:33)NJPW G1 Climax 35 - Tag 3- TV-Show @ Sendai Sun Plaza Hall in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
21,20.07.2025,,"G1 Climax 2025 Block A:EVIL[4] defeatsYota Tsuji[2] (11:01)NJPW G1 Climax 35 - Tag 2- Online Stream @ Hokkaido Prefectural Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
22,19.07.2025,,"G1 Climax 2025 Block A:EVIL[2] defeatsCallum Newman[0] (9:02)NJPW G1 Climax 35 - Tag 1- TV-Show @ Hokkaido Prefectural Sports Center in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
23,06.07.2025,,"House Of Torture(EVIL,Ren Narita,SANADA,Yoshinobu Kanemaru&Yujiro Takahashi) defeatOleg Boltin,Ryusuke Taguchi,Shota Umino,Tomoaki Honma&Yuya Uemura(8:38)NJPW New Japan Soul 2025 - Tag 9- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
24,04.07.2025,,"Shota Umino,Taichi,Tiger Mask,Tomohiro Ishii&Yuji NagatadefeatHouse Of Torture(Dick Togo,DOUKI,EVIL,SANADA&Yoshinobu Kanemaru) (7:37)NJPW New Japan Soul 2025 - Tag 8- Online Stream @ Tokyo Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
25,29.06.2025,,"House Of Torture(Chase Owens,EVIL,Ren Narita&Yujiro Takahashi) defeatTaichi,Tomohiro Ishii,YOSHI-HASHI&Yuya Uemura(8:43)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
26,27.06.2025,,"House Of Torture(Chase Owens,Dick Togo,EVIL&SANADA) defeatGreat Bash Heel(Togi Makabe&Tomoaki Honma),YOSHI-HASHI&Yuji Nagata(9:05)NJPW New Japan Soul 2025 - Tag 7- Event @ Shiga Theatre for Cultural and Industrial Development Event Hall in Maibara, Shiga, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
27,26.06.2025,,"Oleg Boltin,Togi Makabe,YOSHI-HASHI&Yuji NagatadefeatHouse Of Torture(Chase Owens,Dick Togo,EVIL&SANADA) (9:10)NJPW New Japan Soul 2025 - Tag 6- Event @ Chino Cultural Complex in Chino, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
28,23.06.2025,,"House Of Torture(Chase Owens,Don Fale,EVIL&SANADA) defeatGreat Bash Heel(Togi Makabe&Tomoaki Honma),Tiger Mask&YOSHI-HASHI(8:42)NJPW New Japan Soul 2025 - Tag 5- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d5/Canon_EOS-5D_vs_EOS-M.JPG
