date,event,result,location,image_url
1,08.09.2025,,"AJ StylesdefeatsEl Grande Americano(9:00)WWE Monday Night RAW #1685- Online Stream @ Fiserv Forum in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
2,07.09.2025,,"El Grande AmericanodefeatsEl FiscalAAA Alianzas- Event @ Showcenter Complex in San Pedro Garza Garcia, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
3,25.08.2025,,"Dark:El Grande AmericanodefeatsJoaquin WildeWWE Main Event #674- Dark Match @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
4,18.08.2025,,"El Grande AmericanodefeatsCruz Del Toro(7:13)WWE Main Event #673- Online Stream @ Xfinity Mobile Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
5,16.08.2025,,"AAA Mega TitleFatal Four Way:El Hijo del Vikingo(c) defeatsDominik MysterioandDragon LeeandEl Grande Americano(15:04)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
6,11.08.2025,,"Dominik Mysterio&El Grande AmericanodefeatAJ Styles&Dragon Lee(16:38)WWE Monday Night RAW #1681- Online Stream @ Centre Videotron in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
7,08.08.2025,,"Dark:Sami ZayndefeatsEl Grande AmericanoWWE Friday Night SmackDown #1355- Dark Match @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
8,27.07.2025,,"WWE Intercontinental TitleTriple Threat:Dominik Mysterio(c) defeatsEl Grande AmericanoandR-TruthWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
9,26.07.2025,,"WWE Intercontinental TitleTriple Threat:Dominik Mysterio(c) defeatsEl Grande AmericanoandR-TruthWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
10,25.07.2025,,"El Grande AmericanodefeatsOctagon Jr.(10:50)AAA Alianzas- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
11,14.07.2025,,"El Grande AmericanodefeatsAustin Theory(7:15)WWE Main Event #668- Online Stream @ Legacy Arena At The BJCC in Birmingham, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
12,11.07.2025,,"Dark:SheamusdefeatsLudwig KaiserWWE Friday Night SmackDown #1351- Dark Match @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
13,07.07.2025,,"El Grande AmericanodefeatsDragon Lee(9:23)WWE Monday Night RAW #1676- Online Stream @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
14,05.05.2025,,"Ludwig KaiserdefeatsTyler Bate(7:53)WWE Main Event #658- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
15,21.04.2025,,"Ludwig KaiserdefeatsJoaquin Wilde(4:58)WWE Main Event #656- Online Stream @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
16,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
17,14.04.2025,,"Ludwig KaiserdefeatsTyler Bate(9:26)WWE Main Event #655- Online Stream @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
18,31.03.2025,,"Dark:CM PunkdefeatsLudwig Kaiser(5:32)WWE Monday Night RAW #1662- Dark Match @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
19,30.03.2025,,"Jey Uso,Randy Orton&Seth RollinsdefeatDominik Mysterio,Ludwig Kaiser&The MizWWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
20,29.03.2025,,"Jey UsodefeatsLudwig KaiserWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
21,17.03.2025,,"No Holds Barred:PentadefeatsLudwig Kaiser(11:19)WWE Monday Night RAW #1660- Online Stream @ Forest National in Brüssel, Belgien",https://upload.wikimedia.org/wikipedia/commons/8/8c/DAB_list_gray.svg
