date,event,result,location,image_url
1,29.08.2025,,"PWK Title:Ashton Adonis(c) defeatsElijah BurkePWK In The Heat Of The Night- Event @ Fisher's Tips -N- Chips Barbecue & Catering in South Bend, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
2,01.07.2025,,"The PopedefeatsMimsNWA Powerrr TV Taping- Event @ WEDU Studios in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
3,02.11.2024,,"Elijah BurkedefeatsJJ BlakePWF Burnout- Event @ Houston Premier Arena in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
4,09.12.2023,,"The PopedefeatsBrother Greatness(16:36)Remarkable Back To The Hotel- Online Stream @ Port Jefferson Station in Port Jefferson, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
5,19.11.2023,,"Colby Cartervs.Elijah Burke- Double PinFXE Crush Live- Event @ Bluegrass Yacht & Country Club in Hendersonville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
6,04.11.2023,,"ACW Heavyweight             Title:Elijah Burke(c) defeatsMalik Bosede(29:24)ACW Mo'Bay Bash- Online Stream @ Montego Bay Convention Centre in Montego Bay, Jamaica",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
7,03.09.2023,,"Rocco BellagiodefeatsThe PopeDerby City Wrestling #22- Online Stream @ Norton Healthcare Sports & Learning Center in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
8,22.07.2023,,"Elijah BurkedefeatsRighteous RyanMemphis Wrestling #126- Online Stream @ Memphis Wrestling WrestleCenter in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
9,18.06.2023,,"Elijah BurkedefeatsDylan BosticDerby City Wrestling #11- Online Stream @ Norton Healthcare Sports & Learning Center in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
10,30.03.2023,,"Elijah BurkedefeatsIseah Bronson(9:26)ACW Island Vibes- Online Stream @ Common Space Brewery in Hawthorne, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
11,26.03.2023,,"Dylan BosticdefeatsElijah BurkeDerby City Wrestling #3- Online Stream @ Norton Healthcare Sports & Learning Center in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
12,18.02.2023,,"Elijah BurkedefeatsTony MackoACW/FEW Say It Loud 3- Event @ XPerience Live Event Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
13,13.11.2022,,"JTG&The PopedefeatThe Miserably Faithful(Gaagz The Gymp&Judais) (6:56)NWA USA #39 - Revolution Rumble: Part 4- Online Stream @ Frederick J. Sigur Civic Center in Chalmette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
14,12.11.2022,,"Hardcore Team War:Anthony Mayweather,JTG&PopedefeatAlex Taylor,Jax Dane&Mercurio(10:36)NWA Hard Times In New Orleans Pre-Show- Online Stream @ Frederick J. Sigur Civic Center in Chalmette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
15,31.08.2022,,"Doug Williams,Kratos&The Popevs.Thom Latimer,Trevor Murdoch&Tyrus- No Contest (6:49)NWA Powerrr #86- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
16,30.08.2022,,"NWA World Television    TitleQualifying Five Way Elimination:Jordan ClearwaterdefeatsCaprice ColemanandMax The ImpalerandRush FreemanandThe Pope(8:11)NWA USA #34- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
17,29.08.2022,,"Kratos&The PopedefeatKC Roxx&Question Mark(6:46)NWA Powerrr #80- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
18,28.08.2022,,"Missouri Tornado:Kratos&The PopedefeatAron Stevens&Rodney Mack(9:40)NWA 74 - Tag 2- Pay Per View @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
19,27.08.2022,,"Rodney MackdefeatsThe Pope(4:49)NWA 74 Pre-Show - Tag 1- Online Stream @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
20,31.07.2022,,"Elijah BurkedefeatsThom LatimerACW Battle Kingdom- Event @ Woodbrook Youth Facility in Port Of Spain, Trinidad & Tobago",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
21,14.06.2022,,"Popevs.Trevor Murdoch- Double Count Out (7:30)NWA Powerrr #75- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
22,13.06.2022,,"Race To The Chase Qualifying:Brian MyersdefeatsPope(6:56)NWA Powerrr #71- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
23,11.06.2022,,"MPW Heritage Title/MPW Metropolitan Title:Jason Hotch(c) defeatsElijah BurkeMPW Summer Showdown- Event @ Downriver Council Of The Arts in Wyandotte, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
24,22.03.2022,,"NWA Worlds Heavyweight Title:Matt Cardona(c) defeatsThe Pope(16:07)NWA Super Powerrr #4- Online Stream @ Skyway Studios in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
25,19.03.2022,,"Crockett Cup 2022 First Round:The Cardonas(Mike Knox&VSK) defeatMims&The Pope(9:59)NWA The Crockett Cup 2022 - Tag 1- Pay Per View @ Fairgrounds Nashville in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
26,12.02.2022,,"Mike KnoxdefeatsThe Pope(11:55)NWA Powerrr #55 - PowerrrTrip: Part 2- Online Stream @ Valor Hall in Oak Grove, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
27,06.11.2021,,"EMERGE Title:Justin Kyle (c) defeatsElijah BurkeEMERGE 58: Reap What You Sow- Event @ 200 W. Pearl Street in Trafalger, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
28,24.10.2021,,"The PopedefeatsColby Corino(8:17)NWA Powerrr #43 - By Any Means Necessary: Part 1- Online Stream @ Valor Hall in Oak Grove, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
29,02.10.2021,,"HLW Title:Anthony Toatele(c) defeatsElijah BurkeHLW Heroes & Legends XV- Event @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
30,31.08.2021,,"Three Way:The Pope&Trevor MurdochdefeatCrimson&Jeremiah PlunkettandThe End(Odinson&Parrow) (3:03)NWA Powerrr #39- Online Stream @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
31,29.08.2021,,"Cyon,Jordan Clearwater&TyrusdefeatThe End(Odinson&Parrow) &The Pope(12:52)NWA 73 - Wrestling At The Chase- Pay Per View @ Chase Park Plaza Hotel in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
32,26.06.2021,,"OVW National Heavyweight Title:Elijah BurkedefeatsJessie Godderz(c) by DQOVW Saturday Night Special - Chained Carnage 2021- Pay Per View @ Davis Arena in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
33,08.06.2021,,"NWA World Television    Title:The Pope(c) defeatsLuke Hawx(5:20)NWA Powerrr #28- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
34,07.06.2021,,"NWA World Television    Title:The Pope(c) defeatsSal Rinauro(4:20)NWA Super Powerrr #3- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
35,07.06.2021,,"NWA World Television    Title:TyrusdefeatsThe Pope(c) (10:49) -TITLE CHANGE !!!NWA Extra Powerrr- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
36,06.06.2021,,"TyrusdefeatsThe Pope(10:26)NWA When Our Shadows Fall- Pay Per View @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
37,18.05.2021,,"NWA World Television    Title:The Pope(c) defeatsMatt Cross(5:07)NWA Super Powerrr #2- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
38,27.04.2021,,"NWA World Television    Title:The Pope(c) vs.Tyrus- Time Limit Draw (6:05)NWA Powerrr #25- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
39,06.04.2021,,"NWA World Television    Title:The Pope(c) defeatsFred Rosser(5:46)NWA Powerrr #23- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
40,23.03.2021,,"Chris Adonis&Strictly Business(Nick Aldis&Thom Latimer) defeatAron Stevens,Kratos&Pope(10:37)NWA Powerrr #21- Online Stream @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
41,21.03.2021,,"NWA World Television    Title:The Pope(c) vs.Thom Latimer- Time Limit Draw (10:05)NWA Back For The Attack- Pay Per View @ GPB Studios in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
42,20.10.2020,,"NWA World Television    Title:The PopedefeatsZicky Dice(c) (5:52) -TITLE CHANGE !!!UWN Primetime Live #6- Pay Per View @ Thunder Studios in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
43,06.10.2020,,"The Pope&WattsdefeatEffy&Zicky Dice(14:21)UWN Primetime Live #4- Pay Per View @ Thunder Studios in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
44,31.07.2020,,"ARW Next Level Title:Elijah BurkedefeatsChico Adams(c) -TITLE CHANGE !!!ARW Star Spangled Slammer 4- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
45,15.02.2020,,"Elijah BurkedefeatsChucklesUSA Pro Valentine's Day After Massacre- Event @ Orlando National Guard Armory in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
46,08.02.2020,,"Elijah BurkedefeatsMason WallsFEW Caribbean Heat- Event @ Loyola Hall in Nassau, Bahamas",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
47,18.01.2020,,"Bishop Sapp &Elijah BurkedefeatJason Dugan&Stunt MarshallFEW Duuuval Brawl II- Event @ Murray Hill Baptist Church Gym in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
48,22.11.2019,,"Unsanctioned:Chico AdamsdefeatsElijah BurkeARW Reindeer Games 2- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
49,09.11.2019,,"Best Two Out Of Three Falls:Elijah Burkevs.Wes Brisco- Double PinUSA Pro 27th Anniversary Show- Event @ Orlando National Guard Armory in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
50,29.10.2019,,"World Heavyweight Radio Title:Elijah Burke& Steven Rummage defeatAdam Revolver&Shannon The Dude(c) -TITLE CHANGE !!!OVW TV #1055- TV-Show @ Davis Arena in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
51,12.10.2019,,"Barrett BrowndefeatsElijah BurkeCWA Lloyd's Rumble- Event @ Hot Springs Convention Center in Hot Springs, Arkansas, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
52,11.10.2019,,"ARW Rapid Fire TitleI Quit:Jason DugandefeatsElijah Burke(c) -TITLE CHANGE !!!ARW Extreme Takeover 3- Event @ Space Coast Convention Center in Cocoa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
53,21.09.2019,,"King Of New York 2019 Tournament First Round:Chris BennedefeatsMarcus MarqueeandMasha SlamovichandThe PopeWOW King Of New York 2019- Event @ Fun Station USA in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/40/D%27Angelo_Dinero_October_2010_cropped.jpg
