date,event,result,location,image_url
1,05.09.2025,,"WWE Women's United States Title:Giulia(c) defeatsMichin(7:36)WWE Friday Night SmackDown #1359- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",
2,28.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina VegaWWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",
3,27.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina VegaWWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",
4,26.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina VegaWWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",
5,01.08.2025,,"WWE Women's United States Title:Giulia(c) defeatsZelina Vega(12:13)WWE Friday Night SmackDown #1354- TV-Show @ Prudential Center in Newark, New Jersey, USA",
6,13.07.2025,,"20 Woman Battle Royal:Stephanie VaquerdefeatsAlba FyreandB-FabandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIzzi DameandJaida ParkerandKelani JordanandLash LegendandLola ViceandMaxxine DupriandMichinandNatalyaandNia JaxandNikki BellaandPiper NivenandTatum PaxleyandZelina Vega(15:32)WWE Evolution 2025- Premium Live Event @ State Farm Arena in Atlanta, Georgia, USA",
7,27.06.2025,,"WWE Women's United States Title:GiuliadefeatsZelina Vega(c) (7:33) -TITLE CHANGE !!!WWE Friday Night SmackDown #1349- TV-Show @ Kingdom Arena in Riyadh, Saudi-Arabien",
8,13.06.2025,,"GiuliadefeatsB-Fab(6:28)WWE Main Event #664- Online Stream @ Rupp Arena in Lexington, Kentucky, USA",
9,07.06.2025,,"Money In The Bank Ladder:NaomidefeatsAlexa BlissandGiuliaandRhea RipleyandRoxanne PerezandStephanie Vaquer(25:11)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",
10,06.06.2025,,"Alexa Bliss,Rhea Ripley&Stephanie VaquerdefeatGiulia,Naomi&Roxanne Perez(12:02)WWE Friday Night SmackDown #1346- TV-Show @ Dignity Health Arena in Bakersfield, California, USA",
11,23.05.2025,,"Money In The Bank Qualifying Triple Threat:GiuliadefeatsCharlotte FlairandZelina Vega(13:30)WWE Friday Night SmackDown #1344- TV-Show @ Enmarket Arena in Savannah, Georgia, USA",
12,12.05.2025,,"IYO SKY&Rhea RipleydefeatGiulia&Roxanne Perez(14:00)WWE Monday Night RAW #1668- Online Stream @ KFC Yum! Center in Louisville, Kentucky, USA",
13,06.05.2025,,"WWE NXT Women's Title#1 Contendership:Jordynne GracedefeatsGiulia(12:44)WWE NXT #784- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
14,29.04.2025,,"IYO SKY&Jordynne GracedefeatGiulia&Roxanne Perez(14:25)WWE NXT #783- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
15,26.04.2025,,"Giulia&Roxanne PerezdefeatSol Ruca&Zariaby DQWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",
16,19.04.2025,,"WWE NXT Women's TitleFatal Four Way:Stephanie Vaquer(c) defeatsGiuliaandJaida ParkerandJordynne Grace(16:30)WWE Stand & Deliver 2025- Premium Live Event @ T-Mobile Arena in Paradise, Nevada, USA",
17,04.04.2025,,"GiuliadefeatsArianna GraceWWE NXT Live- House Show @ National Guard Armory in Crystal River, Florida, USA",
18,11.03.2025,,"WWE NXT Women's Title/WWE NXT Women's North American Title:Stephanie Vaquer(c) [North American] defeatsGiulia(c) [NXT] (11:22) -TITLE CHANGE !!!WWE NXT #776 - Roadblock 2025- TV-Show @ The Theater At Madison Square Garden in New York City, New York, USA",
19,08.03.2025,,"Giulia&Stephanie VaquerdefeatArianna Grace&Nikkita LyonsWWE NXT Live- House Show @ University Area Community Complex in Tampa, Florida, USA",
20,18.02.2025,,"Giulia,Jordynne Grace&Stephanie VaquerdefeatFatal Influence(Fallon Henley,Jacy Jayne&Jazmyn Nyx) (13:05)WWE NXT #773- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
21,15.02.2025,,"WWE NXT Women's TitleFatal Four Way:Giulia(c) defeatsBayleyandCora JadeandRoxanne Perez(18:31)WWE Vengeance Day 2025- Premium Live Event @ CareFirst Arena in Washington, District Of Columbia, USA",
22,01.02.2025,,"Royal Rumble:Charlotte FlairdefeatsAlexa BlissandB-FabandBayleyandBianca BelairandCandice LeRaeandChelsea GreenandGiuliaandIvy NileandIYO SKYandJaida ParkerandJordynne GraceandLash LegendandLiv MorganandLyra ValkyriaandMaxxine DupriandMichinandNaomiandNatalyaandNia JaxandNikki BellaandPiper NivenandRaquel RodriguezandRoxanne PerezandShayna BaszlerandSonya DevilleandStephanie VaquerandTrish StratusandZelina VegaandZoey Stark(70:20)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",
23,28.01.2025,,"Bayley&GiuliadefeatCora Jade&Roxanne Perez(12:58)WWE NXT #770- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",
24,18.01.2025,,"WWE NXT Women's TitleTriple Threat:Giulia(c) defeatsLola ViceandWren SinclairWWE NXT Live- House Show @ Melbourne Auditorium in Melbourne, Florida, USA",
25,11.01.2025,,"Giulia,Kelani Jordan&Stephanie VaquerdefeatCora Jade,Lainey Reid&Roxanne PerezWWE NXT Live- House Show @ Jacksonville Armory in Jacksonville, Florida, USA",
26,07.01.2025,,"WWE NXT Women's Title:GiuliadefeatsRoxanne Perez(c) (11:14) -TITLE CHANGE !!!WWE NXT #767 - New Year's Evil 2025- TV-Show @ Shrine Expo Hall in Los Angeles, California, USA",
27,14.12.2024,,"GiuliadefeatsNikkita LyonsWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",
28,10.12.2024,,"Cora Jade&Roxanne PerezdefeatGiulia&Kelani Jordan(10:54)WWE NXT #763- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
29,07.12.2024,,"WWE NXT Women's Title#1 Contendership Iron Survivor Challenge:Giulia[2] defeatsSol Ruca[1] andStephanie Vaquer[1] andWren Sinclair[1] andZaria[1] (25:00)WWE Deadline 2024- Premium Live Event @ Minneapolis Armory in Minneapolis, Minnesota, USA",
30,26.11.2024,,"Iron Survivor Challenge Qualifying:GiuliadefeatsKelani Jordan(12:30)WWE NXT #761- TV-Show @ WWE Performance Center in Orlando, Florida, USA",
31,15.11.2024,,"Giulia&Lola VicedefeatCora Jade&Roxanne PerezWWE NXT Live- House Show @ Dade City Armory in Dade City, Florida, USA",
