date,event,result,location,image_url
1,22.10.2001,,"Hayabusavs.Mammoth Sasaki- No Contest (13:20)FMW Power Splash 2001 - Tag 13- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
2,21.10.2001,,"Chocoball Mukai,Kintaro Kanemura&Kodo FuyukidefeatHayabusa,Tetsuhiro Kuroda&Yoshihito Sasaki(17:14)FMW Power Splash 2001 - Tag 12- Event @ KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
3,19.10.2001,,"Hayabusa,Hisakatsu Oya&Ricky FujidefeatChocoball Mukai,Mammoth Sasaki&NOSAWA(18:48)FMW Power Splash 2001 - Tag 11- Event @ Southern Walfare Hall in Joetsu, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
4,17.10.2001,,"GOEMON,Hayabusa&Ricky FujidefeatKintaro Kanemura,Mr. Gannosuke&Satoru Makita(8:48)FMW Power Splash 2001 - Tag 10- Event @ Bicycle Racetrack in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
5,14.10.2001,,"Kintaro Kanemura,Mammoth Sasaki&Mr. GannosukedefeatHayabusa,Onryo&Yoshihito Sasaki(14:50)FMW Power Splash 2001 - Tag 9- Event @ Central Park in Yotsukaido, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
6,13.10.2001,,"Elimination:Kintaro Kanemura,Mammoth Sasaki,Mr. Gannosuke&NOSAWAdefeatGOEMON,Hayabusa,Hisakatsu Oya&Onryo(21:05)FMW Power Splash 2001 - Tag 8- Event @ Osaka Prefectural Gymnasium # 2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
7,12.10.2001,,"GOEMON,Hayabusa&OnryodefeatChocoball Mukai,Kintaro Kanemura&NOSAWA(15:39)FMW Power Splash 2001 - Tag 7- Event @ City Gym in Toyohashi, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
8,11.10.2001,,"GOEMON,Hayabusa&Tetsuhiro KurodadefeatChocoball Mukai,Mammoth Sasaki&Mr. Gannosuke(18:06)FMW Power Splash 2001 - Tag 6- Event @ Park Gym in Shingu, Wakayama, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
9,10.10.2001,,"Hayabusa,Hisakatsu Oya&Tetsuhiro KurodadefeatKintaro Kanemura,Kodo Fuyuki&NOSAWA(17:06)FMW Power Splash 2001 - Tag 5- Event @ City Hall in Shirahama, Wakayama, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
10,09.10.2001,,"WEW Tag Team Title:Hayabusa&Tetsuhiro KurodadefeatMammoth Sasaki&Mr. Gannosuke(c) (22:31) -TITLE CHANGE !!!FMW Power Splash 2001 - Tag 4- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/243_ida_crop.jpg
