date,event,result,location,image_url
1,12.09.2025,,"AAA Latin American TitleFatal Four Way:El Hijo de Dr. Wagner Jr.(c) defeatsDragon LeeandEthan PageandJD McDonagh(9:56)AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
2,28.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
3,27.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
4,26.08.2025,,"CM Punk,Penta&Sami ZayndefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
5,25.08.2025,,"Dragon LeedefeatsJD McDonagh(8:47)WWE Monday Night RAW #1683- Online Stream @ bp pulse LIVE in Birmingham, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
6,24.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
7,23.08.2025,,"CM Punk,LA Knight&PentadefeatThe Judgment Day(Dominik Mysterio,Finn Balor&JD McDonagh)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
8,18.08.2025,,"The Judgment Day(Finn Balor&JD McDonagh) defeatDragon Lee&Mr. Iguana(9:54)WWE Monday Night RAW #1682- Online Stream @ Xfinity Mobile Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
9,16.08.2025,,"Mixed:The Judgment Day(Finn Balor,JD McDonagh&Raquel Rodriguez) defeatLola Vice,Mr. Iguana&Nino Hamburguesa(11:54)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
10,01.08.2025,,"Dark:The Usos(Jey Uso&Jimmy Uso) defeatThe Judgment Day(Dominik Mysterio&JD McDonagh)WWE Friday Night SmackDown #1354- Dark Match @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/4/4f/2018-01-20_21-11-56_ILCE-6500_DSC04423_%2824958700327%29.jpg
