date,event,result,location,image_url
1,26.12.2019,,"Dark:RobodefeatsKenn DoaneBeyond Uncharted Territory #2.13- Dark Match @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
2,12.12.2019,,"Pride Of New England Tournament For Tomorrow First Round:Christian CasanovadefeatsKenn Doane(10:37)Beyond Uncharted Territory #2.11- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
3,05.12.2019,,"The Von Erichs(Marshall von Erich&Ross von Erich) defeat The Filthy Squad (Kenny&Mikey) (2:19)MLW Fusion #92- TV-Show @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
4,02.11.2019,,"Three Way:Contra Unit(Ikuro Kwon&Simon Gotch) defeatThe Spirit Squad(Kenny&Mikey) andDominic Garrini&Douglas James(6:50)MLW Fusion #82 - Saturday Night SuperFight Pre-Show- TV-Show @ Cicero Stadium in Cicero, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
5,17.10.2019,,"Nick GagedefeatsKenn Doaneby DQ (4:21)Beyond Uncharted Territory #2.03- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
6,12.10.2019,,"Kenn DoanedefeatsThomas SantellBeyond Sodom And Gomorrah- Online Stream @ House Of Independents in Asbury Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
7,10.10.2019,,"Gauntlet Elimination:Club Cam(Cam Zagami,Christian Casanova,Kenn Doane&Richard Holliday) defeatAnthony Greene,Josh Briggs&The Platinum Hunnies(Angel Sinclair&Ava Everett) (14:37)Beyond Uncharted Territory #2.02- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
8,22.09.2019,,"Chris DickinsondefeatsKenn Doane(9:46)Beyond All Hands On Deck- Event @ Paddy's Beach Club in Westerly, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
9,07.09.2019,,"The Spirit Squad(Kenny&Mikey) defeat ??? &Andy DaltonMLW War Chamber 2019- Event @ NYTEX Sports Centre in North Richland Hills, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
10,31.07.2019,,"Club Cam(Cam Zagami,Christian Casanova,Kenn Doane&Richard Holliday) defeatAnthony Greene,Josh Briggs&The Platinum Hunnies(Angel Sinclair&Ava Everett) (7:19)Beyond Uncharted Territory #1.18- Online Stream @ White Eagle in Worcester, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
11,28.07.2019,,"Feast TitleLadder Ten Way:Solo DarlingdefeatsCheeseburger(c) andAlex ZayneandAnthony GreeneandJohnny CockstrongandKenn DoaneandKikutaroandMarko StuntandPufandSwoggle(17:21) -TITLE CHANGE !!!Beyond Americanrana 2019- Online Stream @ Foxwoods Resort Casino in Mashantucket, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
12,25.07.2019,,"The Von Erichs(Marshall von Erich&Ross von Erich) defeatThe Spirit Squad(Kenny&Mikey) (4:00)MLW Fusion #69- TV-Show @ Melrose Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
