date,event,result,location,image_url
1,02.04.2016,,"OMEGA Heavyweight Title:Matt Hardy(c) defeatsLance Storm(10:49)WrestleCon SuperShow 2016- Event @ Hyatt Regency Downtown in Dallas, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
2,26.03.2016,,"ROH World Title:Jay Lethal(c) defeatsLance StormPWA 15th Anniversary- Event @ NAIT Main Campus Gym in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
3,29.11.2014,,"Joey HayesdefeatsLance Storm(13:27)PCW/ROH SuperShow Of Honor - Show 3- Event @ Evoque in Preston, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
4,28.11.2014,,"Lance StormdefeatsMartin KirbyPCW/ROH SuperShow Of Honor - Show 1- Event @ Evoque in Preston, Lancashire, England, UK",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
5,20.09.2014,,"PWS Tag Team Title:The Reynolds Brothers(Alex Reynolds&Kyle Reynolds) (c) defeatThe Impact Players(Justin Credible&Lance Storm)PWS All Fired Up- Event @ Rayway Rec Center in Rahway, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
6,21.08.2014,,"IFWA Heavyweight Title:Christopher Daniels(c) defeatsLance StormWC Christopher Daniels Vs. Lance Storm- Event @ Halifax Forum Multi Purpose Centre in Halifax, Nova Scotia, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
7,14.06.2014,,"Mike BennettdefeatsLance StormHOH VI: The West Coast Invasion- Event @ Harrah's Rincon Casino in Valley Center, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
8,21.12.2013,,"Lance StormdefeatsDan Collins(14:03)EWP Christmas Wrestling 2013- Event @ Hangar No. 5 in Hannover, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
9,15.12.2013,,"Chris HerodefeatsLance Storm(20:33)Smash Tapped Out- Event @ Can Lan Sports Plex in Mississauga, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
10,09.11.2013,,"Terry Funk&Tommy DreamerdefeatLance Storm&Sean Waltman(15:26)HOH III- Event @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
11,26.10.2013,,"Two Out Of Three Falls:Tyson DuxdefeatsLance StormSmash Rumble In The Tundra - Tag 2- Event @ Igaluit, Nunavut, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
12,25.10.2013,,"Lance StormdefeatsTyson DuxSmash Rumble In The Tundra - Tag 1- Event @ Igaluit, Nunavut, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
13,22.06.2013,,"Tommy DreamerdefeatsLance Storm(17:37)HOH 2- Event @ National Guard Armory in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
14,09.02.2013,,"Jerry LynndefeatsLance StormPWS Thank You Jerry- Pay Per View @ SMG Sports Plex in Metuchen, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
15,18.01.2013,,"Killer Elite Squad(Davey Boy Smith Jr.&Lance Archer) &Lance StormdefeatBobby Lashley,Chris Masters&Johnny DevineHLW Resurrection- Pay Per View @ Victoria Pavilion in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
16,29.06.2012,,"Mike BennettdefeatsLance Storm(15:27)ROH Wrestling #46- TV-Show @ Du Burns Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
17,26.05.2012,,"Lance StormdefeatsKevin SteenNSPW Golden Opportunity IV- Event @ Centre Horizon in Quebec City, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
18,12.05.2012,,"Lance StormdefeatsMike Bennett(12:38)ROH Border Wars 2012- Pay Per View @ Ted Reeve Community Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
19,30.03.2012,,"Mike BennettdefeatsLance Storm(16:19)ROH Showdown In The Sun - Tag 1- Pay Per View @ War Memorial Auditorium in Fort Lauderdale, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
20,19.11.2011,,"PWA Title:Harry Smith(c) defeatsLance StormPWA- Event @ Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
21,26.08.2011,,"Tommy DreamerdefeatsLance StormPWA- Event @ Century Casino in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
22,19.03.2011,,"D-Von&Lance StormdefeatBully Ray&Dylan KnightPWA 10th Anniversary Show- Event @ NAIT Gymnasium in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
23,19.06.2010,,"Jerry Lynn&Lance StormdefeatSuper Wild(Dan Myers&Mattias Wild)PWA Night Of Champions VIII- Event @ Acadia Recreation Complex in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
24,03.04.2010,,"TCW Can-Am TitleTournament Qualifying:Bryan AlvarezdefeatsThe Ideal Canadian(18:43)TCW- Event @ Pacific Rim Ballroom & Supper Club in Marysville, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
25,25.07.2009,,"Chris HerodefeatsLance Storm(16:45)ROH Death Before Dishonor VII - Tag 2- Event @ Ted Reeve Community Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
26,24.07.2009,,"Kevin Steen&Lance StormdefeatChris Hero&Davey Richards(20:02)ROH Death Before Dishonor VII - Tag 1- Event @ Ted Reeve Community Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
27,11.08.2007,,"Lance StormdefeatsRobert Roode(17:12)BSE The Homecoming- Event @ Memorial Gardens Arena in North Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
28,21.07.2007,,"Lance StormdefeatsChristopher Daniels(15:26)BSE Gold Rush 2007- Event @ Archie Dillon Sportsplex in Timmins, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
29,03.12.2006,,"Christian CagedefeatsLance Storm(22:55)BSE Xtreme Xmas 2006- Event @ Club 107-8 in Mississauga, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/5c/Bennett_vs._Storm.jpg
