date,event,result,location,image_url
1,10.09.2025,,"Alex Windsor&RihodefeatEmi Sakura&Mercedes Mone(9:43)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
2,03.09.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsAlex Windsor(15:04)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
3,24.08.2025,,"AEW TBS TitleFour Way:Mercedes Mone(c) defeatsAlex WindsorandBozillaandPersephone(15:31)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
4,23.08.2025,,"Dani Luna,Kanji&Mercedes MonedefeatCut Throat Collective(Alex Windsor,Nina Samuels&Safire Reed) (14:06)RevPro 13 Year Anniversary Show - Tag 2- Online Stream @ Crystal Palace National Sports Centre in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
5,22.08.2025,,"RevPro Undisputed British Women's Title/DW Women's Title:Mercedes Mone(c) [RevPro] defeatsEmersyn Jayne(c) [DW] (19:24) -TITLE CHANGE !!!RevPro 13 Year Anniversary Show - Tag 1: Global Wars UK- Online Stream @ Crystal Palace National Sports Centre in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
6,20.08.2025,,"Athena&Mercedes MonedefeatAlex Windsor&Toni Storm(16:02)AEW Dynamite #307- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
7,13.08.2025,,"Alex Windsor,Queen Aminata&Willow NightingaledefeatMercedes Mone&Triangle Of Madness(Skye Blue&Thekla) (9:56)AEW Dynamite #306- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
8,27.07.2025,,"PTW Women's Title  / Bestya Women's Title Match (vakant):Mercedes MonedefeatsDiana Strong(12:34) -TITLE CHANGE !!!PTW All About The Mone- Event @ PTW Performance Center in Koslow, Oberschlesien, Polen",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
9,25.07.2025,,"RevPro Undisputed British Women's Title:Mercedes Mone(c) defeatsSafire Reed(12:45)RevPro Summer Sizzler 2025- Online Stream @ The Hangar in Wolverhampton, West Midlands, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
10,12.07.2025,,"AEW Women's World Title:Toni Storm(c) defeatsMercedes Mone(25:11)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
11,02.07.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsMina Shirakawa(14:20)AEW Dynamite #300- TV-Show @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
12,20.06.2025,,"CMLL World Women's Title:Mercedes Mone(c) defeatsLa Catalina(12:48)CMLL Presenta NJPW Fantastica Mania Mexico 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
13,18.06.2025,,"CMLL World Women's Title:Mercedes MonedefeatsZeuxis(c) (9:20) -TITLE CHANGE !!!AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
14,06.06.2025,,"EWA Women's TitleTriple Threat:Mercedes MonedefeatsLexa Valo(c) andMila Smidt(11:06) -TITLE CHANGE !!!EWA Prater Catchen 2025 - Tag 1- Event @ Zelt bei der Liliputbahn in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
15,25.05.2025,,"Owen Hart Foundation 2025 Women's Tournament Final:Mercedes MonedefeatsJamie Hayter(21:17)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
16,21.05.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsReyna Isis(5:19)AEW Collision #94- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
17,09.05.2025,,"NJPW STRONG Women's TitleThree Way:AZMdefeatsMercedes Mone(c) andMina Shirakawa(17:53) -TITLE CHANGE !!!NJPW Resurgence 2025- Pay Per View @ Toyota Arena in Ontario, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
18,20.04.2025,,"RevPro Undisputed British Women's Title:Mercedes Mone(c) defeatsKanji(19:41)RevPro High Stakes 2025- Online Stream @ Doncaster Dome in Doncaster, South Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
19,17.04.2025,,"Julia Hart&Kris StatlanderdefeatHarley Cameron&Mercedes Mone(11:02)AEW Collision #89 - Spring BreakThru - Tag 2- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
20,16.04.2025,,"Owen Hart Foundation 2025 Women's Tournament Semi Final:Mercedes MonedefeatsAthena(21:12)AEW Dynamite #289 - Spring BreakThru - Tag 1- TV-Show @ MGM Music Hall At Fenway in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
21,06.04.2025,,"Owen Hart Foundation 2025 Women's Tournament Quarter Final:Mercedes MonedefeatsJulia Hart(13:03)AEW Dynasty 2025- Pay Per View @ Liacouras Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
22,02.04.2025,,"Athena&Julia HartdefeatHarley Cameron&Mercedes Mone(12:16)AEW Collision #87- TV-Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
23,29.03.2025,,"Mercedes MonedefeatsRobyn Renegade(3:10)AEW Collision #86- TV-Show @ UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
24,19.03.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsBillie Starkz(12:53)AEW Dynamite #285- TV-Show @ Liberty First Credit Union Arena in Ralston, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
25,15.03.2025,,"Mercedes MonedefeatsIndi Hartwell(14:56)HOG City Of Dreamz- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
26,09.03.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsMomo Watanabe(18:18)AEW Revolution 2025- Pay Per View @ Crypto.com Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
27,15.02.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsHarley Cameron(12:50)AEW Grand Slam Australia 2025- TV-Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
28,29.01.2025,,"AEW TBS Title:Mercedes Mone(c) defeatsYuka Sakazaki(13:40)AEW Dynamite #278- TV-Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
29,05.01.2025,,"NJPW STRONG Women's Title/RevPro Undisputed British Women's Title:Mercedes Mone(c) [NJPW] defeatsMina Shirakawa(c) [RevPro] (14:06) -TITLE CHANGE !!!NJPW/CMLL/AEW Wrestle Dynasty- Pay Per View @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
30,28.12.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsKris Statlander(24:35)AEW Worlds End 2024- Pay Per View @ Addition Financial Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
31,18.12.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsAnna Jay(10:32)AEW Dynamite #272 - Holiday Bash 2024 - Tag 1- TV-Show @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
32,15.12.2024,,"NJPW STRONG Women's Title:Mercedes Mone(c) defeatsHazuki(26:36)NJPW Strong Style Evolved 2024- Online Stream @ Walter Pyramid in Long Beach, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
33,23.11.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsKris Statlander(19:23)AEW Full Gear 2024- Pay Per View @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
34,16.10.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsQueen Aminata(8:41)AEW Dynamite #263- TV-Show @ SAP Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
35,08.10.2024,,"AEW TBS Title/NJPW STRONG Women's Title:Mercedes Mone(c) defeatsEmi Sakura(10:10)AEW Dynamite #262 - Title Tuesday 2024- TV-Show @ Spokane Arena in Spokane, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
36,07.09.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsHikaru Shida(16:32)AEW All Out 2024- Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
37,30.08.2024,,"NJPW STRONG Women's Title:Mercedes Mone(c) defeatsMomo Watanabe(19:56)NJPW Capital Collision 2024- Pay Per View @ Entertainment & Sports Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
38,25.08.2024,,"AEW TBS Title:Mercedes Mone(c) defeatsDr. Britt Baker DMD(17:19)AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f2/Mercedes_KV_at_EWA_in_Feeding_Hills%2C_MA_2-12-12.jpg
