date,event,result,location,image_url
1,09.07.2012,,"Michael ColedefeatsJerry Lawlerby DQ (1:00)WWE Monday Night RAW #998- TV-Show @ Pepsi Center in Denver, Colorado, USA",
2,04.06.2012,,"No Disqualification:John CenadefeatsMichael Cole(5:35)WWE Monday Night RAW #993- TV-Show @ BI-LO Center in Greenville, South Carolina, USA",
3,25.03.2012,,"Street Fight:Jerry LawlerdefeatsMichael ColeWWE SmackDown House Show- House Show @ Bridgestone Arena in Nashville, Tennessee, USA",
4,29.01.2012,,"Royal Rumble:SheamusdefeatsAlex RileyandBooker TandChris JerichoandCody RhodesandDavid OtungaandDolph ZigglerandEpicoandEzekiel JacksonandHunicoandJack SwaggerandJerry LawlerandJey UsoandJim DugganandJinder MahalandJustin GabrielandKharmaandKofi KingstonandMichael ColeandMick FoleyandPrimoandR-TruthandRandy OrtonandRicardo RodriguezandSantino MarellaandThe Big ShowandThe Great KhaliandThe MizandThe Road DoggandWade Barrett(54:55)WWE Royal Rumble 2012- Pay Per View @ Scottrade Center in St. Louis, Missouri, USA",
5,02.01.2012,,"Dark Street Fight:Jerry LawlerdefeatsMichael ColeWWE Monday Night RAW #971- Dark Match @ FedExForum in Memphis, Tennessee, USA",
6,15.10.2011,,"Jim Ross&John CenadefeatAlberto Del Rio&Michael Cole(11:30)WWE Monday Night RAW #960- TV-Show @ Palacio de los Deportes in Mexico City, Distrito Federal, Mexiko",
7,25.07.2011,,"Zack RyderdefeatsMichael Cole(0:26)WWE Monday Night RAW #948- TV-Show @ Hampton Coliseum in Hampton, Virginia, USA",
8,22.05.2011,,"Kiss My Foot:Jerry LawlerdefeatsMichael Cole(2:58)WWE Over The Limit 2011- Pay Per View @ KeyArena in Seattle, Washington, USA",
9,01.05.2011,,"Strap:Jack Swagger&Michael ColedefeatJerry Lawler&Jim Ross(7:04)WWE Extreme Rules 2011- Pay Per View @ St. Pete Times Forum in Tampa, Florida, USA",
10,25.04.2011,,"Jim RossdefeatsMichael Coleby DQ (4:45)WWE Monday Night RAW #935 - Draft 2011- TV-Show @ RBC Center in Raleigh, North Carolina, USA",
11,03.04.2011,,"Match (Special Referee: Steve Austin):Michael ColedefeatsJerry Lawlerby DQ (13:48)WWE WrestleMania XXVII - ""The Biggest WrestleMania Ever""- Pay Per View @ Georgia Dome in Atlanta, Georgia, USA",
12,28.07.2008,,"World Tag Team Title:Cody Rhodes&Ted DiBiase(c) defeatJerry Lawler&Michael Cole(3:56)WWE Monday Night RAW #792- TV-Show @ Verizon Center in Washington, District Of Columbia, USA",
