date,event,result,location,image_url
1,11.09.2025,,"N-1 Victory 2025 Block B:Naomichi Marufuji[4] defeatsKenoh[0] (14:35)NOAH N-1 Victory 2025 - Tag 2- Online Stream @ Okayama Convention Center 1st Floor Event Hall in Okayama, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
2,08.09.2025,,"N-1 Victory 2025 Block B:Naomichi Marufuji[2] defeatsOZAWA[0] by Count Out (7:33)NOAH N-1 Victory 2025 - Tag 1- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
3,03.09.2025,,"Katsuyori Shibata&KENTAvs.Minoru Suzuki&Naomichi Marufuji- Time Limit Draw (30:00)TAKAYAMANIA EMPIRE IV- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
4,30.08.2025,,"Team 2000X(Daga,OZAWA&Takashi Sugiura) defeatAMAKUSA,Kenoh&Naomichi Marufuji(13:54)NOAH Sunny Voyage 2025- Online Stream @ Sendai PIT in Sendai, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
5,25.08.2025,,"Daisuke Ikeda,Mohammed Yone&Naomichi MarufujidefeatAtsushi Kotoge,Go Shiozaki&Shuji Ishikawa(20:48)NOAH Mohammed Yone 30th Anniversary ~ Disco Ball ~- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
6,24.08.2025,,"Daiki Inaba&GalenodefeatKenoh&Naomichi Marufuji(14:04)NOAH Sunny Voyage 2025- Online Stream @ Tama Mirai Messe in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
7,16.08.2025,,"GHC Heavyweight Title:KENTA(c) defeatsNaomichi Marufuji(32:21)NOAH Star Navigation Premium 2025- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
8,11.08.2025,,"Kenoh,Mohammed Yone,Naomichi Marufuji&Shuji KondodefeatTeam 2000X(Daga,Jack Morris, Knull &OZAWA) (10:07)NOAH Kawasaki Summer Voyage 2025- Online Stream @ Culttz Kawasaki in Kawasaki, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
9,03.08.2025,,"Junta Miyawaki,Kazuyuki Fujita&Naomichi MarufujidefeatAtsushi Kotoge,Kenoh&Tetsuya Endo(12:36)NOAH Sunny Voyage 2025- Online Stream @ Kobe Sambo Hall in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
10,27.07.2025,,"Alpha Wolf,Dragon Bane&Naomichi MarufujidefeatAMAKUSA,Eita&Kaito Kiyomiya(13:15)NOAH Sunny Voyage 2025- Online Stream @ Ishikawa Prefectural Industrial Exhibition Hall #3 in Kanazawa, Ishikawa, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
11,26.07.2025,,"Eita,Kenoh&Tetsuya EndodefeatAlpha Wolf,Dragon Bane&Naomichi Marufuji(11:28)NOAH Sunny Voyage 2025- Online Stream @ Kyoto KBS Hall in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
12,20.07.2025,,"Eita,Naomichi Marufuji&Shuji KondodefeatAlpha Wolf,Dragon Bane&Tetsuya Endo(8:45)NOAH 25th Anniversary ~ New Departure - Tag 2- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
13,19.07.2025,,"Daiki Odashima&Naomichi MarufujidefeatJunta Miyawaki&KENTA(12:51)NOAH 25th Anniversary ~ New Departure - Tag 1- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
14,06.07.2025,,"Tetsuya Endo&Will KroosdefeatDaiki Odashima&Naomichi Marufuji(13:02)NOAH Sunny Voyage 2025- Online Stream @ Shimada General Sports Center Sub-Arena in Shimada, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
15,05.07.2025,,"AMAKUSA,Junta Miyawaki,Naomichi Marufuji&Will KroosdefeatAll Rebellion(Alejandro,Galeno,Kai Fujimura&Kaito Kiyomiya) (11:56)NOAH Sunny Voyage 2025 ~ Shinjuku FACE 20th Anniversary ~- Online Stream @ Shinjuku FACE in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
16,29.06.2025,,"Hiroshi Tanahashi&Naomichi MarufujidefeatKaito Kiyomiya&Ryohei Oiwa(19:10)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
17,22.06.2025,,"Team 2000X(Daga,Owadasan,Tadasuke&Takashi Sugiura) defeatAlpha Wolf,Dragon Bane,Naomichi Marufuji&Tetsuya Endo(15:16)NOAH Sunny Voyage 2025- Online Stream @ Lives NAGOYA in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
18,21.06.2025,,"All Rebellion(Kaito Kiyomiya&Kenoh) defeatKENTA&Naomichi Marufuji(20:03)NOAH 25th Anniversary ~ Memorial Voyage 2025 In Osaka ~- Online Stream @ EDION Arena Osaka #2 in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg
