date,event,result,location,image_url
1,13.06.2025,,"Noam DardefeatsChanning LorenzoWWE NXT Live- House Show @ Lakeland Armory in Lakeland, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
2,06.06.2025,,"WWE Speed Title#1 Contendership Tournament Final:BertodefeatsNoam Dar(2:34)WWE Speed #78- Online Stream @ Dignity Health Arena in Bakersfield, California, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
3,03.06.2025,,"WWE Speed Title#1 Contendership Tournament Semi Final:Noam DardefeatsLexis King(2:43)WWE Speed #77- Online Stream @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
4,31.05.2025,,"Noam DardefeatsLexis KingWWE NXT Live- House Show @ Citrus Springs Community Center in Citrus Springs, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
5,27.05.2025,,"Dark:Noam DardefeatsNiko VanceWWE NXT #787- Dark Match @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
6,17.05.2025,,"WWE NXT Heritage Cup Title:Noam Dar(c) defeatsRidge HollandWWE NXT Live- House Show @ Jacksonville Armory in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
7,22.04.2025,,"WWE NXT Heritage Cup Title:Noam DardefeatsLexis King(c) (4:02) -TITLE CHANGE !!!WWE NXT #782- TV-Show @ BleauLive Theater in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
8,11.05.2024,,"Je'Von Evans&Trick WilliamsdefeatMeta-Four(Noam Dar&Oro Mensah)WWE NXT Live- House Show @ Martin Luther King Jr. Recreation Center in Gainesville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
9,20.04.2024,,"Meta-Four(Noam Dar&Oro Mensah) defeatEdris Enofe&Malik BladeWWE NXT Live- House Show @ Engelwood Neighborhood Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
10,16.04.2024,,"Noam DardefeatsDijak(12:14)WWE NXT #729- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/cb/Noam_Dar_041419_cropped.jpg
