date,event,result,location,image_url
1,15.06.2024,,"Aries&Jack DullahandefeatJay Law&Orlando JordanASWA A Night To Remember 5- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
2,13.04.2024,,"ASWA Heavyweight  Title:Keegan BrettledefeatsOrlando Jordan(c) -TITLE CHANGE !!!ASWA Six Year Anniversary Show- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
3,17.02.2024,,"ASWA Heavyweight  Title:Orlando Jordan(c) defeatsBrian Kendrick(8:34)ASWA Survival Of The Fittest 2024- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
4,08.02.2024,,"ASWA Heavyweight  Title:Orlando Jordan(c) defeatsThe PuppeteerASWA Summer Heat Tour - Tag 2- Event @ The Bendigo Club in Bendigo, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
5,13.01.2024,,"ASWA Heavyweight  Title:Orlando Jordan(c) defeatsAriesASWA Summer Spectacular IV- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
6,18.11.2023,,"ASWA Heavyweight  TitleThree Way:Orlando Jordan(c) defeatsKeegan BrettleandLee MorrowASWA There Can Only Be One- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
7,16.09.2023,,"ASWA Heavyweight  Title:Orlando JordandefeatsWes Williams(c) -TITLE CHANGE !!!ASWA A Point To Prove- Event @ Padstow RSL Club in Padstow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
8,12.08.2023,,"Hell YeahdefeatsOrlando Jordanby DQASWA Steel City Madness- Event @ Hamilton North Bowling Club in Broadmeadow, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
9,18.01.2020,,"Keegan Brettle&Orlando JordandefeatGrant Linstrom&Jengis KongASWA The Dawn Of A New Era- Event @ Penshurst RSL Club in Penshurst, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
10,27.04.2019,,"Orlando JordandefeatsHudson HulkASWA A Night To Remember- Event @ Illawara Leagues Club in Wollongong, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
11,20.10.2018,,"ACW Heavyweight     Title:Adam BrooksdefeatsOrlando Jordan(c) -TITLE CHANGE !!!ACW Eminence 2018- Event @ Estonian Hall in North Adelaide, South Australia, Australia",https://upload.wikimedia.org/wikipedia/commons/c/c0/Orlando_Jordan.JPG
