date,event,result,location,image_url
1,10.09.2025,,"RicochetdefeatsShelton Benjamin(11:06)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
2,27.08.2025,,"AEW World Trios Title:The Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe) (c) defeatGOA(Bishop Kaun&Toa Liona) &Ricochet(10:22)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
3,24.08.2025,,"GOA(Bishop Kaun&Toa Liona) &RicochetdefeatJetSpeed(Kevin Knight&Mike Bailey) &Michael Oku(9:54)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
4,14.08.2025,,"RicochetdefeatsAce Austin(10:25)AEW Collision #106- TV-Show @ The Andrew J Brady Music Center in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
5,09.08.2025,,"RicochetdefeatsJuice Robinson(12:24)AEW Collision #105- TV-Show @ Berglund Center in Roanoke, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
6,01.08.2025,,"RicochetdefeatsAmazing Red(14:04)HOG High Intensity 2025- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
7,30.07.2025,,"Mark BriscoedefeatsRicochet(13:49)AEW Dynamite #304- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
8,17.07.2025,,"RicochetdefeatsAR Fox(11:06)AEW Collision #102- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
9,12.07.2025,,"Casino Gauntlet:MJFdefeatsAnthony BowensandBandidoandBrody KingandJosh AlexanderandJuice RobinsonandKonosuke TakeshitaandKota IbushiandMark BriscoeandMax CasterandMisticoandRicochetandRoderick StrongandThe Beast Mortos(34:52)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
10,09.07.2025,,"RicochetdefeatsBlake Christian(7:32)AEW Dynamite #301- TV-Show @ Curtis Culwell Center in Garland, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
11,25.06.2025,,"JetSpeed(Kevin Knight&Mike Bailey) defeatAR Fox&Ricochet(9:38)AEW Dynamite #299- TV-Show @ accesso ShoWare Center in Kent, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
12,20.06.2025,,"RicochetdefeatsVolador Jr.(9:52)CMLL Presenta NJPW Fantastica Mania Mexico 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
13,18.06.2025,,"4 Million Pesos Four Way:HologramdefeatsLio RushandMascara DoradaandRicochet(15:47)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
14,25.05.2025,,"Stretcher:RicochetdefeatsMark Briscoe(16:11)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
15,21.05.2025,,"RicochetdefeatsAnthony Bowens(9:26)AEW Dynamite #294- TV-Show @ Rio Rancho Events Center in Rio Rancho, New Mexico, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
16,14.05.2025,,"RicochetdefeatsZach Gowen(7:22)AEW Dynamite #293 - Beach Break 2025 - Tag 1- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
17,08.05.2025,,"RicochetdefeatsAngelico(9:24)AEW Collision #92- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
18,07.05.2025,,"Ricochet&The Young Bucks(Matthew Jackson&Nicholas Jackson) defeatMark Briscoe,Mike Bailey&Swerve Strickland(14:15)AEW Dynamite #292- TV-Show @ Masonic Temple Theatre in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/9/9b/HMMWV_Tracer_Fire_dark.JPEG
