date,event,result,location,image_url
1,25.10.2005,,"Jillian HalldefeatsStacy Keibler(3:42)WWE Velocity #174- Online Stream @ Cow Palace in Daly City, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
2,15.08.2005,,"VictoriadefeatsStacy KeiblerWWE Sunday Night Heat (International Version)- TV-Show @ Bell Centre in Montreal, Quebec, Canada",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
3,08.08.2005,,"Mixed:The Heart Throbs(Antonio&Romeo) &VictoriadefeatRosey,Super Stacy&The Hurricane(2:38)WWE RAW #637- TV-Show @ Mellon Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
4,27.01.2005,,"Alexis Lareevs.Stacy Keibler- No ContestOVW- Event @ Muncie Central High School in Muncie, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
5,15.11.2004,,"Lingerie Pillow Fight:ChristydefeatsStacy Keibler(0:55)WWE RAW #599- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
6,31.10.2004,,"Battle Royal:JazzdefeatsGail KimandMolly HollyandNidiaandStacy KeiblerandTrish StratusandVictoriaWWE RAW House Show- House Show @ Assembly Hall in Champaign, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
7,30.10.2004,,"Battle Royal:JazzdefeatsGail KimandMolly HollyandNidiaandStacy KeiblerandTrish StratusandVictoriaWWE RAW House Show- House Show @ Roberts Municipal Stadium in Evansville, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
8,24.10.2004,,"Stacy Keibler&VictoriadefeatMolly Holly&Trish StratusWWE RAW House Show- House Show @ U.S. Cellular Center in Cedar Rapids, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
9,23.10.2004,,"Stacy Keibler&VictoriadefeatMolly Holly&Trish StratusWWE RAW House Show- House Show @ Alliant Energy Center in Madison, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
10,22.10.2004,,"Stacy Keibler&VictoriadefeatMolly Holly&Trish StratusWWE RAW House Show- House Show @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
11,19.10.2004,,"World Women's TitleSchoolgirls Battle Royal:Trish Stratus(c) defeatsGail KimandJazzandMolly HollyandNidiaandStacy KeiblerandVictoria(5:35)WWE Taboo Tuesday 2004- Pay Per View @ Bradley Center in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
12,18.10.2004,,"Nidia,Stacy Keibler&VictoriadefeatGail Kim,Molly Holly&Trish Stratus(3:30)WWE RAW #595- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
13,11.10.2004,,"World Women's Title:Trish Stratus(c) defeatsStacy Keibler(3:51)WWE RAW #594- TV-Show @ Manchester Evening News Arena in Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
14,04.10.2004,,"Stacy KeiblerdefeatsMolly Holly(2:55)WWE RAW #593- TV-Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
15,20.09.2004,,"Stacy Keibler&VictoriadefeatMolly Holly&Trish Stratus(2:22)WWE RAW #591- TV-Show @ Convention Center in Tucson, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/a1/Duchessofdudleyville.jpg
