date,event,result,location,image_url
1,28.10.2000,,"Johnny Smith,Masanobu Fuchi&Yoshiaki FujiwaradefeatStan Hansen,Steve Williams&Wolf Hawkfield(13:08)AJPW October Giant Series 2000 - Tag 11 ~ 28th Anniversary- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
2,21.10.2000,,"Triple Crown Tournament Semi Final:Genichiro TenryudefeatsStan Hansen(11:22)AJPW October Giant Series 2000 - Tag 6- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
3,17.10.2000,,"Masanobu Fuchi,Shigeo Okumura&Shiro KoshinakadefeatJohnny Smith,Stan Hansen&Yuto Aijima(13:34)AJPW October Giant Series 2000 - Tag 3- Event @ Ichinoseki City Gymnasium in Ichinoseki, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
4,16.10.2000,,"Triple Crown Tournament First Round:Stan HansendefeatsJinsei Shinzaki(11:36)AJPW October Giant Series 2000 - Tag 2- Event @ Iwaki Municipal Gymnasium in Iwaki, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
5,14.10.2000,,"Genichiro Tenryu,Nobutaka Araya&Stan HansendefeatGeorge Hines,Mike Barton&Wolf Hawkfield(15:01)AJPW October Giant Series 2000 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
6,02.09.2000,,"Genichiro Tenryu&Stan HansendefeatSteve Williams&Toshiaki Kawada(26:54)AJPW Summer Action Series II 2000 - Tag 10- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
7,01.09.2000,,"Genichiro Tenryu&Stan HansendefeatJohnny Smith&Nobutaka Araya(9:49)AJPW Summer Action Series II 2000 - Tag 9- Event @ Ichihara Rinkai Gymnasium in Ichihara, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
8,31.08.2000,,"Genichiro Tenryu,Stan Hansen&Toshiaki KawadadefeatJohnny Smith,Mike Barton&Steve Williams(20:34)AJPW Summer Action Series II 2000 - Tag 8- Event @ Twin Messe Shizuoka in Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
9,29.08.2000,,"Johnny Smith,Stan Hansen&Taiyo KeadefeatGenichiro Tenryu,Jinsei Shinzaki&Toshiaki Kawada(20:39)AJPW Summer Action Series II 2000 - Tag 7- Event @ Kobe Sambo Hall in Kobe, Hyogo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
10,27.08.2000,,"Jinsei Shinzaki&Stan HansendefeatJohnny Smith&Nobutaka Araya(18:05)AJPW Summer Action Series II 2000 - Tag 6- Event @ Daigo Gran Dome in Kyoto, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
11,26.08.2000,,"Genichiro Tenryu&Stan HansendefeatMike Barton&Steve Williams(17:45)AJPW Summer Action Series II 2000 - Tag 5- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
12,25.08.2000,,"Taiyo Kea,Toshiaki Kawada&Yoshiaki FujiwaradefeatGenichiro Tenryu,Jinsei Shinzaki&Stan Hansen(19:27)AJPW Summer Action Series II 2000 - Tag 4- TV-Show @ Nagaoka Welfare Hall in Nagaoka, Niigata, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
13,23.08.2000,,"Johnny Smith&Stan HansendefeatJinsei Shinzaki&Mohammed Yone(17:23)AJPW Summer Action Series II 2000 - Tag 3- Event @ Fukushima City Gymnasium in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
14,21.08.2000,,"Stan Hansen&Yuto AijimadefeatMohammed Yone&Nobutaka Araya(13:42)AJPW Summer Action Series II 2000 - Tag 2- Event @ Tagajo City Gymnasium in Tagajo, Miyagi, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
15,20.08.2000,,"Johnny Smith,Mike Barton&Stan HansendefeatGenichiro Tenryu,Nobutaka Araya&Toshiaki Kawada(17:49)AJPW Summer Action Series II 2000 - Tag 1- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
16,23.07.2000,,"Genichiro Tenryu&Toshiaki KawadadefeatMaunakea Mossman&Stan Hansen(23:12)AJPW Super Action Series 2000 - Tag 16- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
17,09.06.2000,,"Stan HansendefeatsTakeshi Morishima(2:05)AJPW Super Power Series 2000 - Tag 16- TV-Show @ Nippon Budokan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
18,07.06.2000,,"Takao Omori&Yoshihiro TakayamadefeatErik Watts&Stan Hansen(10:22)AJPW Super Power Series 2000 - Tag 15- Event @ Akita Prefectural Gymnasium in Akita, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
19,05.06.2000,,"Stan HansendefeatsTakeshi Rikio(5:23)AJPW Super Power Series 2000 - Tag 14- Event @ Kitakami Waga Multi-Purpose Exhibition Hall in Kitakami, Iwate, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
20,04.06.2000,,"Akira Taue,Masao Inoue&Toshiaki KawadadefeatGeorge Hines,Johnny Smith&Stan Hansen(17:39)AJPW Super Power Series 2000 - Tag 13- Event @ Act City Hamamatsu in Hamamatsu, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
21,02.06.2000,,"Johnny Smith&Stan HansendefeatKenta Kobashi&Kentaro Shiga(15:07)AJPW Super Power Series 2000 - Tag 12- Event @ Lake Suwa Sports Center in Suwa, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/1/18/Bob_Backlund_and_Stan_Hansen%2C_circa_1982.png
