date,event,result,location,image_url
1,08.04.2018,,"Mixed:Kurt Angle&Ronda RouseydefeatStephanie McMahon&Triple H(20:40)WWE WrestleMania 34- Premium Live Event @ Mercedes-Benz Superdome in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
2,17.08.2014,,"Stephanie McMahondefeatsBrie Bella(11:06)WWE SummerSlam 2014- Premium Live Event @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
3,23.06.2014,,"Mud Pool:Stephanie McMahondefeatsVickie GuerreroWWE Monday Night RAW #1100- TV-Show @ Verizon Center in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
4,19.10.2003,,"First Ever Father Vs. Daughter No Holds Barred I Quit:Vince McMahondefeatsStephanie McMahon(9:28)WWE No Mercy 2003- Pay Per View @ Baltimore Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
5,12.08.2003,,"The A-TraindefeatsStephanie McMahon(2:28)WWE SmackDown #209- TV-Show @ Savvis Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
6,27.07.2003,,"No Count Out Cat Fight:SabledefeatsStephanie McMahon(6:32)WWE Vengeance 2003- Pay Per View @ Pepsi Center in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
7,01.07.2003,,"If Zach & Stephanie Win Zach Gets A Contract Two On One Handicap:Stephanie McMahon&Zach GowendefeatThe Big Show(4:45)WWE SmackDown #203- TV-Show @ Blue Cross Arena in Rochester, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
8,25.03.2002,,"WWF Undisputed World Heavyweight TitleTriple Threat:Triple H(c) defeatsChris JerichoandStephanie McMahon(8:09)WWF RAW #461 - Draft 2002- TV-Show @ Bryce Jordan Center in State College, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
9,17.09.2001,,"Two On One Handicap:Stephanie McMahon-Helmsley&TestdefeatThe Rock(8:41)WWF RAW #434- TV-Show @ Gaylord Entertainment Center in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
10,10.09.2001,,"Two On One Handicap:The RockdefeatsStephanie McMahon-Helmsley&Test(6:28)WWF RAW is WAR #433- TV-Show @ Freeman Coliseum in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
11,09.04.2001,,"Team Extreme(Jeff Hardy,Lita&Matt Hardy) defeatStephanie McMahon-Helmsley,Steve Austin&Triple H(7:00)WWF RAW is WAR #411- TV-Show @ FleetCenter in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
12,02.04.2001,,"Whipping:Stephanie McMahon-Helmsleyvs.Trish Stratus- No Contest (4:55)WWF RAW is WAR #410- TV-Show @ Convention Center Arena in Fort Worth, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
13,26.02.2001,,"Stephanie McMahon-Helmsley&William Regalvs.Trish Stratus&Vince McMahon- No Contest (3:31)WWF RAW is WAR #405- TV-Show @ America West Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
14,25.02.2001,,"Stephanie McMahon-HelmsleydefeatsTrish Stratus(8:32)WWF No Way Out 2001- Pay Per View @ Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
15,22.01.2001,,"Stephanie McMahon-Helmsley&Triple HdefeatKurt Angle&Trish Stratus(5:38)WWF RAW is WAR #400- TV-Show @ CajunDome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
16,18.09.2000,,"Kurt Angle,Stephanie McMahon-Helmsley&Triple HdefeatT&A(Albert&Test) &Trish Stratus(5:15)WWF RAW is WAR #382- TV-Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
17,22.08.2000,,"Lita&The RockdefeatKurt Angle&Stephanie McMahon-Helmsleyby DQ (5:57)WWF SmackDown #54- TV-Show @ New Orleans Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
18,21.08.2000,,"WWF World Women's TitleMatch (Special Referee: The Rock):LitadefeatsStephanie McMahon-Helmsley(c) (5:06) -TITLE CHANGE !!!WWF RAW is WAR #378- TV-Show @ CajunDome in Lafayette, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/84/HHH_%26_Steph_McMahon_WM34_crop.jpg
