date,event,result,location,image_url
1,27.02.2023,,"MichindefeatsTamina(5:19)WWE Main Event #544- Online Stream @ Van Andel Arena in Grand Rapids, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
2,20.02.2023,,"Candice LeRae&MichindefeatDana Brooke&Tamina(8:53)WWE Main Event #543- Online Stream @ Canadian Tire Centre in Ottawa, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
3,28.01.2023,,"Royal Rumble:Rhea RipleydefeatsAsukaandB-FabandBayleyandBecky LynchandCandice LeRaeandChelsea GreenandDakota KaiandDana BrookeandEmmaandIndi HartwellandIYO SKYandLacey EvansandLiv MorganandMia YimandMichelle McCoolandNatalyaandNia JaxandNikki CrossandPiper NivenandRaquel RodriguezandRoxanne PerezandShayna BaszlerandShotziandSonya DevilleandTaminaandTegan NoxandXia LiandZelina VegaandZoey Stark(61:08)WWE Royal Rumble 2023- Premium Live Event @ Alamodome in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
4,05.12.2022,,"Katana ChancedefeatsTamina(4:17)WWE Main Event #532- Online Stream @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
5,21.11.2022,,"Alba FyredefeatsTamina(5:21)WWE Main Event #530- Online Stream @ MVP Arena in Albany, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
6,14.11.2022,,"Mia YimdefeatsTamina(2:00)WWE Monday Night RAW #1538- TV-Show @ KFC Yum! Center in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
7,13.11.2022,,"Dana BrookedefeatsTaminaWWE Sunday Stunner- House Show @ Alliant Energy Center in Madison, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
8,12.11.2022,,"Dana BrookedefeatsTaminaWWE Saturday Night's Main Event- House Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
9,11.11.2022,,"Ronda Rousey&Shayna BaszlerdefeatEmma&Tamina(7:34)WWE Tribute To The Troops 2022 - 20th Anniversary- TV-Show @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
10,07.11.2022,,"Wendy ChoodefeatsTamina(5:25)WWE Main Event #528- Online Stream @ Mohegan Sun Arena in Wilkes-Barre, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
11,29.10.2022,,"WWE 24/7 TitleTriple Threat:Nikki CrossdefeatsDana Brooke(c) andTamina-TITLE CHANGE !!!WWE Live- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
12,16.10.2022,,"WWE 24/7 Title:Dana Brooke(c) vs.Tamina- No ContestWWE Sunday Stunner- House Show @ Stormont Vail Events Center in Topeka, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
13,16.10.2022,,"WWE Women's Tag Team Title:Damage CTRL(Dakota Kai&IYO SKY) (c) defeatDana Brooke&TaminaWWE Sunday Stunner- House Show @ Stormont Vail Events Center in Topeka, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
14,15.10.2022,,"WWE 24/7 Title:Dana Brooke(c) vs.Tamina- No ContestWWE Saturday Night's Main Event- House Show @ Tyson Events Center in Sioux City, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
15,15.10.2022,,"WWE Women's Tag Team Title:Damage CTRL(Dakota Kai&IYO SKY) (c) defeatDana Brooke&TaminaWWE Saturday Night's Main Event- House Show @ Tyson Events Center in Sioux City, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
16,01.10.2022,,"WWE RAW Women's TitleTriple Threat:Bianca Belair(c) defeatsBayleyandTaminaWWE Saturday Night's Main Event- House Show @ Bismarck Event Center in Bismarck, North Dakota, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
17,19.09.2022,,"Dana BrookedefeatsTamina(4:48)WWE Main Event #521- Online Stream @ Sap Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/0/05/AJ_Lee_and_Tamina_2014.jpg
