date,event,result,location,image_url
1,25.06.2008,,"NWE World Heavyweight Title:The Ultimate WarriordefeatsOrlando Jordan(c) (17:07) -TITLE CHANGE !!!NWE Summer Tour 2008 - Tag 3: Return Of The Warrior- Event @ Pavello Olimpico in Barcelona, Spanien",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
2,25.10.1998,,"Hollywood HogandefeatsThe Warrior(14:20)WCW/nWo Halloween Havoc 1998- Pay Per View @ MGM Grand Arena in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
3,12.10.1998,,"Sting&The WarriordefeatThe nWo Hollywood(Bret Hart&Hollywood Hogan) by DQ (5:40)WCW Monday NITRO #161- TV-Show @ United Center in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
4,13.09.1998,,"Three Way Nine Man Tag Team War Games:Team WCW (Diamond Dallas Page,Roddy Piper&The Warrior) defeatThe nWo Hollywood(Bret Hart,Hollywood Hogan&Stevie Ray) andThe nWo Wolfpac(Kevin Nash,Lex Luger&Sting) (20:06)WCW/nWo Fall Brawl 1998 - War Games- Pay Per View @ Lawrence Joel Veterans Memorial Coliseum in Winston-Salem, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
5,25.06.1996,,"Dark:The Ultimate WarriordefeatsVaderby Count OutWWF Superstars #508- Dark Match @ Civic Center in La Crosse, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
6,24.06.1996,,"The Ultimate WarriordefeatsOwen Hartby DQ (10:00)WWF Monday Night RAW #167- TV-Show @ Brown County Expo Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
7,24.06.1996,,"Dark:The Ultimate WarriordefeatsVaderWWF Monday Night RAW #165- Dark Match @ Brown County Expo Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
8,23.06.1996,,"The Ultimate WarriordefeatsJerry Lawler(3:50)WWF King Of The Ring 1996- Pay Per View @ Mecca Arena in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
9,16.06.1996,,"The Ultimate WarriordefeatsVaderby Count OutWWF House Show- House Show @ Kiel Center in St. Louis, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
10,15.06.1996,,"The Ultimate WarriordefeatsVaderby Count OutWWF House Show- House Show @ America West Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/e/ef/Dana_Warrior_Award.jpg
