date,event,result,location,image_url
1,28.11.2009,,"Mr. AndersondefeatsUso FatuHulkamania Let The Battle Begin Tour - Tag 4- Event @ Acer Arena in Sydney, New South Wales, Australia",
2,26.11.2009,,"Brutus Beefcake&Mr. AndersondefeatOrlando Jordan&Uso FatuHulkamania Let The Battle Begin Tour - Tag 3- Event @ Brisbane Entertainment Centre in Brisbane, Queensland, Australia",
3,24.11.2009,,"Uso FatudefeatsBrutus BeefcakeHulkamania Let The Battle Begin Tour - Tag 2- Event @ Burswood Dome in Perth, Western Australia, Australia",
4,21.11.2009,,"Brian Christopher&Solofa Fatu Jr.defeatOrlando Jordan&Uso FatuHulkamania Let The Battle Begin Tour - Tag 1- Event @ Rod Laver Arena in Melbourne, Victoria, Australia",
5,11.07.2009,,"UmagadefeatsMr. AndersonWWC 36th Aniversario 2009- Event @ Ruben Rodriguez Coliseum in Bayamon, Puerto Rico, USA",
6,07.06.2009,,"Samoan Strap:CM PunkdefeatsUmaga(8:58)WWE Extreme Rules 2009- Pay Per View @ New Orleans Arena in New Orleans, Louisiana, USA",
7,06.06.2009,,"UmagadefeatsR-TruthWWE House Show- House Show @ Pensacola Civic Center in Pensacola, Florida, USA",
8,02.06.2009,,"CM PunkdefeatsUmaga(12:26)WWE Friday Night SmackDown #511- TV-Show @ FedExForum in Memphis, Tennessee, USA",
9,31.05.2009,,"CM PunkdefeatsUmagaWWE SmackDown/ECW House Show- House Show @ E.A. Diddle Arena in Bowling Green, Kentucky, USA",
10,30.05.2009,,"CM PunkdefeatsUmagaWWE SmackDown/ECW House Show- House Show @ McKenzie Arena in Chattanooga, Tennessee, USA",
11,26.05.2009,,"John MorrisondefeatsUmagaby DQ (12:53)WWE Friday Night SmackDown #510- TV-Show @ Staples Center in Los Angeles, California, USA",
12,17.05.2009,,"UmagadefeatsCM Punk(11:52)WWE Judgment Day 2009- Pay Per View @ Allstate Arena in Rosemont, Illinois, USA",
13,11.05.2009,,"CM PunkdefeatsUmagaby DQWWE SmackDown/ECW House Show- House Show @ Roberts Municipal Stadium in Evansville, Indiana, USA",
14,10.05.2009,,"CM PunkdefeatsUmagaby DQWWE SmackDown/ECW House Show- House Show @ Allen County War Memorial Coliseum in Fort Wayne, Indiana, USA",
15,09.05.2009,,"CM PunkdefeatsUmagaby DQWWE SmackDown/ECW House Show- House Show @ Van Andel Arena in Grand Rapids, Michigan, USA",
16,21.04.2009,,"Dark:UmagadefeatsR-Truth(2:03)ECW on Sci Fi #150- Dark Match @ The O2 in London, England, UK",
17,20.04.2009,,"Jeff Hardy&The UndertakerdefeatMatt Hardy&UmagaWWE WrestleMania Revenge Tour 2009 - Tag 6- House Show @ International Arena in Cardiff, Wales, UK",
18,08.03.2009,,"Jeff Hardy&The UndertakerdefeatThe Big Show&UmagaWWE SmackDown House Show- House Show @ Colonial Life Arena in Columbia, South Carolina, USA",
19,07.03.2009,,"Jeff Hardy&The UndertakerdefeatThe Big Show&UmagaWWE SmackDown House Show- House Show @ James Brown Arena in Augusta, Georgia, USA",
20,03.03.2009,,"Triple Hvs.Umaga- No Contest (3:00)WWE Friday Night SmackDown #498- TV-Show @ Mohegan Sun Arena in Uncasville, Connecticut, USA",
21,22.02.2009,,"The UndertakerdefeatsUmagaWWE SmackDown House Show- House Show @ Movistar Arena in Santiago de Chile, Chile",
22,21.02.2009,,"Jeff Hardy&The UndertakerdefeatEdge&Umaga(13:20)WWE SmackDown House Show- House Show @ Estadio Nacional in Lima, Peru",
23,20.02.2009,,"Jeff Hardy&The UndertakerdefeatEdge&UmagaWWE SmackDown House Show- House Show @ Arena Vicente Fernandez Gomez de Guadalajara in Guadalajara, Jalisco, Mexiko",
24,19.02.2009,,"UmagadefeatsThe Great KhaliWWE SmackDown House Show- House Show @ Plaza de Toros la Luz  in Leon, Guanajauto, Mexiko",
25,18.02.2009,,"UmagadefeatsThe Great KhaliWWE SmackDown House Show- House Show @ Vazquez Bruno Arena in Tijuana, Baja California, Mexiko",
26,17.02.2009,,"UmagadefeatsScotty Goldman(1:25)WWE Friday Night SmackDown #496- TV-Show @ Rose Garden in Portland, Oregon, USA",
27,08.02.2009,,"UmagadefeatsHurricane HelmsWWE SmackDown House Show- House Show @ Rabobank Arena in Bakersfield, California, USA",
28,07.02.2009,,"UmagadefeatsHurricane HelmsWWE SmackDown House Show- House Show @ Sun Dome in Yakima, Washington, USA",
29,06.02.2009,,"UmagadefeatsHurricane HelmsWWE SmackDown House Show- House Show @ Toyota Center in Kennewick, Washington, USA",
30,02.02.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ Bancorp South Arena in Tupelo, Mississippi, USA",
31,01.02.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ Propst Arena At Von Braun Center in Huntsville, Alabama, USA",
32,31.01.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ Dothan Civic Center in Dothan, Alabama, USA",
33,27.01.2009,,"UmagadefeatsJimmy Wang Yang(1:41)WWE Friday Night SmackDown #493- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",
34,27.01.2009,,"UmagadefeatsKung Fu Naki(1:22)WWE Friday Night SmackDown #494- TV-Show @ Conseco Fieldhouse in Indianapolis, Indiana, USA",
35,19.01.2009,,"Edge&UmagadefeatHurricane Helms&The Great KhaliWWE SmackDown House Show- House Show @ Muncie University Arena in Muncie, Indiana, USA",
36,18.01.2009,,"Edge&UmagadefeatHurricane Helms&The Great KhaliWWE SmackDown House Show- House Show @ Rupp Arena in Lexington, Kentucky, USA",
37,17.01.2009,,"Edge&UmagadefeatHurricane Helms&The Great KhaliWWE SmackDown House Show- House Show @ Charleston Civic Center in Charleston, West Virginia, USA",
38,12.01.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ St. Joseph Civic Arena in St. Joseph, Missouri, USA",
39,11.01.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ JQH Arena in Springfield, Missouri, USA",
40,10.01.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ Black River Coliseum in Poplar Bluff, Missouri, USA",
41,09.01.2009,,"UmagadefeatsJimmy Wang YangWWE SmackDown House Show- House Show @ Summit Arena in Hot Springs, Arkansas, USA",
42,05.01.2009,,"UmagadefeatsEdgeWWE SmackDown House Show- House Show @ Rapides Parish Coliseum in Alexandria, Louisiana, USA",
43,04.01.2009,,"UmagadefeatsHurricane HelmsWWE SmackDown House Show- House Show @ CenturyTel Center in Bossier City, Louisiana, USA",
44,03.01.2009,,"UmagadefeatsHurricane HelmsWWE SmackDown House Show- House Show @ Oil Palace in Tyler, Texas, USA",
45,02.08.2008,,"No Disqualification:Jeff HardydefeatsUmagaWWE SmackDown/ECW House Show- House Show @ Freedom Hall Civic Center in Johnson City, Tennessee, USA",
46,27.07.2008,,"Two On One Handicap:UmagadefeatsNunzio&Shannon MooreWWE SmackDown/ECW House Show- House Show @ Westchester County Center in White Plains, New York, USA",
47,26.07.2008,,"Two On One Handicap:UmagadefeatsNunzio&Stevie RichardsWWE SmackDown/ECW House Show- House Show @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",
48,22.07.2008,,"WWE Heavyweight Title#1 Contendership Battle Royal:The Great KhalidefeatsJeff HardyandMontel Vontavious PorterandMr. KennedyandThe Big ShowandUmaga(7:13)WWE Friday Night SmackDown #466- TV-Show @ Wachovia Center in Philadelphia, Pennsylvania, USA",
49,20.07.2008,,"Dark:UmagadefeatsMr. KennedyWWE The Great American Bash 2008- Dark Match @ Nassau Veterans Memorial Coliseum in Uniondale, New York, USA",
50,19.07.2008,,"The Big Show&Triple HdefeatThe Great Khali&UmagaWWE House Show- House Show @ MassMutual Center in Springfield, Massachusetts, USA",
51,15.07.2008,,"UmagadefeatsMr. Kennedy(9:47)WWE Friday Night SmackDown #465- TV-Show @ Time Warner Cable Arena in Charlotte, North Carolina, USA",
52,06.07.2008,,"WWE United States TitleTriple Threat:Matt Hardy(c) defeatsMontel Vontavious PorterandUmagaWWE SmackDown/ECW House Show- House Show @ Pensacola Civic Center in Pensacola, Florida, USA",
53,05.07.2008,,"WWE United States TitleTriple Threat:Matt Hardy(c) defeatsMontel Vontavious PorterandUmagaWWE SmackDown/ECW House Show- House Show @ Civic Center in Albany, Georgia, USA",
54,01.07.2008,,"UmagadefeatsFunaki(1:55)WWE Friday Night SmackDown #463- TV-Show @ Tulsa Convention Center in Tulsa, Oklahoma, USA",
55,24.06.2008,,"BatistadefeatsUmagaby DQ (6:59)WWE Friday Night SmackDown #462- TV-Show @ Toyota Center in Houston, Texas, USA",
56,21.06.2008,,"WWE Heavyweight TitleTriple Threat:Triple H(c) defeatsJohn CenaandUmagaWWE RAW House Show- House Show @ The Pit in Albuquerque, New Mexico, USA",
57,20.06.2008,,"WWE Heavyweight TitleTriple Threat:Triple H(c) defeatsJohn CenaandUmagaWWE RAW House Show- House Show @ Pan American Center in Las Cruces, New Mexico, USA",
58,16.06.2008,,"Street Fight:John CenadefeatsUmaga(10:28)WWE Monday Night RAW #786- TV-Show @ E Center in West Valley City, Utah, USA",
59,14.06.2008,,"No Disqualification:John CenadefeatsUmagaWWE RAW House Show- House Show @ Taco Bell Arena in Boise, Idaho, USA",
60,09.06.2008,,"Snitsky&UmagadefeatCody Rhodes&Hardcore Holly(3:02)WWE Monday Night RAW #785- TV-Show @ Oakland Arena in Oakland, California, USA",
61,09.06.2008,,"Dark:Jeff Hardy,John Cena&Triple HdefeatJohn Bradshaw Layfield,Snitsky&UmagaWWE Monday Night RAW #785- Dark Match @ Oakland Arena in Oakland, California, USA",
62,08.06.2008,,"WWE Heavyweight TitleNo Disqualification:Triple H(c) defeatsUmagaWWE RAW House Show- House Show @ Stockton Arena in Stockton, California, USA",
63,07.06.2008,,"WWE Heavyweight Title:Triple H(c) defeatsUmagaWWE RAW House Show- House Show @ Convention Center in Redding, California, USA",
64,06.06.2008,,"WWE United States TitleTriple Threat:Matt Hardy(c) defeatsMontel Vontavious PorterandUmagaWWE SmackDown/ECW House Show- House Show @ Civic Center in Pensacola, Florida, USA",
65,02.06.2008,,"Mr. KennedydefeatsUmagaby Count Out (2:05)WWE Monday Night RAW #784- TV-Show @ Rabobank Arena in Bakersfield, California, USA",
66,01.06.2008,,"Falls Count Anywhere:Jeff HardydefeatsUmaga(9:16)WWE One Night Stand 2008: Extreme Rules- Pay Per View @ San Diego Sports Arena in San Diego, California, USA",
67,26.05.2008,,"John Bradshaw Layfield&UmagadefeatJeff Hardy&John Cena(9:30)WWE Monday Night RAW #783- TV-Show @ Pepsi Center in Denver, Colorado, USA",
68,24.05.2008,,"D-Generation X(Shawn Michaels&Triple H) defeatSnitsky&UmagaWWE RAW House Show- House Show @ Palacio de los Deportes in Mexico City, Distrito Federal, Mexiko",
