date,event,result,location,image_url
1,09.03.2024,,"Josh AlexanderdefeatsOleg Prudius(0:53)TNA iMPACT #1025- TV-Show @ St. Clair College SportsPlex in Windsor, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
2,14.01.2024,,"Dirty Dango&Oleg PrudiusdefeatDamian Drake&Dante King(1:42)TNA iMPACT #1018- TV-Show @ Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
3,13.01.2024,,"Jake Something,PCO&RhinodefeatAlpha Bravo,Dirty Dango&Oleg Prudius(7:27)TNA Hard To Kill 2024- Pay Per View @ Palms Casino Resort in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
4,22.10.2023,,"Dirty Dango&Oleg PrudiusdefeatNick Diamond&Storm Grayson(1:36)Impact Wrestling #1007- TV-Show @ Cicero Stadium in Cicero, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
5,16.10.2012,,"Alexander KozlovdefeatsShogun Okamoto(4:26)IGF Genome23- TV-Show @ Tokyo Dome City Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
6,29.09.2012,,"Alexander KozlovdefeatsKendo Kashin(5:18)IGF Genome22- TV-Show @ Aichi Prefectural Gymnasium  in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
7,14.07.2012,,"Alexander KozlovdefeatsHideki Suzuki(5:14)IGF Genome21- TV-Show @ Bodymaker Colosseum in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
8,10.07.2012,,"IGF Title:Jerome Le Banner(c) defeatsAlexander Kozlov(4:19)IGF/K-1 1st World Martial Arts- Event @ Shanghai International Sports Center in Shanghai, China",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
9,26.05.2012,,"IGF Title:Jerome Le Banner(c) defeatsAlexander Kozlov(3:44)IGF Genome20- TV-Show @ 	Tokyo Dome City Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
10,20.03.2012,,"Alexander KozlovdefeatsShogun Okamotoby referee's decision (4:16)IGF Genome19- TV-Show @ Fukuoka International Center in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
11,17.02.2012,,"Alexander KozlovdefeatsAkira Jo(2:52)IGF Genome18- Event @ Tokyo Dome City Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
12,04.12.2011,,"Alexander KozlovdefeatsAkira Joby referee's decision (1:38)IGF Fighting Spirit Festival In Iwaki- Event @ Iwaki Meisei University in Iwaki, Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
13,02.12.2011,,"Alexander Kozlovvs.Montanha Silva- No Contest (4:39)IGF Inoki Bom-Ba-Ye 2011- TV-Show @ Ryogoku Kokugikan in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
14,01.10.2011,,"Vladimir KozlovdefeatsJake ManningNEW Autumn Ambush 2011- Event @ Mid-Hudson Civic Center in Poughkeepsie, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
15,03.09.2011,,"Erik HammerdefeatsAlexander Kozlov(2:44)IGF Genome17- TV-Show @ Aichi Prefectural Gymnasium  in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
16,02.08.2011,,"Vladimir KozlovdefeatsJTG(7:36)WWE NXT #76 - S5E22- Online Stream @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
17,02.08.2011,,"Mark HenrydefeatsVladimir Kozlov(1:15)WWE Friday Night SmackDown #624- TV-Show @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
18,01.08.2011,,"Vladimir KozlovdefeatsPrimoWWE Superstars #121- Online Stream @ Rupp Arena in Lexington, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
19,31.07.2011,,"Santino Marella&Vladimir KozlovdefeatDavid Otunga&Michael McGillicuttyWWE RAW House Show- House Show @ Prairie Capital Convention Center in Springfield, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
20,30.07.2011,,"Santino Marella&Vladimir KozlovdefeatDavid Otunga&Michael McGillicuttyWWE RAW House Show- House Show @ Rockford MetroCentre in Rockford, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
21,29.07.2011,,"Santino Marella&Vladimir KozlovdefeatDavid Otunga&Michael McGillicuttyWWE RAW House Show- House Show @ Peoria Civic Center in Peoria, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
22,19.07.2011,,"Vladimir KozlovdefeatsJTG(5:28)WWE NXT #74 - S5E20- Online Stream @ Target Center in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
23,17.07.2011,,"Dark:Santino Marella&Vladimir KozlovdefeatDavid Otunga&Michael McGillicuttyWWE Money In The Bank 2011- Dark Match @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
24,11.07.2011,,"Dark:Vladimir KozlovdefeatsJTGWWE Monday Night RAW #946- Dark Match @ TD Garden in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
25,06.07.2011,,"WWE Tag Team Title:David Otunga&Michael McGillicutty(c) defeatSantino Marella&Vladimir KozlovWWE RAW House Show- House Show @ Vector Arena in Auckland, New Zealand",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
26,05.07.2011,,"WWE Heavyweight Title#1 Contendership / Brisbane Cup Battle Royal:CM PunkdefeatsAlex RileyandDavid OtungaandDolph ZigglerandEvan BourneandJack SwaggerandKofi KingstonandMichael McGillicuttyandPrimoandR-TruthandRey MysterioandSantino MarellaandThe MizandVladimir KozlovandZack RyderWWE RAW House Show- House Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
27,05.07.2011,,"WWE Tag Team Title:David Otunga&Michael McGillicutty(c) defeatSantino Marella&Vladimir KozlovWWE RAW House Show- House Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg
