date,event,result,location,image_url
1,19.05.2025,,"Money In The Bank Qualifying Triple Threat:Rhea RipleydefeatsKairi SaneandZoey Stark(9:52)WWE Monday Night RAW #1669- Online Stream @ Bon Secours Wellness Arena in Greenville, South Carolina, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
2,05.05.2025,,"Zoey StarkdefeatsMaxxine Dupri(5:22)WWE Main Event #658- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
3,14.04.2025,,"Maxxine DupridefeatsZoey Stark(6:39)WWE Main Event #655- Online Stream @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
4,11.04.2025,,"WWE Women's Tag Team Title#1 Contendership Gauntlet:Bayley&Lyra ValkyriadefeatB-Fab&MichinandKatana Chance&Kayden CarterandMaxxine Dupri&NatalyaandThe Secret Hervice(Alba Fyre&Piper Niven) andPure Fusion Collective(Shayna Baszler&Zoey Stark) (28:40)WWE Friday Night SmackDown #1338- TV-Show @ Climate Pledge Arena in Seattle, Washington, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
5,31.03.2025,,"Lyra ValkyriadefeatsZoey Stark(6:51)WWE Main Event #653- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
6,30.03.2025,,"WWE Women's Intercontinental Title:Lyra Valkyria(c) defeatsZoey StarkWWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
7,29.03.2025,,"WWE Women's Intercontinental Title:Lyra Valkyria(c) defeatsZoey StarkWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
8,17.03.2025,,"Zoey StarkdefeatsNatalya(5:05)WWE Main Event #651- Online Stream @ Forest National in Brüssel, Belgien",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
9,16.03.2025,,"WWE Women's Intercontinental Title:Lyra Valkyria(c) defeatsZoey StarkWWE Road To WrestleMania- House Show @ ZAG Arena in Hannover, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
10,15.03.2025,,"WWE Women's Intercontinental Title:Lyra Valkyria(c) defeatsZoey StarkWWE Road To WrestleMania- House Show @ Westfalenhalle in Dortmund, Nordrhein-Westfalen, Deutschland",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
11,03.03.2025,,"Dakota KaidefeatsZoey Stark(7:59)WWE Main Event #649- Online Stream @ KeyBank Center in Buffalo, New York, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
12,21.02.2025,,"WWE Women's Speed Title:Candice LeRae(c) vs.Zoey Stark- Time Limit Draw (5:00)WWE Speed #59- Online Stream @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
13,14.02.2025,,"WWE Women's Speed Title#1 Contendership Tournament Final:Zoey StarkdefeatsShotzi(2:36)WWE Speed #58- Online Stream @ Capital One Arena in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
14,10.02.2025,,"Zoey StarkdefeatsMaxxine Dupri(5:17)WWE Main Event #646- Online Stream @ Bridgestone Arena in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
